I20260911 04:40:39 8553706816 iris.cluster.config Loading config from lib/iris/config/marin.yaml
I20260911 04:40:39 8553706816 finelog.client.log_client LogClient resolved /system/log-server -> https://iris.oa.dev/proxy/system.log-server (log)
Not all requested scopes were granted by the authorization server, missing scopes email.
[11:38:30] task=/calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers/0 attempt=0 | I20260911 11:38:30 fray.iris_backend Actor /calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers-0 shutting down
[11:38:32] task=/calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers/1 attempt=0 | I20260911 11:38:26 140340705081024 finelog.client.log_client LogClient resolved http://10.128.0.128:10001 -> http://10.128.0.128:10001 (stats)
[11:38:32] task=/calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers/1 attempt=0 | I20260911 11:38:28 140705241731904 datasets JAX version 0.11.1 available.
[11:38:32] task=/calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers/1 attempt=0 | I20260911 11:38:28 140705241731904 levanter.store.cache Attempting to load cache ledger from gs://marin-us-central1/tpp10_domain_sweeps/wikipedia/raw/2026.09.11/train/parts/001/shard_ledger.json
[11:38:32] task=/calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers/1 attempt=0 | I20260911 11:38:29 zephyr.worker [shard 1] Complete: 1 refs produced
[11:38:32] task=/calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers/1 attempt=0 | I20260911 11:38:29 zephyr.worker [zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers-1] Shard 1 done in 3.51s
[11:38:32] task=/calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers/1 attempt=0 | I20260911 11:38:29 zephyr.worker [zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers-1] Received SHUTDOWN from coordinator
[11:38:32] task=/calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers/1 attempt=0 | I20260911 11:38:30 zephyr.worker [zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers-1] Poll loop exiting
[11:38:32] task=/calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers/1 attempt=0 | I20260911 11:38:30 fray.iris_backend Actor /calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f-workers-1 shutting down
[11:38:33] task=/calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/0 attempt=0 | I20260911 11:38:28 zephyr.coordinator [20260911-113649-63aff87e] [stage0-Map] 0/2 complete, 2 in-flight, 0 queued, 2/2 workers alive, 0 dead
[11:38:33] task=/calvinxu/tpp10-domain-sweeps/prepare_raw-47ef88d5/zephyr-levanter-cache-probe-00e8c1b0-coordinator-7dc5461f/0 attempt=0 | I20260911 11:38:29 zephyr.coordinator [20260911-113649-63aff87e] [stage0-Map] 1/2 tasks completed
