I20260911 05:44:43 8553706816 iris.cluster.config Loading config from lib/iris/config/marin.yaml
I20260911 05:44:43 8553706816 finelog.client.log_client LogClient resolved /system/log-server -> https://iris.oa.dev/proxy/system.log-server (log)
Not all requested scopes were granted by the authorization server, missing scopes email.
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:56 139814036682432 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139814036682432)] Status checkpoints/starcoder_tpp10/tpp10_matched_p065_s20260911_d20260914_48765fa6: RUNNING
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:56 139814036682432 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139814036682432)] Step checkpoints/starcoder_tpp10/tpp10_matched_p065_s20260911_d20260914_48765fa6 has no active lock, taking over.
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:56 139814036682432 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139814036682432)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p065_s20260911_d20260914_48765fa6
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:56 139814137394880 fray.current_client current_client: using explicitly set client
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:56 139814070253248 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139814070253248)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p065_s20260911_d20260912_ff1c286c
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:56 139814019897024 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139814019897024)] Status checkpoints/starcoder_tpp10/tpp10_target_p080_s20260910_53c4c306: FAILED
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:56 139814019897024 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139814019897024)] Force running checkpoints/starcoder_tpp10/tpp10_target_p080_s20260910_53c4c306, previous status: FAILED
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:56 139814019897024 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139814019897024)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_target_p080_s20260910_53c4c306
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:56 139825345307456 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260910_d20260912_c01dcf08	Params = {'fingerprint': '84a20fbf', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/subset_20260912@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': '84a20fbf'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_matched_p080_s20260910_d20260912/2026.09.09
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:56 139814045075136 marin.execution.step_status [/calvinxu/starcoder-tpp10-refinement-batch-recovery/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260905-0245-08c4ed91-139814045075136)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p065_s20260911_d20260913_f40db025
[12:41:00] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/0 attempt=0 | I20260911 12:40:56 139814112216768 fray.current_client current_client: using explicitly set client
