I20260911 06:25:41 8553706816 iris.cluster.config Loading config from lib/iris/config/marin.yaml
I20260911 06:25:41 8553706816 finelog.client.log_client LogClient resolved /system/log-server -> https://iris.oa.dev/proxy/system.log-server (log)
Not all requested scopes were granted by the authorization server, missing scopes email.
[13:17:07] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:17:02 140660145230656 tqdm_loggable.tqdm_logging Progress on:train 3.76kit/11.5kit rate:1.4it/s remaining:1:33:15 elapsed:10:12 postfix:loss=2.29
[13:17:14] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:17:12 140325927364288 levanter.tensorstore_serialization malloc_trim after checkpoint commits returned 1
[13:17:14] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:17:12 140300609648320 jax.experimental.array_serialization.serialization Finished committing to storage layer by process: 0
[13:17:14] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:17:12 140300609648320 levanter.checkpoint Saved checkpoint to gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/checkpoints/step-3748 for step 3748
[13:17:14] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:17:12 140300609648320 levanter.checkpoint Deleting old temporary checkpoint gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/checkpoints/step-3010 after saving new checkpoint.
[13:17:14] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:17:12 140300609648320 levanter.checkpoint Removing checkpoint gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/checkpoints/step-3010
[13:17:14] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:17:12 140300609648320 jax.experimental.array_serialization.serialization on_commit_callback successfully ran!
[13:17:14] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:17:12 140332518442688 levanter.checkpoint Deleting old checkpoint from gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/checkpoints/step-3010
[13:17:14] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:17:12 140332518442688 levanter.checkpoint Deleted old checkpoint from gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/checkpoints/step-3010 in 0.19 seconds
[13:18:06] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:18:03 140660145230656 tqdm_loggable.tqdm_logging Progress on:train 3.85kit/11.5kit rate:1.4it/s remaining:1:33:07 elapsed:11:13 postfix:loss=2.44
[13:19:06] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:19:03 140660145230656 tqdm_loggable.tqdm_logging Progress on:train 3.93kit/11.5kit rate:1.3it/s remaining:1:37:42 elapsed:12:14 postfix:loss=2.5
[13:20:06] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=0 | I20260911 13:20:04 140660145230656 tqdm_loggable.tqdm_logging Progress on:train 4.01kit/11.5kit rate:1.4it/s remaining:1:30:30 elapsed:13:14 postfix:loss=2.3
