[13:45:45] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | I20260911 13:45:41 140688932483904 levanter.trainer Lowering train_step_hooks to HLO...
[13:45:45] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | wandb: WARNING Artifact "source-marin-_callable_runner.py" already exists with the same content. No new version will be created.
[13:45:45] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | I20260911 13:45:42 140688932483904 levanter.trainer Lowered train_step_hooks in 0.6s
[13:46:11] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | W20260911 13:46:07 140361366861504 levanter.tracker.wandb Step 3749 is less than the current step 4080. Cowardly refusing to log metrics.
[13:46:11] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | I20260911 13:46:08 140688932483904 levanter.trainer First train step completed in 28.1s (step 3749)
[13:46:11] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | I20260911 13:46:08 140688932483904 levanter.trainer Tracing train_step for jaxpr...
[13:46:11] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | I20260911 13:46:09 140688932483904 levanter.trainer Traced train_step in 1.6s
[13:46:11] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | I20260911 13:46:11 140688932483904 levanter.trainer Lowering train_step to HLO...
[13:46:18] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | I20260911 13:46:12 140688932483904 levanter.trainer Lowered train_step in 0.8s
[13:46:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | I20260911 13:46:43 140688932483904 tqdm_loggable.tqdm_logging Progress on:train 3.75kit/11.5kit rate:44.0it/s remaining:02:55 elapsed:01:10 postfix:loss=2.32
[13:46:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | I20260911 13:46:44 140355747956416 finelog.client.log_client LogClient resolved /system/log-server -> http://10.128.0.128:10001 (stats)
[13:47:43] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=3 | I20260911 13:47:43 140688932483904 tqdm_loggable.tqdm_logging Progress on:train 3.83kit/11.5kit rate:1.4it/s remaining:1:30:58 elapsed:02:10 postfix:loss=2.41
