[13:47:38] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | I20260911 13:47:33 140254468428608 tqdm_loggable.tqdm_logging Progress on:eval 178it/178it rate:51.7it/s remaining:00:00 elapsed:00:04 postfix:-
[13:47:38] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | I20260911 13:47:33 140254468428608 levanter.eval eval loss: 2.211
[13:47:38] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | I20260911 13:47:33 140254468428608 levanter.eval paloma micro loss: 2.211
[13:47:38] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | I20260911 13:47:33 140254468428608 levanter.eval paloma/dolma_100_programing_languages-tpp10 loss: 2.211
[13:47:38] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | I20260911 13:47:34 140254468428608 tqdm_loggable.tqdm_logging Progress on:train 1.01kit/2.53kit rate:1.2it/s remaining:21:26 elapsed:02:01 postfix:loss=3.1
[13:48:17] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | I20260911 13:48:16 140254468428608 tqdm_loggable.tqdm_logging Progress on:eval -/178 rate:- remaining:? elapsed:00:00 postfix:-
[13:48:24] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | W20260911 13:48:20 140254468428608 levanter.data.loader Data loader stalled 0.566s. queue_size=0 fetch_batch_size=32 max_buffered=100
[13:48:24] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | I20260911 13:48:20 140254468428608 tqdm_loggable.tqdm_logging Progress on:eval 178it/178it rate:35.0it/s remaining:00:00 elapsed:00:04 postfix:-
[13:48:24] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | I20260911 13:48:20 140254468428608 levanter.eval eval loss: 2.177
[13:48:24] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | I20260911 13:48:20 140254468428608 levanter.eval paloma micro loss: 2.177
[13:48:24] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | I20260911 13:48:20 140254468428608 levanter.eval paloma/dolma_100_programing_languages-tpp10 loss: 2.177
[13:48:37] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-16aa333a/0 attempt=2 | I20260911 13:48:34 140254468428608 tqdm_loggable.tqdm_logging Progress on:train 1.68kit/2.53kit rate:13.7it/s remaining:01:01 elapsed:03:01 postfix:loss=2.94
