[15:04:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | I20260911 15:04:44 140396384260928 levanter.trainer Tracing train_step_hooks for jaxpr...
[15:04:51] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | I20260911 15:04:45 140396384260928 levanter.trainer Traced train_step_hooks in 0.7s
[15:04:51] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | I20260911 15:04:45 140396384260928 levanter.trainer Lowering train_step_hooks to HLO...
[15:04:51] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | I20260911 15:04:46 140396384260928 levanter.trainer Lowered train_step_hooks in 0.6s
[15:04:57] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | I20260911 15:04:55 140030476031680 finelog.client.log_client LogClient resolved /system/log-server -> http://10.128.0.128:10001 (stats)
[15:05:30] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | I20260911 15:05:25 140396384260928 tqdm_loggable.tqdm_logging Progress on:train 387it/2.53kit rate:6.8it/s remaining:05:15 elapsed:01:00 postfix:loss=2.81
[15:05:37] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | I20260911 15:05:35 140396384260928 tqdm_loggable.tqdm_logging Progress on:eval -/178 rate:- remaining:? elapsed:00:00 postfix:-
[15:05:43] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | W20260911 15:05:41 140396384260928 levanter.data.loader Data loader stalled 0.742s. queue_size=0 fetch_batch_size=32 max_buffered=100
[15:05:43] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | I20260911 15:05:42 140396384260928 tqdm_loggable.tqdm_logging Progress on:eval 178it/178it rate:43.9it/s remaining:00:00 elapsed:00:07 postfix:-
[15:05:43] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | I20260911 15:05:42 140396384260928 levanter.eval eval loss: 2.239
[15:05:43] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | I20260911 15:05:42 140396384260928 levanter.eval paloma micro loss: 2.239
[15:05:43] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-20560554/0 attempt=0 | I20260911 15:05:42 140396384260928 levanter.eval paloma/dolma_100_programing_languages-tpp10 loss: 2.239
