[15:04:51] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:04:45 140135539323712 levanter.trainer First train step completed in 14.0s (step 0)
[15:04:51] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:04:45 140135539323712 levanter.trainer Tracing train_step_hooks for jaxpr...
[15:04:51] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:04:45 140135539323712 levanter.trainer Traced train_step_hooks in 0.7s
[15:04:51] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:04:46 140135539323712 levanter.trainer Lowering train_step_hooks to HLO...
[15:04:51] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:04:46 140135539323712 levanter.trainer Lowered train_step_hooks in 0.6s
[15:04:58] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:04:56 139779152930496 finelog.client.log_client LogClient resolved /system/log-server -> http://10.128.0.128:10001 (stats)
[15:05:31] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:05:24 140135539323712 tqdm_loggable.tqdm_logging Progress on:train 375it/2.53kit rate:12.5it/s remaining:02:53 elapsed:01:00 postfix:loss=2.94
[15:05:37] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:05:35 140135539323712 tqdm_loggable.tqdm_logging Progress on:eval -/178 rate:- remaining:? elapsed:00:00 postfix:-
[15:05:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:05:41 140135539323712 tqdm_loggable.tqdm_logging Progress on:eval 178it/178it rate:57.3it/s remaining:00:00 elapsed:00:05 postfix:-
[15:05:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:05:41 140135539323712 levanter.eval eval loss: 2.228
[15:05:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:05:41 140135539323712 levanter.eval paloma micro loss: 2.228
[15:05:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-d1a98d0f/0 attempt=0 | I20260911 15:05:41 140135539323712 levanter.eval paloma/dolma_100_programing_languages-tpp10 loss: 2.228
