[15:04:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:04:39 140413639828288 levanter.trainer Tracing train_step for jaxpr...
[15:04:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:04:40 140413639828288 levanter.kernels.pallas.fused_cross_entropy_loss.api Fused cross-entropy selected implementation: xla
[15:04:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:04:41 140413639828288 levanter.trainer Traced train_step in 2.4s
[15:04:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:04:43 140413639828288 levanter.trainer Lowering train_step to HLO...
[15:04:44] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:04:44 140413639828288 levanter.trainer Lowered train_step in 1.3s
[15:05:17] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:05:12 140413639828288 levanter.trainer First train step completed in 33.4s (step 0)
[15:05:17] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:05:12 140413639828288 levanter.trainer Tracing train_step_hooks for jaxpr...
[15:05:17] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:05:13 140413639828288 levanter.trainer Traced train_step_hooks in 0.7s
[15:05:17] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:05:13 140413639828288 levanter.trainer Lowering train_step_hooks to HLO...
[15:05:17] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:05:14 140413639828288 levanter.trainer Lowered train_step_hooks in 0.6s
[15:05:43] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:05:37 140413639828288 tqdm_loggable.tqdm_logging Progress on:train 3.00it/11.5kit rate:24.3s/it remaining:77:40:15 elapsed:01:13 postfix:-
[15:05:50] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:05:45 140105457071808 finelog.client.log_client LogClient resolved /system/log-server -> http://10.128.0.128:10001 (stats)
