[15:04:37] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:04:30 140549474079552 levanter.trainer First train step completed in 13.4s (step 0)
[15:04:37] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:04:30 140549474079552 levanter.trainer Tracing train_step_hooks for jaxpr...
[15:04:37] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:04:31 140549474079552 levanter.trainer Traced train_step_hooks in 0.7s
[15:04:37] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:04:31 140549474079552 levanter.trainer Lowering train_step_hooks to HLO...
[15:04:37] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:04:32 140549474079552 levanter.trainer Lowered train_step_hooks in 0.6s
[15:04:43] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:04:42 140184398411456 finelog.client.log_client LogClient resolved /system/log-server -> http://10.128.0.128:10001 (stats)
[15:05:17] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:05:11 140549474079552 tqdm_loggable.tqdm_logging Progress on:train 380it/2.53kit rate:14.5it/s remaining:02:28 elapsed:01:00 postfix:loss=3.3
[15:05:24] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:05:22 140549474079552 tqdm_loggable.tqdm_logging Progress on:eval -/178 rate:- remaining:? elapsed:00:00 postfix:-
[15:05:31] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:05:28 140549474079552 tqdm_loggable.tqdm_logging Progress on:eval 178it/178it rate:55.3it/s remaining:00:00 elapsed:00:06 postfix:-
[15:05:31] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:05:28 140549474079552 levanter.eval eval loss: 2.225
[15:05:31] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:05:28 140549474079552 levanter.eval paloma micro loss: 2.225
[15:05:31] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-f24df5e7/0 attempt=0 | I20260911 15:05:28 140549474079552 levanter.eval paloma/dolma_100_programing_languages-tpp10 loss: 2.225
