[15:09:28] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:09:24 139823315006272 tqdm_loggable.tqdm_logging Progress on:train 336it/11.5kit rate:1.3it/s remaining:2:19:05 elapsed:05:12 postfix:loss=2.73
[15:10:28] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:10:24 139823315006272 tqdm_loggable.tqdm_logging Progress on:train 416it/11.5kit rate:1.4it/s remaining:2:11:31 elapsed:06:13 postfix:loss=2.46
[15:11:29] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:11:25 139823315006272 tqdm_loggable.tqdm_logging Progress on:train 498it/11.5kit rate:1.4it/s remaining:2:11:00 elapsed:07:13 postfix:loss=2.32
[15:12:28] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:12:25 139823315006272 tqdm_loggable.tqdm_logging Progress on:train 582it/11.5kit rate:1.4it/s remaining:2:12:42 elapsed:08:14 postfix:loss=2.27
[15:13:27] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:13:25 139823315006272 tqdm_loggable.tqdm_logging Progress on:train 665it/11.5kit rate:1.4it/s remaining:2:09:07 elapsed:09:14 postfix:loss=2.34
[15:14:13] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:11 139823315006272 levanter.checkpoint Saving temporary checkpoint at step 728.
[15:14:13] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:11 139823315006272 levanter.checkpoint Saving checkpoint at step 728 to gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p065_s20260910/2026.09.09/checkpoints/step-728
[15:14:13] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:11 139823315006272 levanter.checkpoint Saving checkpoint to gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p065_s20260910/2026.09.09/checkpoints/step-728 for step 728
[15:14:13] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:11 139823315006272 levanter.tensorstore_serialization Checkpoint gives this process 2.37GiB of 2.37GiB across 41 of 41 arrays; 0.00GiB of that is 15 arrays it writes alone and 0.00GiB is split no further than the replica cap, opt_state/inner_state/inner_states/adam/inner_state/1/nu/transformer/layers/stacked/self_attn/q_norm/weight at 0.00GiB, opt_state/inner_state/inner_states/adam/inner_state/1/nu/transformer/layers/stacked/self_attn/k_norm/weight at 0.00GiB, opt_state/inner_state/inner_states/adam/inner_state/1/mu/transformer/layers/stacked/self_attn/q_norm/weight at 0.00GiB
[15:14:13] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:12 139823315006272 jax.experimental.array_serialization.serialization Error check finished successfully
[15:14:13] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:13 139823315006272 levanter.tensorstore_serialization Checkpoint staged 2.37 GiB peak against a 16.00 GiB budget across 119 writes (about 9 GiB of host memory while in flight)
[15:14:13] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:13 139464477181632 jax.experimental.array_serialization.serialization Starting commit to storage layer by process: 0
[15:14:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:26 139823315006272 tqdm_loggable.tqdm_logging Progress on:train 747it/11.5kit rate:1.4it/s remaining:2:08:07 elapsed:10:14 postfix:loss=2.35
[15:14:39] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:35 139459626510016 levanter.tensorstore_serialization malloc_trim after checkpoint commits returned 1
[15:14:39] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:35 139464477181632 jax.experimental.array_serialization.serialization Finished committing to storage layer by process: 0
[15:14:39] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:35 139464477181632 levanter.checkpoint Saved checkpoint to gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p065_s20260910/2026.09.09/checkpoints/step-728 for step 728
[15:14:39] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:14:35 139464477181632 jax.experimental.array_serialization.serialization on_commit_callback successfully ran!
[15:15:32] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=1 | I20260911 15:15:26 139823315006272 tqdm_loggable.tqdm_logging Progress on:train 830it/11.5kit rate:1.4it/s remaining:2:06:05 elapsed:11:14 postfix:loss=2.27
