[15:16:16] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:16:14 140700105888576 tqdm_loggable.tqdm_logging Progress on:eval 178it/178it rate:39.2it/s remaining:00:00 elapsed:00:06 postfix:-
[15:16:16] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:16:14 140700105888576 levanter.eval eval loss: 2.246
[15:16:16] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:16:14 140700105888576 levanter.eval paloma micro loss: 2.246
[15:16:16] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:16:14 140700105888576 levanter.eval paloma/dolma_100_programing_languages-tpp10 loss: 2.246
[15:17:02] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:16:56 140700105888576 tqdm_loggable.tqdm_logging Progress on:eval -/178 rate:- remaining:? elapsed:00:00 postfix:-
[15:17:02] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | W20260911 15:16:59 140700105888576 levanter.data.loader Data loader stalled 0.905s. queue_size=0 fetch_batch_size=32 max_buffered=100
[15:17:02] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:17:00 140700105888576 tqdm_loggable.tqdm_logging Progress on:eval 178it/178it rate:42.2it/s remaining:00:00 elapsed:00:04 postfix:-
[15:17:02] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:17:00 140700105888576 levanter.eval eval loss: 2.171
[15:17:02] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:17:00 140700105888576 levanter.eval paloma micro loss: 2.171
[15:17:02] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:17:00 140700105888576 levanter.eval paloma/dolma_100_programing_languages-tpp10 loss: 2.171
[15:17:02] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:17:00 140700105888576 tqdm_loggable.tqdm_logging Progress on:train 1.01kit/2.53kit rate:1.3it/s remaining:20:13 elapsed:02:04 postfix:loss=2.51
[15:17:47] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:17:42 140700105888576 tqdm_loggable.tqdm_logging Progress on:eval -/178 rate:- remaining:? elapsed:00:00 postfix:-
[15:17:47] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | W20260911 15:17:45 140700105888576 levanter.data.loader Data loader stalled 0.814s. queue_size=0 fetch_batch_size=32 max_buffered=100
[15:17:47] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:17:47 140700105888576 tqdm_loggable.tqdm_logging Progress on:eval 178it/178it rate:31.6it/s remaining:00:00 elapsed:00:05 postfix:-
[15:17:47] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:17:47 140700105888576 levanter.eval eval loss: 2.131
[15:17:47] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:17:47 140700105888576 levanter.eval paloma micro loss: 2.131
[15:17:47] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:17:47 140700105888576 levanter.eval paloma/dolma_100_programing_languages-tpp10 loss: 2.131
[15:18:01] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-cffa480f/0 attempt=0 | I20260911 15:18:00 140700105888576 tqdm_loggable.tqdm_logging Progress on:train 1.68kit/2.53kit rate:12.3it/s remaining:01:09 elapsed:03:04 postfix:loss=2.58
