[15:09:42] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:09:39 140413639828288 tqdm_loggable.tqdm_logging Progress on:train 339it/11.5kit rate:1.4it/s remaining:2:11:19 elapsed:05:14 postfix:loss=2.08
[15:10:41] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:10:39 140413639828288 tqdm_loggable.tqdm_logging Progress on:train 418it/11.5kit rate:1.1it/s remaining:2:52:06 elapsed:06:14 postfix:loss=2.21
[15:11:40] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:11:40 140413639828288 tqdm_loggable.tqdm_logging Progress on:train 500it/11.5kit rate:1.4it/s remaining:2:09:27 elapsed:07:15 postfix:loss=2.33
[15:12:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:12:40 140413639828288 tqdm_loggable.tqdm_logging Progress on:train 584it/11.5kit rate:1.4it/s remaining:2:09:58 elapsed:08:15 postfix:loss=1.99
[15:13:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:13:41 140413639828288 tqdm_loggable.tqdm_logging Progress on:train 668it/11.5kit rate:1.4it/s remaining:2:07:40 elapsed:09:16 postfix:loss=1.97
[15:14:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:25 140413639828288 levanter.checkpoint Saving temporary checkpoint at step 728.
[15:14:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:25 140413639828288 levanter.checkpoint Saving checkpoint at step 728 to gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p080_s20260910/2026.09.09/checkpoints/step-728
[15:14:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:25 140413639828288 levanter.checkpoint Saving checkpoint to gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p080_s20260910/2026.09.09/checkpoints/step-728 for step 728
[15:14:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:25 140413639828288 levanter.tensorstore_serialization Checkpoint gives this process 2.37GiB of 2.37GiB across 41 of 41 arrays; 0.00GiB of that is 15 arrays it writes alone and 0.00GiB is split no further than the replica cap, opt_state/inner_state/inner_states/adam/inner_state/1/nu/transformer/layers/stacked/self_attn/q_norm/weight at 0.00GiB, opt_state/inner_state/inner_states/adam/inner_state/1/nu/transformer/layers/stacked/self_attn/k_norm/weight at 0.00GiB, opt_state/inner_state/inner_states/adam/inner_state/1/mu/transformer/layers/stacked/self_attn/q_norm/weight at 0.00GiB
[15:14:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:25 140413639828288 jax.experimental.array_serialization.serialization Error check finished successfully
[15:14:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:26 140413639828288 levanter.tensorstore_serialization Checkpoint staged 2.37 GiB peak against a 16.00 GiB budget across 119 writes (about 9 GiB of host memory while in flight)
[15:14:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:26 140055479682752 jax.experimental.array_serialization.serialization Starting commit to storage layer by process: 0
[15:14:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:41 140413639828288 tqdm_loggable.tqdm_logging Progress on:train 749it/11.5kit rate:1.4it/s remaining:2:08:12 elapsed:10:16 postfix:loss=2.19
[15:14:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:46 140057247729344 levanter.tensorstore_serialization malloc_trim after checkpoint commits returned 1
[15:14:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:46 140055479682752 jax.experimental.array_serialization.serialization Finished committing to storage layer by process: 0
[15:14:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:46 140055479682752 levanter.checkpoint Saved checkpoint to gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p080_s20260910/2026.09.09/checkpoints/step-728 for step 728
[15:14:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:14:46 140055479682752 jax.experimental.array_serialization.serialization on_commit_callback successfully ran!
[15:15:45] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e24265b9/0 attempt=0 | I20260911 15:15:41 140413639828288 tqdm_loggable.tqdm_logging Progress on:train 832it/11.5kit rate:1.4it/s remaining:2:08:34 elapsed:11:16 postfix:loss=2.13
