[15:47:29] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:23 140457533817664 tqdm_loggable.tqdm_logging Progress on:Checkpoint size -/1204965376 rate:- remaining:? elapsed:00:00 postfix:-
[15:47:29] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:23 140457533817664 levanter.compat.hf_checkpoints Will save 1 shards with max size 1.2 GB
[15:47:29] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:23 140457533817664 levanter.compat.hf_checkpoints Saving shard model.safetensors to gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/hf/step-10000 via temp path /tmp/tmpd8a14i8k
[15:47:29] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:25 140457533817664 levanter.compat.hf_checkpoints Saving shard model.safetensors (1.2 GB, 100.00% of model)
[15:47:29] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:26 140457533817664 levanter.utils.cloud_utils Copying from temp dir to gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/hf/step-10000
[15:47:42] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:39 140457533817664 levanter.utils.cloud_utils Finished copying to gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/hf/step-10000
[15:47:42] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:39 140457533817664 levanter.compat.hf_checkpoints Saving metadata to gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/hf/step-10000 via temp path /tmp/tmpiebg800b
[15:47:42] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:39 140457533817664 levanter.compat.hf_checkpoints Saving tokenizer
[15:47:42] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:39 140457533817664 levanter.utils.cloud_utils Copying from temp dir to gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/hf/step-10000
[15:47:42] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:39 140457533817664 levanter.utils.cloud_utils Finished copying to gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/hf/step-10000
[15:47:42] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:39 140457533817664 levanter.compat.hf_checkpoints Finished saving HF-compatible checkpoint to gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p055_s20260910/2026.09.09/hf/step-10000
[15:47:42] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:39 140457533817664 tqdm_loggable.tqdm_logging Progress on:Checkpoint size 1.20GB/1.20GB rate:482,471,531.7B/s remaining:00:00 elapsed:00:15 postfix:-
[15:48:02] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:47:59 140457533817664 tqdm_loggable.tqdm_logging Progress on:train 10.0kit/11.5kit rate:1.4it/s remaining:17:16 elapsed:11:11 postfix:loss=2.22
[15:49:01] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:48:59 140457533817664 tqdm_loggable.tqdm_logging Progress on:train 10.1kit/11.5kit rate:1.4it/s remaining:16:24 elapsed:12:11 postfix:loss=2.29
[15:50:01] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-15f44e0d/0 attempt=6 | I20260911 15:50:00 140457533817664 tqdm_loggable.tqdm_logging Progress on:train 10.2kit/11.5kit rate:1.4it/s remaining:15:19 elapsed:13:11 postfix:loss=2.23
