[15:46:36] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:46:30 139945362375488 levanter.trainer Tracing train_step_hooks for jaxpr...
[15:46:36] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:46:31 139945362375488 levanter.kernels.pallas.fused_cross_entropy_loss.api Fused cross-entropy selected implementation: xla
[15:46:36] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:46:32 139945362375488 levanter.trainer Traced train_step_hooks in 2.1s
[15:46:36] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:46:32 139945362375488 levanter.trainer Lowering train_step_hooks to HLO...
[15:46:36] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:46:33 139945362375488 levanter.trainer Lowered train_step_hooks in 0.6s
[15:47:03] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | W20260911 15:47:00 139617792255680 levanter.tracker.wandb Step 5407 is less than the current step 6020. Cowardly refusing to log metrics.
[15:47:03] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:47:00 139945362375488 levanter.trainer First train step completed in 29.9s (step 5407)
[15:47:03] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:47:01 139945362375488 levanter.trainer Tracing train_step for jaxpr...
[15:47:03] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:47:03 139945362375488 levanter.trainer Traced train_step in 1.6s
[15:47:10] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:47:04 139945362375488 levanter.trainer Lowering train_step to HLO...
[15:47:10] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:47:05 139945362375488 levanter.trainer Lowered train_step in 0.8s
[15:47:36] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:47:31 139945362375488 tqdm_loggable.tqdm_logging Progress on:train 5.41kit/11.5kit rate:66.7it/s remaining:01:31 elapsed:01:07 postfix:loss=2.29
[15:47:36] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:47:32 139613171574464 finelog.client.log_client LogClient resolved /system/log-server -> http://10.128.0.128:10001 (stats)
[15:48:35] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:48:32 139945362375488 tqdm_loggable.tqdm_logging Progress on:train 5.50kit/11.5kit rate:1.4it/s remaining:1:10:26 elapsed:02:08 postfix:loss=2.28
[15:49:34] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 15:49:32 139945362375488 tqdm_loggable.tqdm_logging Progress on:train 5.58kit/11.5kit rate:1.3it/s remaining:1:14:02 elapsed:03:08 postfix:loss=2.27
