[16:07:06] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:06:59 139987065164608 jax.experimental.array_serialization.serialization Thread joined successfully
[16:07:06] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:06:59 139987065164608 jax.experimental.array_serialization.serialization Error check finished successfully
[16:07:06] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:00 139987065164608 levanter.tensorstore_serialization Checkpoint staged 2.37 GiB peak against a 16.00 GiB budget across 119 writes (about 9 GiB of host memory while in flight)
[16:07:06] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:00 139631915902656 jax.experimental.array_serialization.serialization Starting commit to storage layer by process: 0
[16:07:12] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:09 139987065164608 tqdm_loggable.tqdm_logging Progress on:train 2.30kit/11.5kit rate:1.4it/s remaining:1:50:06 elapsed:20:12 postfix:loss=1.94
[16:07:12] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:11 139987065164608 tqdm_loggable.tqdm_logging Progress on:eval -/45 rate:- remaining:? elapsed:00:00 postfix:-
[16:07:19] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:16 139653055583936 levanter.tensorstore_serialization malloc_trim after checkpoint commits returned 1
[16:07:19] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:16 139631915902656 jax.experimental.array_serialization.serialization Finished committing to storage layer by process: 0
[16:07:19] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:16 139631915902656 levanter.checkpoint Saved checkpoint to gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p065_s20260910/2026.09.09/checkpoints/step-2283 for step 2283
[16:07:19] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:16 139631915902656 levanter.checkpoint Deleting old temporary checkpoint gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p065_s20260910/2026.09.09/checkpoints/step-1463 after saving new checkpoint.
[16:07:19] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:16 139631915902656 levanter.checkpoint Removing checkpoint gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p065_s20260910/2026.09.09/checkpoints/step-1463
[16:07:19] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:16 139631915902656 jax.experimental.array_serialization.serialization on_commit_callback successfully ran!
[16:07:19] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:16 139658033882816 levanter.checkpoint Deleting old checkpoint from gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p065_s20260910/2026.09.09/checkpoints/step-1463
[16:07:19] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:16 139658033882816 levanter.checkpoint Deleted old checkpoint from gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p065_s20260910/2026.09.09/checkpoints/step-1463 in 0.14 seconds
[16:07:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:22 139987065164608 tqdm_loggable.tqdm_logging Progress on:eval 45.0it/45.0it rate:6.1it/s remaining:00:00 elapsed:00:11 postfix:-
[16:07:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:25 139987065164608 levanter.eval eval loss: 1.614
[16:07:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:25 139987065164608 levanter.eval paloma micro loss: 1.614
[16:07:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-aa2a4590/0 attempt=2 | I20260911 16:07:25 139987065164608 levanter.eval paloma/dolma_100_programing_languages-tpp10 loss: 1.614
