[16:05:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:05:40 139945362375488 tqdm_loggable.tqdm_logging Progress on:train 6.90kit/11.5kit rate:4.9s/it remaining:6:15:10 elapsed:19:17 postfix:loss=2.28
[16:06:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:25 139945362375488 levanter.checkpoint Saving temporary checkpoint at step 6958.
[16:06:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:25 139945362375488 levanter.checkpoint Saving checkpoint at step 6958 to gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p060_s20260910/2026.09.09/checkpoints/step-6958
[16:06:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:25 139945362375488 levanter.checkpoint Saving checkpoint to gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p060_s20260910/2026.09.09/checkpoints/step-6958 for step 6958
[16:06:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:25 139945362375488 levanter.tensorstore_serialization Checkpoint gives this process 2.37GiB of 2.37GiB across 41 of 41 arrays; 0.00GiB of that is 15 arrays it writes alone and 0.00GiB is split no further than the replica cap, opt_state/inner_state/inner_states/adam/inner_state/1/nu/transformer/layers/stacked/self_attn/q_norm/weight at 0.00GiB, opt_state/inner_state/inner_states/adam/inner_state/1/nu/transformer/layers/stacked/self_attn/k_norm/weight at 0.00GiB, opt_state/inner_state/inner_states/adam/inner_state/1/mu/transformer/layers/stacked/self_attn/q_norm/weight at 0.00GiB
[16:06:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:25 139945362375488 jax.experimental.array_serialization.serialization Thread joined successfully
[16:06:26] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:25 139945362375488 jax.experimental.array_serialization.serialization Error check finished successfully
[16:06:32] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:26 139945362375488 levanter.tensorstore_serialization Checkpoint staged 2.37 GiB peak against a 16.00 GiB budget across 119 writes (about 9 GiB of host memory while in flight)
[16:06:32] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:26 139607445100224 jax.experimental.array_serialization.serialization Starting commit to storage layer by process: 0
[16:06:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:40 139945362375488 tqdm_loggable.tqdm_logging Progress on:train 6.98kit/11.5kit rate:1.4it/s remaining:54:44 elapsed:20:17 postfix:loss=2.25
[16:06:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:43 139611728791232 levanter.tensorstore_serialization malloc_trim after checkpoint commits returned 1
[16:06:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:43 139607445100224 jax.experimental.array_serialization.serialization Finished committing to storage layer by process: 0
[16:06:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:43 139607445100224 levanter.checkpoint Saved checkpoint to gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p060_s20260910/2026.09.09/checkpoints/step-6958 for step 6958
[16:06:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:43 139607445100224 levanter.checkpoint Deleting old temporary checkpoint gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p060_s20260910/2026.09.09/checkpoints/step-6145 after saving new checkpoint.
[16:06:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:43 139607445100224 levanter.checkpoint Removing checkpoint gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p060_s20260910/2026.09.09/checkpoints/step-6145
[16:06:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:43 139607445100224 jax.experimental.array_serialization.serialization on_commit_callback successfully ran!
[16:06:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:43 139617750292160 levanter.checkpoint Deleting old checkpoint from gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p060_s20260910/2026.09.09/checkpoints/step-6145
[16:06:46] task=/calvinxu/starcoder-tpp10-refinement-batch-recovery/verified_training-e7af7ef9/0 attempt=3 | I20260911 16:06:43 139617750292160 levanter.checkpoint Deleted old checkpoint from gs://marin-us-central1/tmp/ttl=14d/checkpoints-temp/marin-us-central1/checkpoints/starcoder_tpp10/tpp10_target_p060_s20260910/2026.09.09/checkpoints/step-6145 in 0.15 seconds
