[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:55 140678499399360 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678499399360)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_unmatched_p090_s20260910_633438b9
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:55 140678549755584 fray.current_client current_client: using Iris backend (auto-detected)
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:55 140690022380352 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260910_d20260913_0fa70410	Params = {'fingerprint': '09b89f30', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/subset_20260913@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': '09b89f30'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260910_d20260913/2026.09.09
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:56 140678482613952 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678482613952)] Status checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260910_d20260912_8f73ed8c: None
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:56 140678482613952 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678482613952)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260910_d20260912_8f73ed8c
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:56 140678499399360 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678499399360)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_unmatched_p090_s20260910_633438b9
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:56 140678532970176 fray.current_client current_client: using Iris backend (auto-detected)
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:56 140690022380352 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260910_d20260914_bc3e308c	Params = {'fingerprint': '79af7387', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/subset_20260914@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': '79af7387'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260910_d20260914/2026.09.09
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:56 140678482613952 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678482613952)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260910_d20260912_8f73ed8c
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:56 140678516184768 fray.current_client current_client: using Iris backend (auto-detected)
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:56 140678465828544 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678465828544)] Status checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260910_d20260913_0fa70410: None
