[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + pyparsing==3.3.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + pyqwest==0.6.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + pytest==9.0.3
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + pytest-timeout==2.4.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + python-dateutil==2.9.0.post0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + python-dotenv==1.2.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + python-multipart==0.0.31
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + pytimeparse==1.1.8
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + pytz==2025.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + pyyaml==6.0.3
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + referencing==0.37.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + regex==2026.1.14
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + requests==2.33.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + requests-oauthlib==2.0.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + resiliparse==0.17.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + rich==14.2.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + rpds-py==0.30.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + rsa==4.9.1
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + s3fs==2026.1.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + safetensors==0.6.2
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + scikit-learn==1.8.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + scipy==1.17.0
[07:09:08] task=/calvinxu/starcoder-tpp10-refinement/0 attempt=0 |  + scramp==1.4.17
