run_id	commit	version	moe_impl	data	master_params	schedule_steps	timeout	restore_from	extra
ra2a-l2-i01-leanpath	93a91c1489	2026.08.21.36	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i01b-leanpath-f070	6b39a2c2a2	2026.08.21.37	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i01c-leanpath-f070-s80	24ff7b01bc	2026.08.21.38	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i01d-leanpath-mlpremat	0c0bb5472a	2026.08.21.39	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i01f-leanpath-lhs068	8117d49827	2026.08.21.40	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i01g-leanpath-chunk2	69dc015a9c	2026.08.21.42	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i02-chunk3	4a1f8d3f56	2026.08.21.44	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i03-chunk2-lhs	f2fbdd04c5	2026.08.21.45	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i04-prof-chunk2	9503155c98	2026.08.21.46	ragged_all_to_all	synthetic	disabled	4470000	2100	none	--profile-steps 3
ra2a-l2-i06-chunk2-devkernel	c3e7137f1a	2026.08.21.48	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i07-chunk2-cmdbuf	578b36af69	2026.08.21.49	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i08-chunk2-nobarrier	b282cc0d3e	2026.08.21.50	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i09-chunk2-splits64	c9b18858ae	2026.08.21.51	ragged_all_to_all	synthetic	disabled	4470000	2100	none	--ragged-all-to-all-splits-per-peer 64
ra2a-l2-i10-chunk2-splits128	c9b18858ae	2026.08.21.52	ragged_all_to_all	synthetic	disabled	4470000	2100	none	--ragged-all-to-all-splits-per-peer 128
ra2a-l2-i11-stock-devkernel	90ef05fa67	2026.08.22.3	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i11-stock-sendrecv	dbd2628fa8	2026.08.22.3	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i12-nightly-devkernel	e12dc963a9	2026.08.22.4	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i12b-nightly-dk-symbuf	9a94451d6a	2026.08.22.5	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i13-wheel-dk-symbuf	4756eb7f41	2026.08.22.6	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i13b-wheel-dk-symbuf	4756eb7f41	2026.08.22.7	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i13c-wheel-dk-symbuf	4756eb7f41	2026.08.22.8	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i14-cleanmain-dk	738535f5cc	2026.08.22.9	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i15-wheel-dk-symbuf	cc0913f293	2026.08.22.10	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-ab-ragged-6k	5f68415d88	2026.08.22.11	ragged_all_to_all	mixture	disabled	4470000	2400	s3://marin-us-east-02a/marin/grug/hero-12d8b6f0-dee637/2026.08.19.2/checkpoints/step-6000	none
ra2a-l2-ab-ragged-6k-b	dfd4652236	2026.08.22.12	ragged_all_to_all	mixture	disabled	4470000	2400	s3://marin-us-east-02a/marin/grug/hero-12d8b6f0-dee637/2026.08.19.2/checkpoints/step-6000	none
ra2a-l2-ab-ragged-6k-c	935ab4b770	2026.08.22.13	ragged_all_to_all	mixture	disabled	4470000	2400	s3://marin-us-east-02a/marin/grug/hero-12d8b6f0-dee637/2026.08.19.2/checkpoints/step-6000	none
ra2a-l2-ab-pooled-6k	935ab4b770	2026.08.22.14	fixed_pooled_wave_all_to_all	mixture	disabled	4470000	2400	s3://marin-us-east-02a/marin/grug/hero-12d8b6f0-dee637/2026.08.19.2/checkpoints/step-6000	none
ra2a-l2-i16-nightly-dk-nosymk	e43db3a418	2026.08.22.15	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i16b-nightly-dk-symkar	3e53fc1b3c	2026.08.22.16	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i17-oneshot-symbuf	b3cf55b7be	2026.08.23.1	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i18-dk-scoped	02c55c3ac2	2026.08.23.2	ragged_all_to_all	synthetic	disabled	4470000	2100	none	none
ra2a-l2-i19-dk-profile	b0ca131aea	2026.08.23.3	ragged_all_to_all	synthetic	disabled	4470000	2100	none	--profile-steps 3 --profile-start-step 8
