source,artifact_path,sample_file,sample_group,file_count,rows
agenttrove-glm53-compactions,gs://marin-us-central2/normalized-chat/agenttrove-glm53-compactions_6642f7e7,marin-us-central2/normalized-chat/agenttrove-glm53-compactions_6642f7e7/outputs/main/part-00000-of-00001.parquet,8,1,10
coderforge,gs://marin-us-central2/normalized-chat/coderforge_9b20c2e2,marin-us-central2/normalized-chat/coderforge_9b20c2e2/outputs/main/part-00012-of-00014.parquet,22,14,10
davinci-dev/env-native,gs://marin-us-central2/normalized-chat/davinci-dev-env-native_0ef84ba5,marin-us-central2/normalized-chat/davinci-dev-env-native_0ef84ba5/outputs/main/part-00003-of-00010.parquet,1,10,10
glm-5.2-kernelgym-rollouts,gs://marin-us-central2/normalized-chat/glm-5.2-kernelgym-rollouts_de9ae208,marin-us-central2/normalized-chat/glm-5.2-kernelgym-rollouts_de9ae208/outputs/main/part-00000-of-00001.parquet,0,1,10
gpt-oss-rollouts,gs://marin-us-central2/normalized-chat/gpt-oss-rollouts_3116e0b6,marin-us-central2/normalized-chat/gpt-oss-rollouts_3116e0b6/outputs/main/part-00011-of-00015.parquet,8,15,10
identity-data,hf://datasets/marin-community/identity-data@665ac6e,https://datasets-server.huggingface.co/rows,one offset per corpus decile,,10
massive_function_calling,gs://marin-us-central2/normalized-chat/massive_function_calling_d2e7f279,marin-us-central2/normalized-chat/massive_function_calling_d2e7f279/outputs/main/part-00000-of-00002.parquet,123,2,10
nemotron-terminal,gs://marin-us-central2/normalized-chat/nemotron-terminal_2afe834b,marin-us-central2/normalized-chat/nemotron-terminal_2afe834b/outputs/main/part-00000-of-00003.parquet,15,3,10
nemotron_sft/sft_code,gs://marin-us-central2/normalized-chat/nemotron_pretraining_sft_v1/sft_code_4ae9741a,marin-us-central2/normalized-chat/nemotron_pretraining_sft_v1/sft_code_4ae9741a/outputs/main/part-00043-of-00179.parquet,2,179,10
nemotron_sft/sft_general,gs://marin-us-central2/normalized-chat/nemotron_pretraining_sft_v1/sft_general_77acea28,marin-us-central2/normalized-chat/nemotron_pretraining_sft_v1/sft_general_77acea28/outputs/main/part-00004-of-00031.parquet,5,31,10
