source	total	flagged	rate
cp/stackv2_code_74713f62	218165559	958972	0.004396
nemotron_sft/sft_math_bbfeb086	141463009	688125	0.004864
nemotron_cc_v2/medium_quality_d80000c7	2362251513	523936	0.000222
hplt_v3_8e800e34	474545108	452346	0.000953
finepdfs_ac5c9b63	206917497	329238	0.001591
nemotron_cc_code_v1/all_7f8b93e5	216347017	289148	0.001337
nemotron_code_v2/synthetic_rewriting_ee7bdd75	89516974	267000	0.002983
nemotron_cc_v2/diverse_qa_a154843a	1218921877	207616	0.000170
nemotron_cc_v2_1/medium_high_quality_synthetic_8e6e16d1	3170809383	198851	0.000063
nemotron_sft/sft_general_56c350c5	53464361	188142	0.003519
nemotron_cc_v2/high_quality_3f950970	786525660	186185	0.000237
nemotron_specialized_v1_1/formal_logic_b73844e1	489061	172554	0.352827
nemotron_cc_math_v1/3_7020fb37	56052805	146989	0.002622
nemotron_code_v2/synthetic_question_answering_82b93fca	390191868	138976	0.000356
nemotron_code_v2/synthetic_code_review_72565975	85487053	129336	0.001513
nemotron_cc_v2/medium_high_quality_6517319f	582568028	113493	0.000195
davinci-dev/ctx-native_2cd167e5	4155216	75825	0.018248
nemotron_sft/sft_code_ca2d7327	69775704	71843	0.001030
nemotron_specialized/math_textbooks_2f7afb94	12899253	57921	0.004490
nemotron_cc_math_v1/4plus_mind_506bbdee	88725842	54603	0.000615
nemotron_code_v2/synthetic_transpilation_07d38391	25506237	54262	0.002127
finepdfs/spa_Latn_17f85665	25693246	45168	0.001758
nemotron_cc_v2/high_quality_synthetic_10cd7c53	2998689974	43945	0.000015
finepdfs/fra_Latn_2766a7f8	27313205	27272	0.000998
finepdfs/deu_Latn_a170c0a8	36122416	25181	0.000697
finepdfs/jpn_Jpan_b58e3602	31394077	18697	0.000596
climblab-ja_c02f612b	201028899	16873	0.000084
cp/data_provenance_e01c1015	3471035	15234	0.004389
finepdfs/rus_Cyrl_a223e8d6	16315357	13465	0.000825
finepdfs/hun_Latn_ea1374e5	3146603	12081	0.003839
finepdfs/ita_Latn_3a7a5f02	17590027	11285	0.000642
institutional_books_292a30a1	982983	11173	0.011366
cp/stackexchange_9c70e9b3	30987453	11137	0.000359
nemotron_specialized/stem_sft_935d56a5	20909342	10113	0.000484
finepdfs/por_Latn_5143f4fe	12045816	9964	0.000827
nemotron_specialized/rqa_8658fb27	17476335	9580	0.000548
nemotron_cc_v2_1/medium_quality_b88c3eb0	63385457	8254	0.000130
nemotron_cc_v2_1/high_quality_synthetic_8a63327d	129858528	6866	0.000053
finepdfs/pol_Latn_c7895eda	9693141	6222	0.000642
finepdfs/nld_Latn_57e7a281	7796758	5848	0.000750
nemotron_specialized_v1_1/code_concepts_73260225	15217505	5766	0.000379
finepdfs/ces_Latn_85ab0bf9	5652287	5597	0.000990
nemotron_cc_v2_1/high_quality_translated_synthetic_a98b7bac	267345659	4443	0.000017
synthetic-1_d90bd3c2	1868252	4432	0.002372
finepdfs/swe_Latn_ab5b7886	4126315	4205	0.001019
coderforge_733271af	258133	4129	0.015996
nemotron_cc_v2/translated_diverse_qa_4045972f	534645806	3673	0.000007
finepdfs/cmn_Hani_95426f42	4914553	3549	0.000722
nemotron_cc_v2_1/high_quality_68f16760	28913798	3392	0.000117
finepdfs/ron_Latn_6f91831c	3266248	3172	0.000971
nemotron_specialized/infinibyte_reasoning_813a1601	1478301	3040	0.002056
superior-reasoning_77b5bf0f	434521	2400	0.005523
cp/github_archive_4d1e7736	23345398	2237	0.000096
gpt-oss-rollouts_98283755	1468946	2194	0.001494
finepdfs/tha_Thai_beece280	2516003	1952	0.000776
finepdfs/ukr_Cyrl_2cefc312	2678761	1875	0.000700
nemotron-terminal_cf96d3bf	366154	1812	0.004949
nemotron_code_v2/synthetic_student_teacher_ae5fa9a3	44931561	1777	0.000040
cp/arxiv_papers_6c19c3dc	295411	1727	0.005846
nemotron_cc_v2_1/medium_high_quality_592168c8	17875485	1707	0.000095
nemotron_cc_v2_1/high_quality_dqa_3a5f782b	7807055	1460	0.000187
finepdfs/ind_Latn_d80afdeb	2324568	1448	0.000623
starcoder2/ir_cpp_74f20a64	2916589	1322	0.000453
nemotron_cc_v2_1/high_quality_translated_d90a7728	66739479	1194	0.000018
starcoder2/kaggle_8b06937a	580195	1111	0.001915
cp/wikiteam_aef0e73b	10230106	1055	0.000103
cp/caselaw_7a04ccfe	6719884	1042	0.000155
davinci-dev/env-native_ccb53aa9	73956	1011	0.013670
cp/pubmed_0cf980e2	3785594	983	0.000260
swe-rebench-openhands_b1e4f919	67074	981	0.014626
cp/library_of_congress_7746a6cb	128686	814	0.006325
