domain,phase_0_weight,phase_1_weight,simulated_epochs
dolma3_arxiv,0.011553396546657562,2.546442649362583e-05,2.0714991248458268
dolma3_cc/art_and_design_high,0.00019538091338119155,8.176013389729279e-07,0.008668555249521018
dolma3_cc/art_and_design_low,0.00693817769444669,5.697054740350255e-06,0.7577713050754302
dolma3_cc/crime_and_law_high,0.018638808986623377,3.865627813807238e-06,0.613764066039747
dolma3_cc/crime_and_law_low,0.024248026899271857,3.153738507710751e-05,1.778004477895961
dolma3_cc/education_and_jobs_high,0.033566170020098055,2.029437613587989e-06,0.6759998686607296
dolma3_cc/education_and_jobs_low,0.027200353081575066,1.4112940993725594e-05,1.1184837591599768
dolma3_cc/electronics_and_hardware_high,0.026902368606165596,1.1398243212237637e-05,1.026943783836322
dolma3_cc/electronics_and_hardware_low,0.019039202557514436,3.0366151522681535e-05,1.5466815933797462
dolma3_cc/entertainment_high,0.021043969947194964,1.952150477311999e-06,0.25149946516565014
dolma3_cc/entertainment_low,0.048711844490422936,2.269921482023899e-05,1.5998805417631228
dolma3_cc/finance_and_business_high,0.012073839939320834,9.878168637278069e-07,0.11231748111545035
dolma3_cc/finance_and_business_low,7.404877093885196e-05,5.102090971884543e-07,0.0014481150536159381
dolma3_cc/food_and_dining_high,0.016602025582447263,3.905521267420019e-06,0.49176962893497644
dolma3_cc/food_and_dining_low,0.011054481337732878,5.317882998358806e-06,0.6652862247634694
dolma3_cc/games_high,0.0467635132335746,3.3416932914719634e-06,1.0473216221301436
dolma3_cc/games_low,0.011244397392360474,5.328312057185272e-06,0.6717607945093196
dolma3_cc/health_high,0.043676216049352914,3.841712221396955e-06,0.5075291898559207
dolma3_cc/health_low,0.004910511507592104,1.5539384315903464e-06,0.13389154125787137
dolma3_cc/history_and_geography_high,0.04199682449277389,4.985316506325598e-05,1.5733140644702048
dolma3_cc/history_and_geography_low,0.006311499902062055,6.158518925204876e-06,0.8591458897987496
dolma3_cc/industrial_high,0.030083768800631374,0.0025085785262810236,1.902742317878938
dolma3_cc/industrial_low,0.011323069155273566,1.3747648620038953e-05,1.3253839693384586
dolma3_cc/literature_high,0.0043882488683049965,1.1545825405817354e-06,0.08595875713375871
dolma3_cc/literature_low,0.0017228273609089168,1.8278696039007044e-06,0.1265952342770349
dolma3_cc/science_math_and_technology_high,0.005236258633629221,1.2610562802483703e-06,0.10902782766734868
dolma3_cc/science_math_and_technology_low,0.020356703055975336,9.730659742609446e-06,0.9285864654869128
dolma3_finemath_3plus,0.016038182200169636,0.0863351049107502,5.598889694865685
dolma3_stack_edu,0.06582785030102564,0.6018378624858018,8.163175870134166
dolma3_wikipedia,0.0016878705081026322,0.005270189658610409,4.144803267205278
dolmino_common_crawl_hq,0.11375184296251566,4.5428230997943e-08,0.43686027382606746
dolmino_olmocr_pdfs_hq,0.0019969193836296023,9.112976377803085e-07,0.04908082189040238
dolmino_stack_edu_fim,0.057935551111884184,0.0678018849989968,2.830337570562233
dolmino_stem_heavy_crawl,5.290667681608282e-08,1.7387113582184928e-09,5.1769824760216935e-05
dolmino_synth_code,0.008726717179815177,0.03323828145492468,4.5706479885999824
dolmino_synth_instruction,0.007940969817640798,0.014225183758299684,3.2356196595707605
dolmino_synth_math,0.010766158150940354,0.10408385974977374,8.530734089803016
dolmino_synth_qa,0.19107438112635258,0.010848828912764652,1.8601581856569007
dolmino_synth_thinking,0.018397570525016,0.0735908062581089,4.666647316959801
