dataset,mode,policy,evaluation_model,subset_size,n_records,success_rate,R²_median,R²_q25,R²_q75,regret@1_median,regret@1_q25,regret@1_q75,Huber_median,Huber_q25,Huber_q75,RMSE_median,RMSE_q25,RMSE_q75,regret@5_median,regret@5_q25,regret@5_q75,chosen_true_rank_median,chosen_true_rank_q25,chosen_true_rank_q75,Spearman_median,Spearman_q25,Spearman_q75
three_phase_starcoder,prospective,doptimal_replay,BayesLogQuad(w-e),16,16,1.0,0.19175424584236128,0.11700834383504155,0.8194660167290412,0.038720011711120605,0.015986323356628418,0.09489637613296509,0.010472594419323432,0.0033912225616662306,0.011173529143723606,0.18695964679213997,0.0883197768329877,0.19540388974937822,0.013643115758895874,0.0071724653244018555,0.0268268883228302,57.0,26.0,81.0,0.6991591468416736,0.6432548634712294,0.8416903492323919
three_phase_starcoder,prospective,doptimal_replay,CES-Overfit,16,16,1.0,0.27590458177638016,-0.03349940967831064,0.647884645871978,0.024456769227981567,0.007830917835235596,0.028135359287261963,0.01282215450071941,0.007117539252699613,0.01692111426933322,0.17696509310037783,0.1234020388491182,0.2107825376321645,0.0038258731365203857,0.002526223659515381,0.008581697940826416,37.5,14.0,45.0,0.7552355560764092,0.6369096449080042,0.8322849525372086
three_phase_starcoder,prospective,doptimal_replay,DS-RE-CEQ,16,16,1.0,0.9617859782294224,0.9465885676550152,0.966081388796848,0.01384657621383667,0.0020932555198669434,0.02724277973175049,0.0008259802665839999,0.0007334891062561687,0.0011479113686417028,0.040654026646467674,0.03830110343289511,0.04803088458755345,0.0020932555198669434,0.0020932555198669434,0.005531743168830872,23.5,3.0,42.0,0.9413365756474863,0.9331521739130435,0.9447153697410055
three_phase_starcoder,prospective,feature_bayes_linear_replay,BayesLogQuad(w-e),16,16,1.0,0.7898609484724103,0.3247826112829796,0.8956051592141043,0.02908378839492798,0.007626786828041077,0.038720011711120605,0.004128902342350358,0.0021968195125687154,0.009189381037330514,0.09508258473815476,0.0671738226797431,0.1708887877866751,0.007830917835235596,0.0020932555198669434,0.015746653079986572,45.5,15.5,57.0,0.8265132427047932,0.7249296847533107,0.9073413512246573
three_phase_starcoder,prospective,feature_bayes_linear_replay,CES-Overfit,16,16,1.0,0.6523378026344597,0.6274958400124748,0.6979658315817157,0.008880972862243652,0.007830917835235596,0.025734663009643555,0.006556282019742826,0.005872271673579977,0.007307976164651782,0.12261466322320168,0.11425197526006495,0.12692826764146395,0.002526223659515381,0.002526223659515381,0.004002079367637634,18.0,14.0,39.75,0.7643311262158677,0.7509763564983007,0.8064733973983358
three_phase_starcoder,prospective,feature_bayes_linear_replay,DS-RE-CEQ,16,16,1.0,0.8918255237811212,0.8082404962874793,0.9402634827161744,0.008656144142150879,0.0020932555198669434,0.02724277973175049,0.002026622790220795,0.0012871895376646782,0.0037844873983329816,0.06818922962904667,0.050829096713053495,0.09106663022888192,0.0020932555198669434,0.0020932555198669434,0.0020932555198669434,17.0,3.0,42.0,0.9274874018516348,0.9136272412984883,0.9429911812961443
three_phase_starcoder,prospective,feature_dpp_replay,BayesLogQuad(w-e),16,16,1.0,0.7841293175765336,0.5240289732521773,0.9018820771052969,0.016445815563201904,0.007830917835235596,0.038625121116638184,0.00373374617564911,0.0020367039617132953,0.00745623550639823,0.09621799453265606,0.06499873683613976,0.14346589516811106,0.004892110824584961,0.0024179816246032715,0.009475305676460266,28.0,14.0,55.25,0.8678249150357435,0.7580818586663541,0.9221397808508145
three_phase_starcoder,prospective,feature_dpp_replay,CES-Overfit,16,16,1.0,0.6786680790560526,0.4686812228930002,0.7575836370556057,0.02502015233039856,0.004529386758804321,0.03136697411537173,0.006138034685917695,0.004933491198455216,0.010005505062644986,0.11786540656017803,0.10239212654011659,0.15156735023026074,0.002526223659515381,0.002526223659515381,0.003816470503807068,38.0,9.25,48.5,0.8162984882221962,0.7449373022383687,0.8363346712762217
three_phase_starcoder,prospective,feature_dpp_replay,DS-RE-CEQ,16,16,1.0,0.8391854356391748,0.7469447248820096,0.9268454798366131,0.008510887622833252,0.0020932555198669434,0.01801566779613495,0.0028956720892418315,0.001575088431569199,0.004314518561780937,0.08333145220714826,0.056217411111945316,0.10440485807467374,0.0020932555198669434,0.0020932555198669434,0.002531111240386963,16.5,3.0,28.5,0.9288556193601312,0.914557453416149,0.9406275635767022
three_phase_starcoder,prospective,feature_maximin_replay,BayesLogQuad(w-e),16,16,1.0,0.6000214877027088,0.5565226466089005,0.7865816927789681,0.031156808137893677,0.01903700828552246,0.11249853670597076,0.005223845872307505,0.003954802204642071,0.00634277105782998,0.1315192264419341,0.09607394441114159,0.13849040272407726,0.004892110824584961,0.0026102662086486816,0.020536720752716064,48.0,30.0,87.5,0.8237138169459743,0.754884712293449,0.9013235380288293
