subset_size,run_name,wandb_run_name,predicted_optimum_tuple,predicted_bpb,actual_bpb,regret_at_1,wandb_state,wandb_url,best_observed_bpb,observed_count,best_observed_tuple,rl_rollout_bpb,rl_rollout_tuple
4,feature_bayes_linear_k004_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k004_optimum,"(0.2444, 0.4567, 0.5234)",0.8384946695554578,0.9412517547607422,0.0468465685844422,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k004_optimum-daedaf,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
6,feature_bayes_linear_k006_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k006_optimum,"(0.0000, 0.1363, 0.0931)",0.7510412777220652,0.9154745936393738,0.0511342287063598,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k006_optimum-061937,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
8,feature_bayes_linear_k008_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k008_optimum,"(0.0000, 0.0913, 0.2323)",0.8585569948394535,0.8936293721199036,0.0190370082855224,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k008_optimum-c8c716,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
10,feature_bayes_linear_k010_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k010_optimum,"(0.0000, 0.0326, 0.3678)",0.7268118390801723,0.8957632184028625,0.0272427797317504,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k010_optimum-d98b6d,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
12,feature_bayes_linear_k012_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k012_optimum,"(0.0395, 0.1002, 0.2853)",0.8556910825908856,0.8819105625152588,0.0164458155632019,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k012_optimum-721ed1,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
16,feature_bayes_linear_k016_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k016_optimum,"(0.1104, 0.1896, 0.2878)",0.8111702886363683,0.869709312915802,0.0045871138572692,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k016_optimum-d8e2b8,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
24,feature_bayes_linear_k024_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k024_optimum,"(0.0856, 0.2087, 0.3042)",0.7782193664810751,0.8698619604110718,0.0045871138572692,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k024_optimum-ef7699,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
32,feature_bayes_linear_k032_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k032_optimum,"(0.0316, 0.2306, 0.3100)",0.8079718066368146,0.8683112859725952,0.0020932555198669,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k032_optimum-4e1431,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
48,feature_bayes_linear_k048_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k048_optimum,"(0.0000, 0.1843, 0.3333)",0.8299197186366486,0.8734033703804016,0.0020932555198669,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k048_optimum-21c4f5,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
64,feature_bayes_linear_k064_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k064_optimum,"(0.0000, 0.1999, 0.3211)",0.8266188431194551,0.872148334980011,0.0020932555198669,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k064_optimum-41cff6,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
96,feature_bayes_linear_k096_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k096_optimum,"(0.0000, 0.1838, 0.3209)",0.8412097469464836,0.872637927532196,0.0020932555198669,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k096_optimum-dfc2ba,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
128,feature_bayes_linear_k128_optimum,pcx/dm/t3s-e32b1ae8/feature_bayes_linear_k128_optimum,"(0.0000, 0.1994, 0.3081)",0.8368896475344425,0.8729768395423889,0.0020932555198669,finished,https://wandb.ai/marin-community/marin/runs/feature_bayes_linear_k128_optimum-41acce,0.8630125522613525,160,"(0.0796, 0.4134, 0.1862)",0.8395644426,"[0.3199999928, 0.3199999928, 0.275000006]"
