dataset,k,policy,seed,subset_id,selected_indices,success,regret@1,regret@5,chosen_true_rank,rmse,spearman,runtime_s
three_phase_starcoder,16,random_observed,1016,2-7-33-38-39-47-53-63-65-75-88-92-93-95-130-148,"[2, 7, 33, 38, 39, 47, 53, 63, 65, 75, 88, 92, 93, 95, 130, 148]",1.0,0.0020932555198669434,0.0020932555198669434,3.0,0.18057713691556218,0.9343402086018985,3.021586250004475
three_phase_starcoder,16,random_observed,1017,6-8-16-27-31-34-38-55-67-78-110-120-125-129-145-148,"[6, 8, 16, 27, 31, 34, 38, 55, 67, 78, 110, 120, 125, 129, 145, 148]",1.0,0.02724277973175049,0.008365631103515625,42.0,0.0842749969000825,0.9203416149068323,3.0467352919949917
three_phase_starcoder,16,random_observed,1018,5-25-28-32-38-43-48-54-62-84-87-104-123-125-138-153,"[5, 25, 28, 32, 38, 43, 48, 54, 62, 84, 87, 104, 123, 125, 138, 153]",1.0,0.02724277973175049,0.008365631103515625,42.0,1.7320838121775668,0.9286446736200632,2.859295624992228
three_phase_starcoder,16,random_observed,1019,7-30-32-42-44-45-53-54-56-101-106-109-112-148-154-155,"[7, 30, 32, 42, 44, 45, 53, 54, 56, 101, 106, 109, 112, 148, 154, 155]",1.0,0.004587113857269287,0.0038446784019470215,9.0,0.4375486549363894,0.951086956521739,2.928782750008395
three_phase_starcoder,16,random_observed,1020,5-12-23-38-63-78-81-86-100-101-122-130-142-144-146-149,"[5, 12, 23, 38, 63, 78, 81, 86, 100, 101, 122, 130, 142, 144, 146, 149]",1.0,0.02724277973175049,0.016445815563201904,42.0,0.37992219155746915,0.9126831126215867,2.9801241249952
three_phase_starcoder,16,random_observed,1021,8-25-28-30-32-55-60-67-72-76-77-83-87-96-104-108,"[8, 25, 28, 30, 32, 55, 60, 67, 72, 76, 77, 83, 87, 96, 104, 108]",1.0,0.004587113857269287,0.0,9.0,0.10344290927517566,0.8056603773584906,3.0579029170039576
three_phase_starcoder,16,random_observed,1022,3-13-14-35-39-44-48-55-59-74-111-115-137-138-145-157,"[3, 13, 14, 35, 39, 44, 48, 55, 59, 74, 111, 115, 137, 138, 145, 157]",1.0,0.0020932555198669434,0.0,3.0,0.04987477070264662,0.9372700105472871,2.836179791003815
three_phase_starcoder,16,random_observed,1023,12-18-27-31-38-41-49-64-70-93-98-115-122-131-148-154,"[12, 18, 27, 31, 38, 41, 49, 64, 70, 93, 98, 115, 122, 131, 148, 154]",1.0,0.02724277973175049,0.0020932555198669434,42.0,0.089909070050794,0.8373403257939763,2.917797458008863
three_phase_starcoder,16,random_observed,1024,0-8-19-35-37-46-69-78-81-91-92-98-105-107-131-138,"[0, 8, 19, 35, 37, 46, 69, 78, 81, 91, 92, 98, 105, 107, 131, 138]",1.0,0.004587113857269287,0.004587113857269287,9.0,0.9833365826147149,0.9534044298605415,2.9809364159882534
three_phase_starcoder,16,random_observed,1025,2-20-28-36-37-48-57-60-61-103-107-136-140-144-148-150,"[2, 20, 28, 36, 37, 48, 57, 60, 61, 103, 107, 136, 140, 144, 148, 150]",1.0,0.02724277973175049,0.008365631103515625,42.0,0.9827298153912205,0.916471346536974,2.935023165991879
