rank,real_eigenvalue,random_p95,random_mean
1,15.806234658639124,2.0297446084544437,1.9191212900700256
2,5.335664035888691,1.8959285736810354,1.8136955822760088
3,4.027186831265814,1.8017570244015206,1.733896901693157
4,2.9523369510622413,1.7285735302416043,1.6656724190032601
5,2.36030690473895,1.658003200616906,1.6061462943254972
6,1.7009026486931573,1.6007575163356005,1.5512498002823565
7,1.355839428616876,1.5478707273376218,1.4993057283708229
8,1.2120503968045813,1.4940146489349206,1.4516014757357072
9,0.9741695217714665,1.4485979772004722,1.4058144301821383
10,0.8951473360335414,1.4027323231381046,1.362768741864678
11,0.6868994086994412,1.3618111440909937,1.3217404275845377
12,0.6368730597349191,1.317991753481209,1.281754579171842
13,0.5908701021811887,1.2805967089846853,1.2452143933541513
14,0.542802187777654,1.242972893709121,1.2072420542941698
15,0.44936538376669294,1.2045032276082184,1.1715652189221395
16,0.4184424618049867,1.1681443734187607,1.1363797213779971
17,0.35967027426541537,1.134044669001188,1.1013004157398016
18,0.31889016415669913,1.0985417588669744,1.0685736141780593
19,0.3101507634588858,1.0663760727380276,1.0367190018484453
20,0.2972892603737441,1.0346506990820206,1.0055982966110815
21,0.26350279508344915,1.0041635792382517,0.9740726737364155
22,0.2210844780574538,0.9736257547096507,0.9435775002742105
23,0.2004626329582718,0.9409656643593608,0.9139148068182317
24,0.18229927843552435,0.911561493734123,0.8846197157560362
25,0.16400687757206717,0.8844940671299224,0.8565157131411019
26,0.11853262276247285,0.8550614384342025,0.8286804535344287
27,0.10848653677792841,0.8306098366626977,0.800741855307491
28,0.08042075195802974,0.8006795652261135,0.7739109869475642
29,0.0798305681770362,0.7739735493095885,0.7471609383285219
30,0.059384732758288705,0.7473173508308218,0.7200370617877286
31,0.04814515238227173,0.7191067952974395,0.6946280259813957
32,0.04581829334054992,0.6921287478258283,0.6681206180509501
33,0.03445342320239963,0.664982929160538,0.6423804173300642
34,0.031712802981680936,0.6426901399546339,0.6161678034772677
35,0.028373830937576672,0.6184271084715944,0.5907620192538736
36,0.02233785334185141,0.5889673842861399,0.5645471909046782
37,0.018872993684755632,0.5675186617430765,0.5395337800310906
38,0.017224977731683695,0.5409802285193026,0.5138105074006766
39,0.016333023838338623,0.5166066433996277,0.488369905567372
40,0.011729631738611542,0.4880824557387195,0.4597574681601615
41,0.009966472652042032,0.45934947951312194,0.4311565901773197
42,0.0037483762232054484,0.43115207550591816,0.40051562918306893
43,0.0021801136704400884,0.3937082518570221,0.36165795196447303
