run_name,legacy_alias_all43_aggregate_mean_theta,legacy_alias_all43_rank,fixed_all43_aggregate_mean_theta,fixed_all43_rank,fixed_common43_aggregate_mean_theta,fixed_common43_rank,variable_common43_aggregate_mean_theta,variable_common43_rank
run_00207,0.7143352702666169,1,0.7997453069935245,2,0.7997453069935245,2,0.9083702427960257,1
run_00223,0.6472518040580613,2,0.5327299502300248,15,0.5327299502300248,15,0.7365511254253977,4
baseline_stratified,0.6401268585371017,3,0.7442705175128785,5,0.7442705175128785,5,0.7326058162196913,5
run_00063,0.6366208091806556,4,0.313472314102932,48,0.313472314102932,48,0.35949051658473014,40
run_00233,0.6352285628772524,5,0.5570777849423892,14,0.5570777849423892,14,0.7371176496724011,3
run_00201,0.6109837659551395,6,0.4777684580540929,22,0.4777684580540929,22,0.36184261247300825,38
run_00218,0.5853580982182952,7,0.6216322582359991,8,0.6216322582359991,8,0.33544600278214176,47
run_00124,0.5693523145858611,8,0.36972504837764175,37,0.36972504837764175,37,0.32628872171705775,48
run_00131,0.5619928361036638,9,0.343616405977669,41,0.343616405977669,41,0.4352523936903692,26
run_00156,0.5447851588690461,10,0.43706473879968954,25,0.43706473879968954,25,0.3797968751410448,32
run_00162,0.5407262038579315,11,0.3215304973898318,46,0.3215304973898318,46,0.3239123172235427,49
run_00021,0.5145682376165627,12,0.4265083136956455,26,0.4265083136956455,26,0.5891547627080419,11
run_00155,0.49365226392313605,13,0.5133848167181453,17,0.5133848167181453,17,0.5905245606763974,10
run_00130,0.4917448825596473,14,0.337047846410478,43,0.337047846410478,43,0.4136132655423002,29
run_00112,0.48541083665271273,15,0.18169804262063116,75,0.18169804262063116,75,0.30597865046799594,51
run_00221,0.47364335696092574,16,0.31320716353924266,49,0.31320716353924266,49,0.34495842916727043,46
run_00239,0.4600457416722062,17,0.593903947666119,9,0.593903947666119,9,0.525505232091389,14
run_00125,0.4573125843101014,18,0.899810613971565,1,0.899810613971565,1,0.8608432019945336,2
run_00018,0.4538838370656298,19,0.5118752833700722,18,0.5118752833700722,18,0.4509538722776078,22
run_00217,0.45365548492015134,20,0.5046132980347907,19,0.5046132980347907,19,0.3590454148257716,41
run_00224,0.44016194557340166,21,0.37605177532441214,35,0.37605177532441214,35,0.3601539933888878,39
run_00102,0.43702713164072904,22,0.49082909581222295,21,0.49082909581222295,21,0.49478682572170213,16
run_00219,0.43655152635441263,23,0.19174972408549376,72,0.19174972408549376,72,0.3054045640611525,52
run_00028,0.43230947984417245,24,0.24296352110928124,60,0.24296352110928124,60,0.1365843480752318,97
run_00159,0.4299542807201884,25,0.6311428437527424,7,0.6311428437527424,7,0.5715832594221656,13
run_00081,0.42991655081960917,26,0.38669526611479316,33,0.38669526611479316,33,0.46237194590688396,18
run_00173,0.4140704913030763,27,0.42174936786956513,27,0.42174936786956513,27,0.22836157940143084,64
run_00098,0.4068286324043107,28,0.6796248572858626,6,0.6796248572858626,6,0.7215147083427883,6
run_00237,0.39898331539703236,29,0.3611969346070439,40,0.3611969346070439,40,0.41269124843040556,30
run_00056,0.39210379144805224,30,0.1997338096969733,70,0.1997338096969733,70,0.26076991666701227,59
run_00183,0.38536807903337583,31,0.415393456500359,28,0.415393456500359,28,0.5743533355132712,12
run_00214,0.37705719038164,32,0.15419207539693286,82,0.15419207539693286,82,0.17288233027667912,82
baseline_proportional,0.3693016392656226,33,0.7722163772042281,3,0.7722163772042281,3,0.4263655534957733,28
run_00039,0.3605409199752785,34,0.18749278738428057,73,0.18749278738428057,73,0.27551893519945764,58
run_00126,0.3559282691932329,35,0.34026556063915975,42,0.34026556063915975,42,0.29960713963968894,53
run_00138,0.35162242700925345,36,0.4401191811797833,24,0.4401191811797833,24,0.6125736820616607,8
run_00142,0.34864366205678876,37,0.4027714330293404,30,0.4027714330293404,30,0.11711299084542078,103
run_00090,0.34005767361144223,38,0.2525387391620407,57,0.2525387391620407,57,0.3635323648941176,36
run_00079,0.3398622479786915,39,0.37549985442208994,36,0.37549985442208994,36,0.2760459428452205,57
run_00178,0.3361429168425029,40,0.4028158720541088,29,0.4028158720541088,29,0.18342023717683983,77
run_00093,0.33002458205231855,41,0.16245026519498165,80,0.16245026519498165,80,0.16416972750646405,86
run_00075,0.32642575212993097,42,0.571009220307763,12,0.571009220307763,12,0.439188957479201,25
run_00008,0.3128731256021015,43,0.10625277792708732,93,0.10625277792708732,93,0.13397168493191278,100
