cap_epochs,candidate_id,alias_id,canonical_candidate_id,selection_eligible
4,shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,cap4_shared_bounded_ensemble_kl0,True
4,shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,cap4_shared_bounded_ensemble_kl0p05,True
4,shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,True
4,shared_bounded_ensemble_kl0p5,cap4_shared_bounded_ensemble_kl0p5,cap4_shared_bounded_ensemble_kl0p5,True
4,observed_cap4_best,cap4_observed_cap4_best,cap4_observed_cap4_best,False
4,proportional_control,cap4_proportional_control,cap4_proportional_control,False
6,shared_bounded_ensemble_kl0,cap6_shared_bounded_ensemble_kl0,cap6_shared_bounded_ensemble_kl0,True
6,shared_bounded_ensemble_kl0p05,cap6_shared_bounded_ensemble_kl0p05,cap6_shared_bounded_ensemble_kl0p05,True
6,shared_bounded_ensemble_kl0p2,cap6_shared_bounded_ensemble_kl0p2,cap6_shared_bounded_ensemble_kl0p2,True
6,shared_bounded_ensemble_kl0p5,cap6_shared_bounded_ensemble_kl0p5,cap6_shared_bounded_ensemble_kl0p5,True
6,observed_cap6_best,cap6_observed_cap6_best,cap4_observed_cap4_best,False
6,proportional_control,cap6_proportional_control,cap4_proportional_control,False
