run_order,run_id,row_id,prefix_state_id,prefix_candidate_id,prefix_repeat_seed,continuation_id,action_id,role,fit_budget,data_seed,trainer_seed
0,990000,p00__fit_maximin_00,observed_cap10_best,observed_cap10_best,0,fit_maximin_00,fit_maximin_00,common_fit,True,970000,0
1,990001,p00__fit_maximin_01,observed_cap10_best,observed_cap10_best,0,fit_maximin_01,fit_maximin_01,common_fit,True,970000,0
2,990002,p00__fit_maximin_02,observed_cap10_best,observed_cap10_best,0,fit_maximin_02,fit_maximin_02,common_fit,True,970000,0
3,990003,p00__fit_maximin_03,observed_cap10_best,observed_cap10_best,0,fit_maximin_03,fit_maximin_03,common_fit,True,970000,0
4,990004,p00__fit_maximin_04,observed_cap10_best,observed_cap10_best,0,fit_maximin_04,fit_maximin_04,common_fit,True,970000,0
5,990005,p00__fit_maximin_05,observed_cap10_best,observed_cap10_best,0,fit_maximin_05,fit_maximin_05,common_fit,True,970000,0
6,990006,p00__fit_maximin_06,observed_cap10_best,observed_cap10_best,0,fit_maximin_06,fit_maximin_06,common_fit,True,970000,0
7,990007,p00__fit_maximin_07,observed_cap10_best,observed_cap10_best,0,fit_maximin_07,fit_maximin_07,common_fit,True,970000,0
8,990008,p00__fit_maximin_08,observed_cap10_best,observed_cap10_best,0,fit_maximin_08,fit_maximin_08,common_fit,True,970000,0
9,990009,p00__fit_maximin_09,observed_cap10_best,observed_cap10_best,0,fit_maximin_09,fit_maximin_09,common_fit,True,970000,0
10,990010,p00__fit_maximin_10,observed_cap10_best,observed_cap10_best,0,fit_maximin_10,fit_maximin_10,common_fit,True,970000,0
11,990011,p00__fit_maximin_11,observed_cap10_best,observed_cap10_best,0,fit_maximin_11,fit_maximin_11,common_fit,True,970000,0
12,990012,p00__fit_maximin_12,observed_cap10_best,observed_cap10_best,0,fit_maximin_12,fit_maximin_12,common_fit,True,970000,0
13,990013,p00__fit_maximin_13,observed_cap10_best,observed_cap10_best,0,fit_maximin_13,fit_maximin_13,common_fit,True,970000,0
14,990014,p00__fit_maximin_14,observed_cap10_best,observed_cap10_best,0,fit_maximin_14,fit_maximin_14,common_fit,True,970000,0
15,990015,p00__fit_maximin_15,observed_cap10_best,observed_cap10_best,0,fit_maximin_15,fit_maximin_15,common_fit,True,970000,0
16,990016,p00__fit_maximin_16,observed_cap10_best,observed_cap10_best,0,fit_maximin_16,fit_maximin_16,common_fit,True,970000,0
17,990017,p00__fit_maximin_17,observed_cap10_best,observed_cap10_best,0,fit_maximin_17,fit_maximin_17,common_fit,True,970000,0
18,990018,p00__fit_maximin_18,observed_cap10_best,observed_cap10_best,0,fit_maximin_18,fit_maximin_18,common_fit,True,970000,0
19,990019,p00__fit_maximin_19,observed_cap10_best,observed_cap10_best,0,fit_maximin_19,fit_maximin_19,common_fit,True,970000,0
20,990020,p00__fit_maximin_20,observed_cap10_best,observed_cap10_best,0,fit_maximin_20,fit_maximin_20,common_fit,True,970000,0
21,990021,p00__fit_maximin_21,observed_cap10_best,observed_cap10_best,0,fit_maximin_21,fit_maximin_21,common_fit,True,970000,0
22,990022,p00__fit_maximin_22,observed_cap10_best,observed_cap10_best,0,fit_maximin_22,fit_maximin_22,common_fit,True,970000,0
23,990023,p00__fit_maximin_23,observed_cap10_best,observed_cap10_best,0,fit_maximin_23,fit_maximin_23,common_fit,True,970000,0
24,990024,p00__fit_maximin_24,observed_cap10_best,observed_cap10_best,0,fit_maximin_24,fit_maximin_24,common_fit,True,970000,0
25,990025,p00__fit_maximin_25,observed_cap10_best,observed_cap10_best,0,fit_maximin_25,fit_maximin_25,common_fit,True,970000,0
26,990026,p00__fit_maximin_26,observed_cap10_best,observed_cap10_best,0,fit_maximin_26,fit_maximin_26,common_fit,True,970000,0
27,990027,p00__fit_maximin_27,observed_cap10_best,observed_cap10_best,0,fit_maximin_27,fit_maximin_27,common_fit,True,970000,0
28,990028,p00__fit_maximin_28,observed_cap10_best,observed_cap10_best,0,fit_maximin_28,fit_maximin_28,common_fit,True,970000,0
29,990029,p00__fit_maximin_29,observed_cap10_best,observed_cap10_best,0,fit_maximin_29,fit_maximin_29,common_fit,True,970000,0
30,990030,p00__fit_maximin_30,observed_cap10_best,observed_cap10_best,0,fit_maximin_30,fit_maximin_30,common_fit,True,970000,0
31,990031,p00__fit_maximin_31,observed_cap10_best,observed_cap10_best,0,fit_maximin_31,fit_maximin_31,common_fit,True,970000,0
32,990032,p00__fit_maximin_32,observed_cap10_best,observed_cap10_best,0,fit_maximin_32,fit_maximin_32,common_fit,True,970000,0
33,990033,p00__fit_maximin_33,observed_cap10_best,observed_cap10_best,0,fit_maximin_33,fit_maximin_33,common_fit,True,970000,0
34,990034,p00__fit_maximin_34,observed_cap10_best,observed_cap10_best,0,fit_maximin_34,fit_maximin_34,common_fit,True,970000,0
35,990035,p00__fit_maximin_35,observed_cap10_best,observed_cap10_best,0,fit_maximin_35,fit_maximin_35,common_fit,True,970000,0
36,990036,p00__fit_maximin_36,observed_cap10_best,observed_cap10_best,0,fit_maximin_36,fit_maximin_36,common_fit,True,970000,0
37,990037,p00__fit_maximin_37,observed_cap10_best,observed_cap10_best,0,fit_maximin_37,fit_maximin_37,common_fit,True,970000,0
38,990038,p00__fit_maximin_38,observed_cap10_best,observed_cap10_best,0,fit_maximin_38,fit_maximin_38,common_fit,True,970000,0
39,990039,p00__fit_maximin_39,observed_cap10_best,observed_cap10_best,0,fit_maximin_39,fit_maximin_39,common_fit,True,970000,0
40,990040,p00__fit_maximin_40,observed_cap10_best,observed_cap10_best,0,fit_maximin_40,fit_maximin_40,common_fit,True,970000,0
41,990041,p00__fit_maximin_41,observed_cap10_best,observed_cap10_best,0,fit_maximin_41,fit_maximin_41,common_fit,True,970000,0
42,990042,p00__fit_maximin_42,observed_cap10_best,observed_cap10_best,0,fit_maximin_42,fit_maximin_42,common_fit,True,970000,0
43,990043,p00__fit_maximin_43,observed_cap10_best,observed_cap10_best,0,fit_maximin_43,fit_maximin_43,common_fit,True,970000,0
44,990044,p00__fit_maximin_44,observed_cap10_best,observed_cap10_best,0,fit_maximin_44,fit_maximin_44,common_fit,True,970000,0
45,990045,p00__fit_maximin_45,observed_cap10_best,observed_cap10_best,0,fit_maximin_45,fit_maximin_45,common_fit,True,970000,0
46,990046,p00__fit_maximin_46,observed_cap10_best,observed_cap10_best,0,fit_maximin_46,fit_maximin_46,common_fit,True,970000,0
47,990047,p00__fit_maximin_47,observed_cap10_best,observed_cap10_best,0,fit_maximin_47,fit_maximin_47,common_fit,True,970000,0
48,990048,p00__fit_maximin_48,observed_cap10_best,observed_cap10_best,0,fit_maximin_48,fit_maximin_48,common_fit,True,970000,0
49,990049,p00__fit_maximin_49,observed_cap10_best,observed_cap10_best,0,fit_maximin_49,fit_maximin_49,common_fit,True,970000,0
50,990050,p00__control_tied,observed_cap10_best,observed_cap10_best,0,control_tied,control_tied,prefix_tied_control,False,970000,0
51,990051,p00__sentinel_low_fit_maximin_00,observed_cap10_best,observed_cap10_best,0,sentinel_low_fit_maximin_00,fit_maximin_00,common_action_low_exposure_noise_control,False,930001,0
52,990052,p00__sentinel_high_fit_maximin_26,observed_cap10_best,observed_cap10_best,0,sentinel_high_fit_maximin_26,fit_maximin_26,common_action_high_exposure_noise_control,False,930002,0
53,990053,p01__fit_maximin_00,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_00,fit_maximin_00,common_fit,True,970000,0
54,990054,p01__fit_maximin_01,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_01,fit_maximin_01,common_fit,True,970000,0
55,990055,p01__fit_maximin_02,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_02,fit_maximin_02,common_fit,True,970000,0
56,990056,p01__fit_maximin_03,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_03,fit_maximin_03,common_fit,True,970000,0
57,990057,p01__fit_maximin_04,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_04,fit_maximin_04,common_fit,True,970000,0
58,990058,p01__fit_maximin_05,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_05,fit_maximin_05,common_fit,True,970000,0
59,990059,p01__fit_maximin_06,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_06,fit_maximin_06,common_fit,True,970000,0
60,990060,p01__fit_maximin_07,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_07,fit_maximin_07,common_fit,True,970000,0
61,990061,p01__fit_maximin_08,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_08,fit_maximin_08,common_fit,True,970000,0
62,990062,p01__fit_maximin_09,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_09,fit_maximin_09,common_fit,True,970000,0
63,990063,p01__fit_maximin_10,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_10,fit_maximin_10,common_fit,True,970000,0
64,990064,p01__fit_maximin_11,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_11,fit_maximin_11,common_fit,True,970000,0
65,990065,p01__fit_maximin_12,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_12,fit_maximin_12,common_fit,True,970000,0
66,990066,p01__fit_maximin_13,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_13,fit_maximin_13,common_fit,True,970000,0
67,990067,p01__fit_maximin_14,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_14,fit_maximin_14,common_fit,True,970000,0
68,990068,p01__fit_maximin_15,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_15,fit_maximin_15,common_fit,True,970000,0
69,990069,p01__fit_maximin_16,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_16,fit_maximin_16,common_fit,True,970000,0
70,990070,p01__fit_maximin_17,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_17,fit_maximin_17,common_fit,True,970000,0
71,990071,p01__fit_maximin_18,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_18,fit_maximin_18,common_fit,True,970000,0
72,990072,p01__fit_maximin_19,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_19,fit_maximin_19,common_fit,True,970000,0
73,990073,p01__fit_maximin_20,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_20,fit_maximin_20,common_fit,True,970000,0
74,990074,p01__fit_maximin_21,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_21,fit_maximin_21,common_fit,True,970000,0
75,990075,p01__fit_maximin_22,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_22,fit_maximin_22,common_fit,True,970000,0
76,990076,p01__fit_maximin_23,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,fit_maximin_23,fit_maximin_23,common_fit,True,970000,0
