prefix_candidate_id,continuation_id,bucket,phase_1_count,phase_1_weight,phase_1_materialized_epochs,total_materialized_epochs
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_arxiv,48,0.0234375,1.0597724256566379,4.988088665734785
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/art_and_design_high,2,0.0009765625,0.01092134225262755,0.01092134225262755
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/art_and_design_low,1,0.00048828125,0.013453619346957638,0.013453619346957638
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/crime_and_law_high,15,0.00732421875,0.060853783275291264,0.20521860686082571
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/crime_and_law_low,27,0.01318359375,0.2438453963207846,1.2793960451661448
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/education_and_jobs_high,10,0.0048828125,0.024812687055484534,0.024812687055484534
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/education_and_jobs_low,2,0.0009765625,0.010131280684878103,0.010131280684878103
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/electronics_and_hardware_high,6,0.0029296875,0.02821609727296551,0.02821609727296551
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/electronics_and_hardware_low,2,0.0009765625,0.020009883813180716,0.020009883813180716
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/entertainment_high,22,0.0107421875,0.032393475275180605,0.032393475275180605
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/entertainment_low,3,0.00146484375,0.012138336875907284,0.012138336875907284
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/finance_and_business_high,14,0.0068359375,0.016045624879155247,0.016045624879155247
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/finance_and_business_low,3,0.00146484375,0.007215967384928041,0.007215967384928041
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/food_and_dining_high,3,0.00146484375,0.010947926680936491,0.010947926680936491
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/food_and_dining_low,1,0.00048828125,0.007414015231161779,0.007414015231161779
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/games_high,8,0.00390625,0.022074491490616917,0.022074491490616917
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/games_low,2,0.0009765625,0.014719483080216809,0.014719483080216809
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/health_high,10,0.0048828125,0.014316669871126668,0.014316669871126668
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/health_low,5,0.00244140625,0.016795680174581832,0.016795680174581832
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/history_and_geography_high,9,0.00439453125,0.04152868283291181,0.04152868283291181
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/history_and_geography_low,1,0.00048828125,0.016767331431526963,0.016767331431526963
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/industrial_high,43,0.02099609375,0.3282398004778904,1.8373304888556095
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/industrial_low,19,0.00927734375,0.27392703294725684,1.6420183446408316
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/literature_high,214,0.1044921875,0.5164397077541433,2.78737814459818
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/literature_low,52,0.025390625,0.47065134371832484,2.760983570151435
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/science_math_and_technology_high,231,0.11279296875,0.5925672474260654,3.3107772615074196
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_cc/science_math_and_technology_low,108,0.052734375,0.6069072259734625,3.295385144435442
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_finemath_3plus,48,0.0234375,0.880110679007359,4.867432536124718
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_stack_edu,211,0.10302734375,0.9811741512510096,4.676751113262043
cap4_shared_bounded_ensemble_kl0,fit_000,dolma3_wikipedia,7,0.00341796875,1.1894128623343356,4.548545446003912
cap4_shared_bounded_ensemble_kl0,fit_000,dolmino_common_crawl_hq,71,0.03466796875,0.0335952562750035,0.0335952562750035
cap4_shared_bounded_ensemble_kl0,fit_000,dolmino_olmocr_pdfs_hq,286,0.1396484375,0.8659709498444825,4.864555720730401
cap4_shared_bounded_ensemble_kl0,fit_000,dolmino_stack_edu_fim,197,0.09619140625,0.9173588186986116,4.618124790484713
cap4_shared_bounded_ensemble_kl0,fit_000,dolmino_stem_heavy_crawl,9,0.00439453125,1.07619434220732,4.858535797521348
cap4_shared_bounded_ensemble_kl0,fit_000,dolmino_synth_code,40,0.01953125,1.322203632093397,5.243071074874475
cap4_shared_bounded_ensemble_kl0,fit_000,dolmino_synth_instruction,15,0.00732421875,0.5201034031551116,2.713620227005335
cap4_shared_bounded_ensemble_kl0,fit_000,dolmino_synth_math,33,0.01611328125,0.9428444745541761,4.896662849201014
cap4_shared_bounded_ensemble_kl0,fit_000,dolmino_synth_qa,245,0.11962890625,0.28975289652388725,1.613090605020167
cap4_shared_bounded_ensemble_kl0,fit_000,dolmino_synth_thinking,25,0.01220703125,0.3906506139167782,2.367715994398397
