continuation_id,role,selection_tranche,fit_budget,referee_holdout,prefix_repeat_seed,data_seed,direction_id,direction_family,direction_outcome_status,sign,target_hellinger,achieved_hellinger_to_tied,tv_to_tied,max_phase_1_materialized_epoch,max_total_materialized_epoch,weights_json
historical_frontier_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.08,0.0798926006880331,0.08642578125,2.208909601478052,11.614480835752865,"{""dolma3_arxiv"": 0.03125, ""dolma3_cc/art_and_design_high"": 0.0087890625, ""dolma3_cc/art_and_design_low"": 0.01025390625, ""dolma3_cc/crime_and_law_high"": 0.0224609375, ""dolma3_cc/crime_and_law_low"": 0.009765625, ""dolma3_cc/education_and_jobs_high"": 0.00439453125, ""dolma3_cc/education_and_jobs_low"": 0.02392578125, ""dolma3_cc/electronics_and_hardware_high"": 0.03857421875, ""dolma3_cc/electronics_and_hardware_low"": 0.0029296875, ""dolma3_cc/entertainment_high"": 0.0029296875, ""dolma3_cc/entertainment_low"": 0.0107421875, ""dolma3_cc/finance_and_business_high"": 0.0341796875, ""dolma3_cc/finance_and_business_low"": 0.00390625, ""dolma3_cc/food_and_dining_high"": 0.01025390625, ""dolma3_cc/food_and_dining_low"": 0.00244140625, ""dolma3_cc/games_high"": 0.00537109375, ""dolma3_cc/games_low"": 0.0009765625, ""dolma3_cc/health_high"": 0.005859375, ""dolma3_cc/health_low"": 0.00732421875, ""dolma3_cc/history_and_geography_high"": 0.0048828125, ""dolma3_cc/history_and_geography_low"": 0.01123046875, ""dolma3_cc/industrial_high"": 0.0166015625, ""dolma3_cc/industrial_low"": 0.02490234375, ""dolma3_cc/literature_high"": 0.044921875, ""dolma3_cc/literature_low"": 0.0439453125, ""dolma3_cc/science_math_and_technology_high"": 0.015625, ""dolma3_cc/science_math_and_technology_low"": 0.0537109375, ""dolma3_finemath_3plus"": 0.03271484375, ""dolma3_stack_edu"": 0.08056640625, ""dolma3_wikipedia"": 0.00634765625, ""dolmino_common_crawl_hq"": 0.03857421875, ""dolmino_olmocr_pdfs_hq"": 0.08154296875, ""dolmino_stack_edu_fim"": 0.078125, ""dolmino_stem_heavy_crawl"": 0.00390625, ""dolmino_synth_code"": 0.025390625, ""dolmino_synth_instruction"": 0.00732421875, ""dolmino_synth_math"": 0.02099609375, ""dolmino_synth_qa"": 0.154296875, ""dolmino_synth_thinking"": 0.01806640625}"
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,0.07976355347855482,0.0849609375,2.3788257246686713,11.784396958943484,"{""dolma3_arxiv"": 0.03271484375, ""dolma3_cc/art_and_design_high"": 0.0068359375, ""dolma3_cc/art_and_design_low"": 0.00341796875, ""dolma3_cc/crime_and_law_high"": 0.02001953125, ""dolma3_cc/crime_and_law_low"": 0.01123046875, ""dolma3_cc/education_and_jobs_high"": 0.01025390625, ""dolma3_cc/education_and_jobs_low"": 0.009765625, ""dolma3_cc/electronics_and_hardware_high"": 0.0234375, ""dolma3_cc/electronics_and_hardware_low"": 0.00390625, ""dolma3_cc/entertainment_high"": 0.0126953125, ""dolma3_cc/entertainment_low"": 0.00927734375, ""dolma3_cc/finance_and_business_high"": 0.03369140625, ""dolma3_cc/finance_and_business_low"": 0.0048828125, ""dolma3_cc/food_and_dining_high"": 0.0087890625, ""dolma3_cc/food_and_dining_low"": 0.00244140625, ""dolma3_cc/games_high"": 0.01025390625, ""dolma3_cc/games_low"": 0.001953125, ""dolma3_cc/health_high"": 0.01171875, ""dolma3_cc/health_low"": 0.0087890625, ""dolma3_cc/history_and_geography_high"": 0.0107421875, ""dolma3_cc/history_and_geography_low"": 0.005859375, ""dolma3_cc/industrial_high"": 0.01513671875, ""dolma3_cc/industrial_low"": 0.005859375, ""dolma3_cc/literature_high"": 0.0615234375, ""dolma3_cc/literature_low"": 0.021484375, ""dolma3_cc/science_math_and_technology_high"": 0.03369140625, ""dolma3_cc/science_math_and_technology_low"": 0.04638671875, ""dolma3_finemath_3plus"": 0.0224609375, ""dolma3_stack_edu"": 0.10791015625, ""dolma3_wikipedia"": 0.0068359375, ""dolmino_common_crawl_hq"": 0.08154296875, ""dolmino_olmocr_pdfs_hq"": 0.0830078125, ""dolmino_stack_edu_fim"": 0.0927734375, ""dolmino_stem_heavy_crawl"": 0.0048828125, ""dolmino_synth_code"": 0.0322265625, ""dolmino_synth_instruction"": 0.0078125, ""dolmino_synth_math"": 0.01806640625, ""dolmino_synth_qa"": 0.10888671875, ""dolmino_synth_thinking"": 0.0068359375}"
historical_frontier_h150_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.15,0.1508240393278644,0.1630859375,2.0389934782874324,11.444564712562245,"{""dolma3_arxiv"": 0.02880859375, ""dolma3_cc/art_and_design_high"": 0.00927734375, ""dolma3_cc/art_and_design_low"": 0.015625, ""dolma3_cc/crime_and_law_high"": 0.0224609375, ""dolma3_cc/crime_and_law_low"": 0.0087890625, ""dolma3_cc/education_and_jobs_high"": 0.0029296875, ""dolma3_cc/education_and_jobs_low"": 0.033203125, ""dolma3_cc/electronics_and_hardware_high"": 0.04443359375, ""dolma3_cc/electronics_and_hardware_low"": 0.00244140625, ""dolma3_cc/entertainment_high"": 0.00146484375, ""dolma3_cc/entertainment_low"": 0.0107421875, ""dolma3_cc/finance_and_business_high"": 0.03173828125, ""dolma3_cc/finance_and_business_low"": 0.0029296875, ""dolma3_cc/food_and_dining_high"": 0.01025390625, ""dolma3_cc/food_and_dining_low"": 0.00244140625, ""dolma3_cc/games_high"": 0.00390625, ""dolma3_cc/games_low"": 0.00048828125, ""dolma3_cc/health_high"": 0.00390625, ""dolma3_cc/health_low"": 0.00634765625, ""dolma3_cc/history_and_geography_high"": 0.00341796875, ""dolma3_cc/history_and_geography_low"": 0.013671875, ""dolma3_cc/industrial_high"": 0.01611328125, ""dolma3_cc/industrial_low"": 0.04296875, ""dolma3_cc/literature_high"": 0.03662109375, ""dolma3_cc/literature_low"": 0.05615234375, ""dolma3_cc/science_math_and_technology_high"": 0.0107421875, ""dolma3_cc/science_math_and_technology_low"": 0.0537109375, ""dolma3_finemath_3plus"": 0.0361328125, ""dolma3_stack_edu"": 0.06689453125, ""dolma3_wikipedia"": 0.005859375, ""dolmino_common_crawl_hq"": 0.0263671875, ""dolmino_olmocr_pdfs_hq"": 0.076171875, ""dolmino_stack_edu_fim"": 0.068359375, ""dolmino_stem_heavy_crawl"": 0.0029296875, ""dolmino_synth_code"": 0.021484375, ""dolmino_synth_instruction"": 0.0068359375, ""dolmino_synth_math"": 0.0205078125, ""dolmino_synth_qa"": 0.16748046875, ""dolmino_synth_thinking"": 0.025390625}"
historical_frontier_h150_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.15,0.15041586010565255,0.162109375,2.28080126536111,11.614480835752865,"{""dolma3_arxiv"": 0.03125, ""dolma3_cc/art_and_design_high"": 0.00537109375, ""dolma3_cc/art_and_design_low"": 0.001953125, ""dolma3_cc/crime_and_law_high"": 0.01806640625, ""dolma3_cc/crime_and_law_low"": 0.01123046875, ""dolma3_cc/education_and_jobs_high"": 0.01416015625, ""dolma3_cc/education_and_jobs_low"": 0.005859375, ""dolma3_cc/electronics_and_hardware_high"": 0.017578125, ""dolma3_cc/electronics_and_hardware_low"": 0.00390625, ""dolma3_cc/entertainment_high"": 0.02294921875, ""dolma3_cc/entertainment_low"": 0.0078125, ""dolma3_cc/finance_and_business_high"": 0.03125, ""dolma3_cc/finance_and_business_low"": 0.00537109375, ""dolma3_cc/food_and_dining_high"": 0.0078125, ""dolma3_cc/food_and_dining_low"": 0.001953125, ""dolma3_cc/games_high"": 0.01318359375, ""dolma3_cc/games_low"": 0.00244140625, ""dolma3_cc/health_high"": 0.0146484375, ""dolma3_cc/health_low"": 0.00927734375, ""dolma3_cc/history_and_geography_high"": 0.01416015625, ""dolma3_cc/history_and_geography_low"": 0.00390625, ""dolma3_cc/industrial_high"": 0.013671875, ""dolma3_cc/industrial_low"": 0.0029296875, ""dolma3_cc/literature_high"": 0.06640625, ""dolma3_cc/literature_low"": 0.0146484375, ""dolma3_cc/science_math_and_technology_high"": 0.04443359375, ""dolma3_cc/science_math_and_technology_low"": 0.04052734375, ""dolma3_finemath_3plus"": 0.017578125, ""dolma3_stack_edu"": 0.115234375, ""dolma3_wikipedia"": 0.00634765625, ""dolmino_common_crawl_hq"": 0.107421875, ""dolmino_olmocr_pdfs_hq"": 0.07861328125, ""dolmino_stack_edu_fim"": 0.09423828125, ""dolmino_stem_heavy_crawl"": 0.00537109375, ""dolmino_synth_code"": 0.03369140625, ""dolmino_synth_instruction"": 0.00732421875, ""dolmino_synth_math"": 0.01611328125, ""dolmino_synth_qa"": 0.08740234375, ""dolmino_synth_thinking"": 0.00390625}"
historical_frontier_h230_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,minus,0.23,0.2297901883384827,0.25,2.176999051317673,11.274648589371626,"{""dolma3_arxiv"": 0.02490234375, ""dolma3_cc/art_and_design_high"": 0.00927734375, ""dolma3_cc/art_and_design_low"": 0.0224609375, ""dolma3_cc/crime_and_law_high"": 0.02099609375, ""dolma3_cc/crime_and_law_low"": 0.00732421875, ""dolma3_cc/education_and_jobs_high"": 0.00146484375, ""dolma3_cc/education_and_jobs_low"": 0.044921875, ""dolma3_cc/electronics_and_hardware_high"": 0.0498046875, ""dolma3_cc/electronics_and_hardware_low"": 0.001953125, ""dolma3_cc/entertainment_high"": 0.0009765625, ""dolma3_cc/entertainment_low"": 0.0107421875, ""dolma3_cc/finance_and_business_high"": 0.0283203125, ""dolma3_cc/finance_and_business_low"": 0.00244140625, ""dolma3_cc/food_and_dining_high"": 0.00927734375, ""dolma3_cc/food_and_dining_low"": 0.001953125, ""dolma3_cc/games_high"": 0.00244140625, ""dolma3_cc/games_low"": 0.00048828125, ""dolma3_cc/health_high"": 0.00244140625, ""dolma3_cc/health_low"": 0.0048828125, ""dolma3_cc/history_and_geography_high"": 0.001953125, ""dolma3_cc/history_and_geography_low"": 0.0166015625, ""dolma3_cc/industrial_high"": 0.0146484375, ""dolma3_cc/industrial_low"": 0.07373046875, ""dolma3_cc/literature_high"": 0.0283203125, ""dolma3_cc/literature_low"": 0.0693359375, ""dolma3_cc/science_math_and_technology_high"": 0.0068359375, ""dolma3_cc/science_math_and_technology_low"": 0.05126953125, ""dolma3_finemath_3plus"": 0.03857421875, ""dolma3_stack_edu"": 0.0517578125, ""dolma3_wikipedia"": 0.00537109375, ""dolmino_common_crawl_hq"": 0.0166015625, ""dolmino_olmocr_pdfs_hq"": 0.06689453125, ""dolmino_stack_edu_fim"": 0.0556640625, ""dolmino_stem_heavy_crawl"": 0.00244140625, ""dolmino_synth_code"": 0.01708984375, ""dolmino_synth_instruction"": 0.005859375, ""dolmino_synth_math"": 0.01953125, ""dolmino_synth_qa"": 0.1748046875, ""dolmino_synth_thinking"": 0.03564453125}"
historical_frontier_h230_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.23,0.23093589633439657,0.2470703125,2.28080126536111,11.444564712562245,"{""dolma3_arxiv"": 0.02783203125, ""dolma3_cc/art_and_design_high"": 0.00439453125, ""dolma3_cc/art_and_design_low"": 0.0009765625, ""dolma3_cc/crime_and_law_high"": 0.01513671875, ""dolma3_cc/crime_and_law_low"": 0.0107421875, ""dolma3_cc/education_and_jobs_high"": 0.02001953125, ""dolma3_cc/education_and_jobs_low"": 0.00341796875, ""dolma3_cc/electronics_and_hardware_high"": 0.01171875, ""dolma3_cc/electronics_and_hardware_low"": 0.00390625, ""dolma3_cc/entertainment_high"": 0.04248046875, ""dolma3_cc/entertainment_low"": 0.00634765625, ""dolma3_cc/finance_and_business_high"": 0.02734375, ""dolma3_cc/finance_and_business_low"": 0.00537109375, ""dolma3_cc/food_and_dining_high"": 0.00634765625, ""dolma3_cc/food_and_dining_low"": 0.001953125, ""dolma3_cc/games_high"": 0.01611328125, ""dolma3_cc/games_low"": 0.0029296875, ""dolma3_cc/health_high"": 0.0185546875, ""dolma3_cc/health_low"": 0.00927734375, ""dolma3_cc/history_and_geography_high"": 0.0185546875, ""dolma3_cc/history_and_geography_low"": 0.00244140625, ""dolma3_cc/industrial_high"": 0.01123046875, ""dolma3_cc/industrial_low"": 0.0009765625, ""dolma3_cc/literature_high"": 0.06884765625, ""dolma3_cc/literature_low"": 0.0087890625, ""dolma3_cc/science_math_and_technology_high"": 0.05859375, ""dolma3_cc/science_math_and_technology_low"": 0.033203125, ""dolma3_finemath_3plus"": 0.0126953125, ""dolma3_stack_edu"": 0.1181640625, ""dolma3_wikipedia"": 0.005859375, ""dolmino_common_crawl_hq"": 0.1396484375, ""dolmino_olmocr_pdfs_hq"": 0.06982421875, ""dolmino_stack_edu_fim"": 0.0908203125, ""dolmino_stem_heavy_crawl"": 0.00537109375, ""dolmino_synth_code"": 0.03369140625, ""dolmino_synth_instruction"": 0.0068359375, ""dolmino_synth_math"": 0.01318359375, ""dolmino_synth_qa"": 0.064453125, ""dolmino_synth_thinking"": 0.001953125}"
proportional_h080_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,proportional,historical_ray,operator-defined control reference,minus,0.08,0.08002728034324244,0.09033203125,3.568238587003007,12.97380982127782,"{""dolma3_arxiv"": 0.04443359375, ""dolma3_cc/art_and_design_high"": 0.00537109375, ""dolma3_cc/art_and_design_low"": 0.00537109375, ""dolma3_cc/crime_and_law_high"": 0.0185546875, ""dolma3_cc/crime_and_law_low"": 0.00927734375, ""dolma3_cc/education_and_jobs_high"": 0.00390625, ""dolma3_cc/education_and_jobs_low"": 0.0126953125, ""dolma3_cc/electronics_and_hardware_high"": 0.02880859375, ""dolma3_cc/electronics_and_hardware_low"": 0.00244140625, ""dolma3_cc/entertainment_high"": 0.00341796875, ""dolma3_cc/entertainment_low"": 0.00732421875, ""dolma3_cc/finance_and_business_high"": 0.0244140625, ""dolma3_cc/finance_and_business_low"": 0.00244140625, ""dolma3_cc/food_and_dining_high"": 0.0068359375, ""dolma3_cc/food_and_dining_low"": 0.00146484375, ""dolma3_cc/games_high"": 0.0048828125, ""dolma3_cc/games_low"": 0.00048828125, ""dolma3_cc/health_high"": 0.00439453125, ""dolma3_cc/health_low"": 0.00537109375, ""dolma3_cc/history_and_geography_high"": 0.0048828125, ""dolma3_cc/history_and_geography_low"": 0.0078125, ""dolma3_cc/industrial_high"": 0.0146484375, ""dolma3_cc/industrial_low"": 0.0126953125, ""dolma3_cc/literature_high"": 0.04931640625, ""dolma3_cc/literature_low"": 0.03466796875, ""dolma3_cc/science_math_and_technology_high"": 0.01806640625, ""dolma3_cc/science_math_and_technology_low"": 0.0556640625, ""dolma3_finemath_3plus"": 0.03466796875, ""dolma3_stack_edu"": 0.11572265625, ""dolma3_wikipedia"": 0.01025390625, ""dolmino_common_crawl_hq"": 0.037109375, ""dolmino_olmocr_pdfs_hq"": 0.09033203125, ""dolmino_stack_edu_fim"": 0.103515625, ""dolmino_stem_heavy_crawl"": 0.00537109375, ""dolmino_synth_code"": 0.041015625, ""dolmino_synth_instruction"": 0.00830078125, ""dolmino_synth_math"": 0.02587890625, ""dolmino_synth_qa"": 0.12744140625, ""dolmino_synth_thinking"": 0.0107421875}"
proportional_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,proportional,historical_ray,operator-defined control reference,plus,0.08,0.08009450431572723,0.09033203125,1.5292451087155745,10.934816342990388,"{""dolma3_arxiv"": 0.0234375, ""dolma3_cc/art_and_design_high"": 0.01025390625, ""dolma3_cc/art_and_design_low"": 0.00732421875, ""dolma3_cc/crime_and_law_high"": 0.0244140625, ""dolma3_cc/crime_and_law_low"": 0.01171875, ""dolma3_cc/education_and_jobs_high"": 0.0107421875, ""dolma3_cc/education_and_jobs_low"": 0.01806640625, ""dolma3_cc/electronics_and_hardware_high"": 0.03125, ""dolma3_cc/electronics_and_hardware_low"": 0.00439453125, ""dolma3_cc/entertainment_high"": 0.01123046875, ""dolma3_cc/entertainment_low"": 0.01318359375, ""dolma3_cc/finance_and_business_high"": 0.0458984375, ""dolma3_cc/finance_and_business_low"": 0.0078125, ""dolma3_cc/food_and_dining_high"": 0.01318359375, ""dolma3_cc/food_and_dining_low"": 0.00390625, ""dolma3_cc/games_high"": 0.01171875, ""dolma3_cc/games_low"": 0.00244140625, ""dolma3_cc/health_high"": 0.01416015625, ""dolma3_cc/health_low"": 0.01171875, ""dolma3_cc/history_and_geography_high"": 0.009765625, ""dolma3_cc/history_and_geography_low"": 0.00830078125, ""dolma3_cc/industrial_high"": 0.0166015625, ""dolma3_cc/industrial_low"": 0.01220703125, ""dolma3_cc/literature_high"": 0.0556640625, ""dolma3_cc/literature_low"": 0.02783203125, ""dolma3_cc/science_math_and_technology_high"": 0.0283203125, ""dolma3_cc/science_math_and_technology_low"": 0.044921875, ""dolma3_finemath_3plus"": 0.021484375, ""dolma3_stack_edu"": 0.076171875, ""dolma3_wikipedia"": 0.00439453125, ""dolmino_common_crawl_hq"": 0.08154296875, ""dolmino_olmocr_pdfs_hq"": 0.07568359375, ""dolmino_stack_edu_fim"": 0.0712890625, ""dolmino_stem_heavy_crawl"": 0.00341796875, ""dolmino_synth_code"": 0.0205078125, ""dolmino_synth_instruction"": 0.0068359375, ""dolmino_synth_math"": 0.01513671875, ""dolmino_synth_qa"": 0.13232421875, ""dolmino_synth_thinking"": 0.0107421875}"
proportional_h150_minus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,proportional,historical_ray,operator-defined control reference,minus,0.15,0.14934364336452985,0.16845703125,5.097483695718582,14.503054929993395,"{""dolma3_arxiv"": 0.056640625, ""dolma3_cc/art_and_design_high"": 0.00390625, ""dolma3_cc/art_and_design_low"": 0.00439453125, ""dolma3_cc/crime_and_law_high"": 0.01513671875, ""dolma3_cc/crime_and_law_low"": 0.0078125, ""dolma3_cc/education_and_jobs_high"": 0.00244140625, ""dolma3_cc/education_and_jobs_low"": 0.01025390625, ""dolma3_cc/electronics_and_hardware_high"": 0.02587890625, ""dolma3_cc/electronics_and_hardware_low"": 0.00146484375, ""dolma3_cc/entertainment_high"": 0.00146484375, ""dolma3_cc/entertainment_low"": 0.0048828125, ""dolma3_cc/finance_and_business_high"": 0.0166015625, ""dolma3_cc/finance_and_business_low"": 0.0009765625, ""dolma3_cc/food_and_dining_high"": 0.00439453125, ""dolma3_cc/food_and_dining_low"": 0.0009765625, ""dolma3_cc/games_high"": 0.0029296875, ""dolma3_cc/games_low"": 0.00048828125, ""dolma3_cc/health_high"": 0.00244140625, ""dolma3_cc/health_low"": 0.00341796875, ""dolma3_cc/history_and_geography_high"": 0.00341796875, ""dolma3_cc/history_and_geography_low"": 0.0068359375, ""dolma3_cc/industrial_high"": 0.0126953125, ""dolma3_cc/industrial_low"": 0.01171875, ""dolma3_cc/literature_high"": 0.04345703125, ""dolma3_cc/literature_low"": 0.0361328125, ""dolma3_cc/science_math_and_technology_high"": 0.013671875, ""dolma3_cc/science_math_and_technology_low"": 0.05810546875, ""dolma3_finemath_3plus"": 0.04052734375, ""dolma3_stack_edu"": 0.1328125, ""dolma3_wikipedia"": 0.0146484375, ""dolmino_common_crawl_hq"": 0.0234375, ""dolmino_olmocr_pdfs_hq"": 0.091796875, ""dolmino_stack_edu_fim"": 0.1162109375, ""dolmino_stem_heavy_crawl"": 0.005859375, ""dolmino_synth_code"": 0.0546875, ""dolmino_synth_instruction"": 0.0087890625, ""dolmino_synth_math"": 0.03173828125, ""dolmino_synth_qa"": 0.11669921875, ""dolmino_synth_thinking"": 0.01025390625}"
proportional_h150_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,proportional,historical_ray,operator-defined control reference,plus,0.15,0.15072945442716051,0.1728515625,1.0194967391437162,10.425067973418528,"{""dolma3_arxiv"": 0.01708984375, ""dolma3_cc/art_and_design_high"": 0.01220703125, ""dolma3_cc/art_and_design_low"": 0.0078125, ""dolma3_cc/crime_and_law_high"": 0.02587890625, ""dolma3_cc/crime_and_law_low"": 0.01220703125, ""dolma3_cc/education_and_jobs_high"": 0.01513671875, ""dolma3_cc/education_and_jobs_low"": 0.01904296875, ""dolma3_cc/electronics_and_hardware_high"": 0.0302734375, ""dolma3_cc/electronics_and_hardware_low"": 0.005859375, ""dolma3_cc/entertainment_high"": 0.017578125, ""dolma3_cc/entertainment_low"": 0.01611328125, ""dolma3_cc/finance_and_business_high"": 0.05517578125, ""dolma3_cc/finance_and_business_low"": 0.01171875, ""dolma3_cc/food_and_dining_high"": 0.01611328125, ""dolma3_cc/food_and_dining_low"": 0.00537109375, ""dolma3_cc/games_high"": 0.015625, ""dolma3_cc/games_low"": 0.00390625, ""dolma3_cc/health_high"": 0.02099609375, ""dolma3_cc/health_low"": 0.01513671875, ""dolma3_cc/history_and_geography_high"": 0.0126953125, ""dolma3_cc/history_and_geography_low"": 0.00830078125, ""dolma3_cc/industrial_high"": 0.0166015625, ""dolma3_cc/industrial_low"": 0.01123046875, ""dolma3_cc/literature_high"": 0.0546875, ""dolma3_cc/literature_low"": 0.02392578125, ""dolma3_cc/science_math_and_technology_high"": 0.03173828125, ""dolma3_cc/science_math_and_technology_low"": 0.03857421875, ""dolma3_finemath_3plus"": 0.0166015625, ""dolma3_stack_edu"": 0.060546875, ""dolma3_wikipedia"": 0.0029296875, ""dolmino_common_crawl_hq"": 0.10546875, ""dolmino_olmocr_pdfs_hq"": 0.06591796875, ""dolmino_stack_edu_fim"": 0.05712890625, ""dolmino_stem_heavy_crawl"": 0.0029296875, ""dolmino_synth_code"": 0.01416015625, ""dolmino_synth_instruction"": 0.005859375, ""dolmino_synth_math"": 0.01123046875, ""dolmino_synth_qa"": 0.1259765625, ""dolmino_synth_thinking"": 0.01025390625}"
