continuation_id,role,fit_budget,source,concentration,tv_to_proportional,hellinger_to_proportional,max_phase_1_materialized_epoch,max_total_materialized_epoch_across_candidate_prefixes,weights_json
fit_wave1_extension_00,wave1_extension_stratified_maximin,True,dirichlet,500.0,0.044921875,0.06301824411358452,0.4062766384734493,9.405571234274813,"{""dolma3_arxiv"": 0.00439453125, ""dolma3_cc/art_and_design_high"": 0.0166015625, ""dolma3_cc/art_and_design_low"": 0.00732421875, ""dolma3_cc/crime_and_law_high"": 0.02587890625, ""dolma3_cc/crime_and_law_low"": 0.0048828125, ""dolma3_cc/education_and_jobs_high"": 0.03564453125, ""dolma3_cc/education_and_jobs_low"": 0.02001953125, ""dolma3_cc/electronics_and_hardware_high"": 0.025390625, ""dolma3_cc/electronics_and_hardware_low"": 0.00537109375, ""dolma3_cc/entertainment_high"": 0.05908203125, ""dolma3_cc/entertainment_low"": 0.02490234375, ""dolma3_cc/finance_and_business_high"": 0.080078125, ""dolma3_cc/finance_and_business_low"": 0.03271484375, ""dolma3_cc/food_and_dining_high"": 0.02880859375, ""dolma3_cc/food_and_dining_low"": 0.00634765625, ""dolma3_cc/games_high"": 0.0322265625, ""dolma3_cc/games_low"": 0.0146484375, ""dolma3_cc/health_high"": 0.064453125, ""dolma3_cc/health_low"": 0.02587890625, ""dolma3_cc/history_and_geography_high"": 0.01611328125, ""dolma3_cc/history_and_geography_low"": 0.0029296875, ""dolma3_cc/industrial_high"": 0.009765625, ""dolma3_cc/industrial_low"": 0.0048828125, ""dolma3_cc/literature_high"": 0.0361328125, ""dolma3_cc/literature_low"": 0.01025390625, ""dolma3_cc/science_math_and_technology_high"": 0.03564453125, ""dolma3_cc/science_math_and_technology_low"": 0.02294921875, ""dolma3_finemath_3plus"": 0.001953125, ""dolma3_stack_edu"": 0.01513671875, ""dolma3_wikipedia"": 0.0, ""dolmino_common_crawl_hq"": 0.1875, ""dolmino_olmocr_pdfs_hq"": 0.0302734375, ""dolmino_stack_edu_fim"": 0.01953125, ""dolmino_stem_heavy_crawl"": 0.00048828125, ""dolmino_synth_code"": 0.001953125, ""dolmino_synth_instruction"": 0.00146484375, ""dolmino_synth_math"": 0.001953125, ""dolmino_synth_qa"": 0.07373046875, ""dolmino_synth_thinking"": 0.0126953125}"
fit_wave1_extension_01,wave1_extension_stratified_maximin,True,dirichlet,100.0,0.14990234375,0.18368573306096553,2.8885740942405294,12.294145328515341,"{""dolma3_arxiv"": 0.00048828125, ""dolma3_cc/art_and_design_high"": 0.015625, ""dolma3_cc/art_and_design_low"": 0.0, ""dolma3_cc/crime_and_law_high"": 0.02880859375, ""dolma3_cc/crime_and_law_low"": 0.00048828125, ""dolma3_cc/education_and_jobs_high"": 0.017578125, ""dolma3_cc/education_and_jobs_low"": 0.00146484375, ""dolma3_cc/electronics_and_hardware_high"": 0.02099609375, ""dolma3_cc/electronics_and_hardware_low"": 0.01171875, ""dolma3_cc/entertainment_high"": 0.04296875, ""dolma3_cc/entertainment_low"": 0.0185546875, ""dolma3_cc/finance_and_business_high"": 0.0693359375, ""dolma3_cc/finance_and_business_low"": 0.06298828125, ""dolma3_cc/food_and_dining_high"": 0.0361328125, ""dolma3_cc/food_and_dining_low"": 0.0078125, ""dolma3_cc/games_high"": 0.01953125, ""dolma3_cc/games_low"": 0.00927734375, ""dolma3_cc/health_high"": 0.0634765625, ""dolma3_cc/health_low"": 0.0302734375, ""dolma3_cc/history_and_geography_high"": 0.01123046875, ""dolma3_cc/history_and_geography_low"": 0.001953125, ""dolma3_cc/industrial_high"": 0.00830078125, ""dolma3_cc/industrial_low"": 0.0009765625, ""dolma3_cc/literature_high"": 0.03857421875, ""dolma3_cc/literature_low"": 0.0048828125, ""dolma3_cc/science_math_and_technology_high"": 0.06689453125, ""dolma3_cc/science_math_and_technology_low"": 0.0205078125, ""dolma3_finemath_3plus"": 0.00244140625, ""dolma3_stack_edu"": 0.0166015625, ""dolma3_wikipedia"": 0.00830078125, ""dolmino_common_crawl_hq"": 0.19384765625, ""dolmino_olmocr_pdfs_hq"": 0.03564453125, ""dolmino_stack_edu_fim"": 0.0087890625, ""dolmino_stem_heavy_crawl"": 0.0029296875, ""dolmino_synth_code"": 0.0009765625, ""dolmino_synth_instruction"": 0.0, ""dolmino_synth_math"": 0.001953125, ""dolmino_synth_qa"": 0.0888671875, ""dolmino_synth_thinking"": 0.02880859375}"
fit_wave1_extension_02,wave1_extension_stratified_maximin,True,dirichlet,20.0,0.23974609375,0.32841096851358026,4.627712712326889,12.469447597889044,"{""dolma3_arxiv"": 0.0, ""dolma3_cc/art_and_design_high"": 0.01123046875, ""dolma3_cc/art_and_design_low"": 0.00390625, ""dolma3_cc/crime_and_law_high"": 0.03076171875, ""dolma3_cc/crime_and_law_low"": 0.005859375, ""dolma3_cc/education_and_jobs_high"": 0.0322265625, ""dolma3_cc/education_and_jobs_low"": 0.00390625, ""dolma3_cc/electronics_and_hardware_high"": 0.02294921875, ""dolma3_cc/electronics_and_hardware_low"": 0.0087890625, ""dolma3_cc/entertainment_high"": 0.08251953125, ""dolma3_cc/entertainment_low"": 0.005859375, ""dolma3_cc/finance_and_business_high"": 0.06787109375, ""dolma3_cc/finance_and_business_low"": 0.06201171875, ""dolma3_cc/food_and_dining_high"": 0.0263671875, ""dolma3_cc/food_and_dining_low"": 0.00048828125, ""dolma3_cc/games_high"": 0.0, ""dolma3_cc/games_low"": 0.076171875, ""dolma3_cc/health_high"": 0.0673828125, ""dolma3_cc/health_low"": 0.00244140625, ""dolma3_cc/history_and_geography_high"": 0.017578125, ""dolma3_cc/history_and_geography_low"": 0.0068359375, ""dolma3_cc/industrial_high"": 0.0, ""dolma3_cc/industrial_low"": 0.0029296875, ""dolma3_cc/literature_high"": 0.056640625, ""dolma3_cc/literature_low"": 0.00244140625, ""dolma3_cc/science_math_and_technology_high"": 0.01806640625, ""dolma3_cc/science_math_and_technology_low"": 0.01806640625, ""dolma3_finemath_3plus"": 0.0009765625, ""dolma3_stack_edu"": 0.0, ""dolma3_wikipedia"": 0.0, ""dolmino_common_crawl_hq"": 0.1826171875, ""dolmino_olmocr_pdfs_hq"": 0.025390625, ""dolmino_stack_edu_fim"": 0.0, ""dolmino_stem_heavy_crawl"": 0.00048828125, ""dolmino_synth_code"": 0.068359375, ""dolmino_synth_instruction"": 0.00439453125, ""dolmino_synth_math"": 0.0, ""dolmino_synth_qa"": 0.0595703125, ""dolmino_synth_thinking"": 0.02490234375}"
fit_wave1_extension_03,wave1_extension_stratified_maximin,True,dirichlet,5.0,0.4990234375,0.5464113792462667,2.5885422149863553,9.405571234274813,"{""dolma3_arxiv"": 0.0, ""dolma3_cc/art_and_design_high"": 0.0, ""dolma3_cc/art_and_design_low"": 0.0, ""dolma3_cc/crime_and_law_high"": 0.0, ""dolma3_cc/crime_and_law_low"": 0.0, ""dolma3_cc/education_and_jobs_high"": 0.0, ""dolma3_cc/education_and_jobs_low"": 0.24951171875, ""dolma3_cc/electronics_and_hardware_high"": 0.0009765625, ""dolma3_cc/electronics_and_hardware_low"": 0.0, ""dolma3_cc/entertainment_high"": 0.044921875, ""dolma3_cc/entertainment_low"": 0.00390625, ""dolma3_cc/finance_and_business_high"": 0.048828125, ""dolma3_cc/finance_and_business_low"": 0.0, ""dolma3_cc/food_and_dining_high"": 0.0, ""dolma3_cc/food_and_dining_low"": 0.0, ""dolma3_cc/games_high"": 0.00146484375, ""dolma3_cc/games_low"": 0.0, ""dolma3_cc/health_high"": 0.07080078125, ""dolma3_cc/health_low"": 0.109375, ""dolma3_cc/history_and_geography_high"": 0.13330078125, ""dolma3_cc/history_and_geography_low"": 0.0, ""dolma3_cc/industrial_high"": 0.04541015625, ""dolma3_cc/industrial_low"": 0.0, ""dolma3_cc/literature_high"": 0.029296875, ""dolma3_cc/literature_low"": 0.0, ""dolma3_cc/science_math_and_technology_high"": 0.0048828125, ""dolma3_cc/science_math_and_technology_low"": 0.0, ""dolma3_finemath_3plus"": 0.0, ""dolma3_stack_edu"": 0.0, ""dolma3_wikipedia"": 0.0, ""dolmino_common_crawl_hq"": 0.201171875, ""dolmino_olmocr_pdfs_hq"": 0.0, ""dolmino_stack_edu_fim"": 0.03466796875, ""dolmino_stem_heavy_crawl"": 0.0, ""dolmino_synth_code"": 0.0, ""dolmino_synth_instruction"": 0.0, ""dolmino_synth_math"": 0.0, ""dolmino_synth_qa"": 0.021484375, ""dolmino_synth_thinking"": 0.0}"
fit_wave1_extension_04,wave1_extension_stratified_maximin,True,dirichlet,5.0,0.669921875,0.6317373959213042,3.849395673521978,9.405571234274813,"{""dolma3_arxiv"": 0.0, ""dolma3_cc/art_and_design_high"": 0.01513671875, ""dolma3_cc/art_and_design_low"": 0.0, ""dolma3_cc/crime_and_law_high"": 0.2177734375, ""dolma3_cc/crime_and_law_low"": 0.166015625, ""dolma3_cc/education_and_jobs_high"": 0.0, ""dolma3_cc/education_and_jobs_low"": 0.00048828125, ""dolma3_cc/electronics_and_hardware_high"": 0.0, ""dolma3_cc/electronics_and_hardware_low"": 0.0, ""dolma3_cc/entertainment_high"": 0.130859375, ""dolma3_cc/entertainment_low"": 0.001953125, ""dolma3_cc/finance_and_business_high"": 0.00244140625, ""dolma3_cc/finance_and_business_low"": 0.0, ""dolma3_cc/food_and_dining_high"": 0.0, ""dolma3_cc/food_and_dining_low"": 0.0, ""dolma3_cc/games_high"": 0.0, ""dolma3_cc/games_low"": 0.0, ""dolma3_cc/health_high"": 0.16845703125, ""dolma3_cc/health_low"": 0.0068359375, ""dolma3_cc/history_and_geography_high"": 0.037109375, ""dolma3_cc/history_and_geography_low"": 0.0, ""dolma3_cc/industrial_high"": 0.0, ""dolma3_cc/industrial_low"": 0.13037109375, ""dolma3_cc/literature_high"": 0.0, ""dolma3_cc/literature_low"": 0.0, ""dolma3_cc/science_math_and_technology_high"": 0.00146484375, ""dolma3_cc/science_math_and_technology_low"": 0.00146484375, ""dolma3_finemath_3plus"": 0.0, ""dolma3_stack_edu"": 0.0, ""dolma3_wikipedia"": 0.0, ""dolmino_common_crawl_hq"": 0.04443359375, ""dolmino_olmocr_pdfs_hq"": 0.0087890625, ""dolmino_stack_edu_fim"": 0.0, ""dolmino_stem_heavy_crawl"": 0.0, ""dolmino_synth_code"": 0.0, ""dolmino_synth_instruction"": 0.0, ""dolmino_synth_math"": 0.0, ""dolmino_synth_qa"": 0.06591796875, ""dolmino_synth_thinking"": 0.00048828125}"
fit_wave1_extension_05,wave1_extension_stratified_maximin,True,dirichlet,100.0,0.14453125,0.17010896939401868,5.978857456707332,10.233991593935613,"{""dolma3_arxiv"": 0.00048828125, ""dolma3_cc/art_and_design_high"": 0.0146484375, ""dolma3_cc/art_and_design_low"": 0.00439453125, ""dolma3_cc/crime_and_law_high"": 0.01513671875, ""dolma3_cc/crime_and_law_low"": 0.00341796875, ""dolma3_cc/education_and_jobs_high"": 0.03076171875, ""dolma3_cc/education_and_jobs_low"": 0.01806640625, ""dolma3_cc/electronics_and_hardware_high"": 0.021484375, ""dolma3_cc/electronics_and_hardware_low"": 0.00439453125, ""dolma3_cc/entertainment_high"": 0.0361328125, ""dolma3_cc/entertainment_low"": 0.03662109375, ""dolma3_cc/finance_and_business_high"": 0.08251953125, ""dolma3_cc/finance_and_business_low"": 0.03125, ""dolma3_cc/food_and_dining_high"": 0.017578125, ""dolma3_cc/food_and_dining_low"": 0.013671875, ""dolma3_cc/games_high"": 0.04638671875, ""dolma3_cc/games_low"": 0.01806640625, ""dolma3_cc/health_high"": 0.0634765625, ""dolma3_cc/health_low"": 0.00927734375, ""dolma3_cc/history_and_geography_high"": 0.01025390625, ""dolma3_cc/history_and_geography_low"": 0.0009765625, ""dolma3_cc/industrial_high"": 0.0146484375, ""dolma3_cc/industrial_low"": 0.00341796875, ""dolma3_cc/literature_high"": 0.06689453125, ""dolma3_cc/literature_low"": 0.0029296875, ""dolma3_cc/science_math_and_technology_high"": 0.03466796875, ""dolma3_cc/science_math_and_technology_low"": 0.0302734375, ""dolma3_finemath_3plus"": 0.0, ""dolma3_stack_edu"": 0.02685546875, ""dolma3_wikipedia"": 0.0, ""dolmino_common_crawl_hq"": 0.17626953125, ""dolmino_olmocr_pdfs_hq"": 0.02587890625, ""dolmino_stack_edu_fim"": 0.0068359375, ""dolmino_stem_heavy_crawl"": 0.0244140625, ""dolmino_synth_code"": 0.00732421875, ""dolmino_synth_instruction"": 0.0068359375, ""dolmino_synth_math"": 0.001953125, ""dolmino_synth_qa"": 0.08837890625, ""dolmino_synth_thinking"": 0.00341796875}"
fit_wave1_extension_06,wave1_extension_stratified_maximin,True,dirichlet,100.0,0.20751953125,0.2633770703537727,5.885635204792736,13.002508279157043,"{""dolma3_arxiv"": 0.01123046875, ""dolma3_cc/art_and_design_high"": 0.01708984375, ""dolma3_cc/art_and_design_low"": 0.00634765625, ""dolma3_cc/crime_and_law_high"": 0.01708984375, ""dolma3_cc/crime_and_law_low"": 0.01123046875, ""dolma3_cc/education_and_jobs_high"": 0.0302734375, ""dolma3_cc/education_and_jobs_low"": 0.013671875, ""dolma3_cc/electronics_and_hardware_high"": 0.0537109375, ""dolma3_cc/electronics_and_hardware_low"": 0.00439453125, ""dolma3_cc/entertainment_high"": 0.0322265625, ""dolma3_cc/entertainment_low"": 0.01171875, ""dolma3_cc/finance_and_business_high"": 0.08154296875, ""dolma3_cc/finance_and_business_low"": 0.02783203125, ""dolma3_cc/food_and_dining_high"": 0.02978515625, ""dolma3_cc/food_and_dining_low"": 0.00146484375, ""dolma3_cc/games_high"": 0.0263671875, ""dolma3_cc/games_low"": 0.01611328125, ""dolma3_cc/health_high"": 0.0810546875, ""dolma3_cc/health_low"": 0.00830078125, ""dolma3_cc/history_and_geography_high"": 0.0185546875, ""dolma3_cc/history_and_geography_low"": 0.00048828125, ""dolma3_cc/industrial_high"": 0.00048828125, ""dolma3_cc/industrial_low"": 0.00439453125, ""dolma3_cc/literature_high"": 0.0263671875, ""dolma3_cc/literature_low"": 0.01220703125, ""dolma3_cc/science_math_and_technology_high"": 0.044921875, ""dolma3_cc/science_math_and_technology_low"": 0.0283203125, ""dolma3_finemath_3plus"": 0.0, ""dolma3_stack_edu"": 0.0068359375, ""dolma3_wikipedia"": 0.0, ""dolmino_common_crawl_hq"": 0.17333984375, ""dolmino_olmocr_pdfs_hq"": 0.021484375, ""dolmino_stack_edu_fim"": 0.01123046875, ""dolmino_stem_heavy_crawl"": 0.0, ""dolmino_synth_code"": 0.0, ""dolmino_synth_instruction"": 0.01123046875, ""dolmino_synth_math"": 0.1005859375, ""dolmino_synth_qa"": 0.05810546875, ""dolmino_synth_thinking"": 0.0}"
fit_wave1_extension_07,wave1_extension_stratified_maximin,True,dirichlet,20.0,0.400390625,0.43316357292391333,5.20461362599788,9.405571234274813,"{""dolma3_arxiv"": 0.0, ""dolma3_cc/art_and_design_high"": 0.0, ""dolma3_cc/art_and_design_low"": 0.0, ""dolma3_cc/crime_and_law_high"": 0.00341796875, ""dolma3_cc/crime_and_law_low"": 0.00439453125, ""dolma3_cc/education_and_jobs_high"": 0.078125, ""dolma3_cc/education_and_jobs_low"": 0.02783203125, ""dolma3_cc/electronics_and_hardware_high"": 0.0283203125, ""dolma3_cc/electronics_and_hardware_low"": 0.0, ""dolma3_cc/entertainment_high"": 0.0263671875, ""dolma3_cc/entertainment_low"": 0.0361328125, ""dolma3_cc/finance_and_business_high"": 0.048828125, ""dolma3_cc/finance_and_business_low"": 0.0283203125, ""dolma3_cc/food_and_dining_high"": 0.0166015625, ""dolma3_cc/food_and_dining_low"": 0.0, ""dolma3_cc/games_high"": 0.00537109375, ""dolma3_cc/games_low"": 0.001953125, ""dolma3_cc/health_high"": 0.02197265625, ""dolma3_cc/health_low"": 0.05419921875, ""dolma3_cc/history_and_geography_high"": 0.03271484375, ""dolma3_cc/history_and_geography_low"": 0.07373046875, ""dolma3_cc/industrial_high"": 0.03857421875, ""dolma3_cc/industrial_low"": 0.17626953125, ""dolma3_cc/literature_high"": 0.02734375, ""dolma3_cc/literature_low"": 0.0, ""dolma3_cc/science_math_and_technology_high"": 0.05322265625, ""dolma3_cc/science_math_and_technology_low"": 0.001953125, ""dolma3_finemath_3plus"": 0.0, ""dolma3_stack_edu"": 0.0, ""dolma3_wikipedia"": 0.0, ""dolmino_common_crawl_hq"": 0.18115234375, ""dolmino_olmocr_pdfs_hq"": 0.00537109375, ""dolmino_stack_edu_fim"": 0.0, ""dolmino_stem_heavy_crawl"": 0.0, ""dolmino_synth_code"": 0.0, ""dolmino_synth_instruction"": 0.0, ""dolmino_synth_math"": 0.0, ""dolmino_synth_qa"": 0.02783203125, ""dolmino_synth_thinking"": 0.0}"
fit_wave1_extension_08,wave1_extension_stratified_maximin,True,dirichlet,5.0,0.59033203125,0.5969298946414462,5.23262635167965,11.081452753573778,"{""dolma3_arxiv"": 0.11572265625, ""dolma3_cc/art_and_design_high"": 0.0, ""dolma3_cc/art_and_design_low"": 0.0, ""dolma3_cc/crime_and_law_high"": 0.00390625, ""dolma3_cc/crime_and_law_low"": 0.00927734375, ""dolma3_cc/education_and_jobs_high"": 0.0, ""dolma3_cc/education_and_jobs_low"": 0.20654296875, ""dolma3_cc/electronics_and_hardware_high"": 0.00341796875, ""dolma3_cc/electronics_and_hardware_low"": 0.0, ""dolma3_cc/entertainment_high"": 0.0, ""dolma3_cc/entertainment_low"": 0.0, ""dolma3_cc/finance_and_business_high"": 0.0, ""dolma3_cc/finance_and_business_low"": 0.01513671875, ""dolma3_cc/food_and_dining_high"": 0.005859375, ""dolma3_cc/food_and_dining_low"": 0.0, ""dolma3_cc/games_high"": 0.02880859375, ""dolma3_cc/games_low"": 0.01025390625, ""dolma3_cc/health_high"": 0.0419921875, ""dolma3_cc/health_low"": 0.0, ""dolma3_cc/history_and_geography_high"": 0.03466796875, ""dolma3_cc/history_and_geography_low"": 0.0, ""dolma3_cc/industrial_high"": 0.0390625, ""dolma3_cc/industrial_low"": 0.0, ""dolma3_cc/literature_high"": 0.16552734375, ""dolma3_cc/literature_low"": 0.0, ""dolma3_cc/science_math_and_technology_high"": 0.10205078125, ""dolma3_cc/science_math_and_technology_low"": 0.00390625, ""dolma3_finemath_3plus"": 0.0, ""dolma3_stack_edu"": 0.00439453125, ""dolma3_wikipedia"": 0.0, ""dolmino_common_crawl_hq"": 0.1259765625, ""dolmino_olmocr_pdfs_hq"": 0.060546875, ""dolmino_stack_edu_fim"": 0.0, ""dolmino_stem_heavy_crawl"": 0.0, ""dolmino_synth_code"": 0.02294921875, ""dolmino_synth_instruction"": 0.0, ""dolmino_synth_math"": 0.0, ""dolmino_synth_qa"": 0.0, ""dolmino_synth_thinking"": 0.0}"
fit_wave1_extension_09,wave1_extension_stratified_maximin,True,dirichlet,100.0,0.21923828125,0.2660052791186941,16.31194782629946,25.717519060574272,"{""dolma3_arxiv"": 0.00390625, ""dolma3_cc/art_and_design_high"": 0.0224609375, ""dolma3_cc/art_and_design_low"": 0.00732421875, ""dolma3_cc/crime_and_law_high"": 0.01513671875, ""dolma3_cc/crime_and_law_low"": 0.060546875, ""dolma3_cc/education_and_jobs_high"": 0.02978515625, ""dolma3_cc/education_and_jobs_low"": 0.005859375, ""dolma3_cc/electronics_and_hardware_high"": 0.04296875, ""dolma3_cc/electronics_and_hardware_low"": 0.01513671875, ""dolma3_cc/entertainment_high"": 0.04931640625, ""dolma3_cc/entertainment_low"": 0.02001953125, ""dolma3_cc/finance_and_business_high"": 0.0673828125, ""dolma3_cc/finance_and_business_low"": 0.0634765625, ""dolma3_cc/food_and_dining_high"": 0.0234375, ""dolma3_cc/food_and_dining_low"": 0.005859375, ""dolma3_cc/games_high"": 0.01611328125, ""dolma3_cc/games_low"": 0.005859375, ""dolma3_cc/health_high"": 0.029296875, ""dolma3_cc/health_low"": 0.05322265625, ""dolma3_cc/history_and_geography_high"": 0.00390625, ""dolma3_cc/history_and_geography_low"": 0.0, ""dolma3_cc/industrial_high"": 0.00048828125, ""dolma3_cc/industrial_low"": 0.00439453125, ""dolma3_cc/literature_high"": 0.02587890625, ""dolma3_cc/literature_low"": 0.00732421875, ""dolma3_cc/science_math_and_technology_high"": 0.0390625, ""dolma3_cc/science_math_and_technology_low"": 0.01416015625, ""dolma3_finemath_3plus"": 0.00439453125, ""dolma3_stack_edu"": 0.00146484375, ""dolma3_wikipedia"": 0.046875, ""dolmino_common_crawl_hq"": 0.18017578125, ""dolmino_olmocr_pdfs_hq"": 0.0087890625, ""dolmino_stack_edu_fim"": 0.02294921875, ""dolmino_stem_heavy_crawl"": 0.0, ""dolmino_synth_code"": 0.0, ""dolmino_synth_instruction"": 0.0009765625, ""dolmino_synth_math"": 0.01416015625, ""dolmino_synth_qa"": 0.087890625, ""dolmino_synth_thinking"": 0.0}"
