run_order,run_id,row_id,prefix_state_id,prefix_candidate_id,prefix_repeat_seed,continuation_id,action_id,role,fit_budget,data_seed,trainer_seed
0,1010000,screen10__p00__local_anchor_fit079,observed_cap10_best,observed_cap10_best,0,local_anchor_fit079,local_anchor_fit079,validated_frontier_anchor,True,974000,0
1,1010001,screen10__p00__local_plus_37,observed_cap10_best,observed_cap10_best,0,local_plus_37,local_plus_37,local_interior_forward,True,974000,0
2,1010002,screen10__p00__local_minus_37,observed_cap10_best,observed_cap10_best,0,local_minus_37,local_minus_37,local_interior_reverse,True,974000,0
3,1010003,screen10__p00__local_plus_32,observed_cap10_best,observed_cap10_best,0,local_plus_32,local_plus_32,local_interior_forward,True,974000,0
4,1010004,screen10__p00__local_minus_32,observed_cap10_best,observed_cap10_best,0,local_minus_32,local_minus_32,local_interior_reverse,True,974000,0
5,1010005,screen10__p00__local_plus_24,observed_cap10_best,observed_cap10_best,0,local_plus_24,local_plus_24,local_interior_forward,True,974000,0
6,1010006,screen10__p00__local_minus_24,observed_cap10_best,observed_cap10_best,0,local_minus_24,local_minus_24,local_interior_reverse,True,974000,0
7,1010007,screen10__p00__local_plus_30,observed_cap10_best,observed_cap10_best,0,local_plus_30,local_plus_30,local_boundary_activation,True,974000,0
8,1010008,screen10__p00__local_plus_10,observed_cap10_best,observed_cap10_best,0,local_plus_10,local_plus_10,local_boundary_activation,True,974000,0
9,1010009,screen10__p00__local_plus_20,observed_cap10_best,observed_cap10_best,0,local_plus_20,local_plus_20,local_boundary_activation,True,974000,0
10,1010010,screen10__p00__control_tied,observed_cap10_best,observed_cap10_best,0,control_tied,control_tied,prefix_tied_control,False,974000,0
11,1010011,screen10__p00__control_anchor_repeat,observed_cap10_best,observed_cap10_best,0,control_anchor_repeat,local_anchor_fit079,anchor_exposure_noise_control,False,974001,0
12,1010012,screen10__p00__control_local_sentinel_repeat,observed_cap10_best,observed_cap10_best,0,control_local_sentinel_repeat,local_plus_24,local_action_exposure_noise_control,False,974002,0
13,1010013,screen10__p01__local_anchor_fit079,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,local_anchor_fit079,local_anchor_fit079,validated_frontier_anchor,True,974000,0
14,1010014,screen10__p01__local_plus_37,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,local_plus_37,local_plus_37,local_interior_forward,True,974000,0
15,1010015,screen10__p01__local_minus_37,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,local_minus_37,local_minus_37,local_interior_reverse,True,974000,0
16,1010016,screen10__p01__local_plus_32,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,local_plus_32,local_plus_32,local_interior_forward,True,974000,0
17,1010017,screen10__p01__local_minus_32,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,local_minus_32,local_minus_32,local_interior_reverse,True,974000,0
18,1010018,screen10__p01__local_plus_24,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,local_plus_24,local_plus_24,local_interior_forward,True,974000,0
19,1010019,screen10__p01__local_minus_24,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,local_minus_24,local_minus_24,local_interior_reverse,True,974000,0
20,1010020,screen10__p01__local_plus_30,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,local_plus_30,local_plus_30,local_boundary_activation,True,974000,0
21,1010021,screen10__p01__local_plus_10,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,local_plus_10,local_plus_10,local_boundary_activation,True,974000,0
22,1010022,screen10__p01__local_plus_20,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,local_plus_20,local_plus_20,local_boundary_activation,True,974000,0
23,1010023,screen10__p01__control_tied,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,control_tied,control_tied,prefix_tied_control,False,974000,0
24,1010024,screen10__p01__control_anchor_repeat,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,control_anchor_repeat,local_anchor_fit079,anchor_exposure_noise_control,False,974001,0
25,1010025,screen10__p01__control_local_sentinel_repeat,shared_bounded_ensemble_kl0p05,shared_bounded_ensemble_kl0p05,0,control_local_sentinel_repeat,local_plus_24,local_action_exposure_noise_control,False,974002,0
