model,description,ridge,feature_count,fixed340_all_rmse,fixed340_all_spearman,seed7_train_rmse,seed7_train_spearman,seed7_holdout_rmse,seed7_holdout_spearman,fixed340_holdout_rmse,fixed340_holdout_spearman,random_supplement_rmse,random_supplement_spearman,all900_holdout_rmse,all900_holdout_spearman,score
canonical_mct_lrq69_drop,Current canonical MCT-LRQ model.,,0.0,0.00998824388367126,0.8903474903474904,0.02834117024659794,0.9348594268997826,0.010074510396277337,0.9707033315705974,0.0061428227877597845,0.9236874236874236,0.012334094311581481,0.8689075630252101,0.01575361274151878,0.7999999999999999,0.04430504023713738
canon_resid_paper_first_order_domain_log,"Same as first-order domain, using log(D/D0) exactly from z_k(D)-z_k(D0).",1000.0,48.0,0.008461812316929733,0.9173745173745174,0.02603559276193809,0.9447461496109534,0.010671010275620644,0.9701745108408247,0.006941234917790407,0.9224664224664224,0.012885488919345713,0.8664629488158899,0.014691166546410193,0.7999999999999999,0.045188900659166954
canon_resid_paper_first_order_domain_power,Paper first-order domain synergy adapted as centered domain-specific D-scaling heads.,1000.0,48.0,0.008490148500020334,0.9186615186615188,0.026032883726203073,0.9447612961337003,0.01068878619800611,0.9701745108408247,0.006961402922594082,0.9224664224664224,0.012903269815892886,0.8664629488158899,0.014692036789397062,0.7999999999999999,0.04524549572589014
canon_resid_paper_entropy_current_source_power,Paper log-D decomposition entropy term on source-aware shares.,100.0,10.0,0.011264822223088888,0.9037323037323038,0.02725579248325874,0.9381564848778433,0.012242679836802507,0.9682707562136434,0.009854749350512544,0.927960927960928,0.013848700826956927,0.8527119938884645,0.014609042804955086,0.7999999999999999,0.050555172819227064
canon_resid_paper_second_order_current_source_tau0.1,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",1e-08,30.0,0.011603133890801963,0.8411840411840412,0.027158661023245573,0.9402591931703898,0.012170661720648823,0.9622950819672129,0.010108465508087075,0.8266178266178266,0.013587122349062553,0.8689075630252101,0.014975905172441633,0.7999999999999999,0.050842154750240086
canon_resid_paper_second_order_current_source_tau1,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=1.",1e-08,30.0,0.011605795188257346,0.8380952380952381,0.027158602445669963,0.9402591931703898,0.012171907139702568,0.9616604970914858,0.010111423088760804,0.8192918192918193,0.013587376334966332,0.8689075630252101,0.014976936444034797,0.7999999999999999,0.0508476430074645
canon_resid_paper_first_order_canonical_power,First-order synergy on the canonical MCT-LRQ family partition.,1e-08,16.0,0.011715326931480672,0.8370656370656371,0.02727416478034544,0.9380635037749387,0.012218651761735413,0.9608143839238498,0.01019610555516783,0.8174603174603173,0.013612372350247703,0.8649350649350649,0.015334712301685727,0.7999999999999999,0.051361841968836676
canon_resid_paper_first_second_current_source_power_tau0.1,Source-aware first-order plus second-order soft-min synergy.,0.1,37.0,0.0102722383006605,0.876962676962677,0.026969446503934433,0.9420648441494681,0.012206871872171992,0.9650978318350079,0.008451455353334796,0.8815628815628815,0.014512610480105327,0.8576012223071046,0.0184456023594036,0.7999999999999999,0.05361654006501572
canon_resid_paper_first_order_current_source_power,First-order synergy on source-aware groups instead of all 39 domains.,1e-08,16.0,0.01036589623663788,0.8731016731016732,0.027030529891445533,0.9411133334082419,0.012350110894859352,0.9645690111052352,0.00851987113097413,0.8736263736263736,0.014697096627693446,0.8585179526355997,0.018531175254285707,0.7999999999999999,0.054098253907812636
canon_resid_paper_full_current_source_power_tau0.1,"Source-aware first-order, entropy, and second-order synergy terms.",100.0,38.0,0.010187204570393111,0.8903474903474904,0.026997057769512837,0.9412764212735758,0.012486276649157288,0.9650449497620305,0.008361194328982888,0.9053724053724053,0.014973285006114471,0.8453781512605041,0.01855421937970107,0.7999999999999999,0.05437497536395572
canon_resid_paper_first_order_current_source_log,Source-aware first-order synergy using log(D/D0).,0.01,16.0,0.010957775215131745,0.8066924066924068,0.026932464966010032,0.9416766604093498,0.012734289578684449,0.9562665256478053,0.009613757008495549,0.7753357753357752,0.014749310305315523,0.8597402597402597,0.01863854070793506,0.7999999999999999,0.05573589760043058
