domain_name,phase_0_weight,phase_1_weight,phase_0_effective_epochs,phase_1_effective_epochs
dolma3_arxiv,1.0,0.00802168284096854,179.19910529113503,0.35936959700770316
dolma3_cc/art_and_design_high,6.741620149473643e-57,5.05712663397436e-26,2.9879598639943873e-55,5.603434736171017e-25
dolma3_cc/art_and_design_low,2.1296688251997272e-57,2.9029097924855693e-27,2.3254963826261157e-55,7.924596234912272e-26
dolma3_cc/crime_and_law_high,6.824054959982997e-57,6.875476158453952e-26,2.2470011739310735e-55,5.659832420011617e-25
dolma3_cc/crime_and_law_low,2.3404241564895829e-57,1.6330001684048422e-27,1.7155754687135525e-55,2.992550539986828e-26
dolma3_cc/education_and_jobs_high,1.6532671809851021e-56,1.6537335707002965e-25,3.329517499070452e-55,8.326141905215313e-25
dolma3_cc/education_and_jobs_low,4.7315551802989563e-57,2.712881490961616e-26,1.9453722662217474e-55,2.788493535929542e-25
dolma3_cc/electronics_and_hardware_high,4.333918586956861e-57,7.464849797330481e-27,1.6542109879607394e-55,7.123135974095014e-26
dolma3_cc/electronics_and_hardware_low,4.284136574781309e-56,1.0303761878137449e-25,3.4789031427295165e-54,2.0917744424160172e-24
dolma3_cc/entertainment_high,1.938332828534176e-51,2.947051601972164e-22,2.3164752926454097e-50,8.804953568374267e-22
dolma3_cc/entertainment_low,1.2826413044125726e-56,8.472736654769862e-27,4.212186693255305e-55,6.956104654883015e-26
dolma3_cc/finance_and_business_high,8.530166969078402e-54,1.8568159302646382e-23,7.935066857717942e-53,4.318191719615745e-23
dolma3_cc/finance_and_business_low,1.8197719363780585e-57,1.639056545187568e-25,3.552668858558021e-56,7.999663349426765e-25
dolma3_cc/food_and_dining_high,1.3591416938011415e-56,1.773493489494371e-25,4.025685282273905e-55,1.3132417818223958e-24
dolma3_cc/food_and_dining_low,2.619911958008712e-56,7.213363907833555e-27,1.5765386781211845e-54,1.085165015307087e-25
dolma3_cc/games_high,1.5030998598872624e-56,9.321310491542185e-26,3.366301528180335e-55,5.2189383070455695e-25
dolma3_cc/games_low,6.602249518966931e-57,1.257391686586503e-25,3.9438369863811024e-55,1.877749328347069e-24
dolma3_cc/health_high,7.199933955363688e-58,1.3654034076204528e-26,8.366329836526787e-57,3.9665000189204217e-26
dolma3_cc/health_low,1.030577978171858e-56,6.703778151950753e-30,2.809783829909265e-55,4.569321257005635e-29
dolma3_cc/history_and_geography_high,3.963412387434201e-57,4.197500421658387e-27,1.4843604310794204e-55,3.9300752270333425e-26
dolma3_cc/history_and_geography_low,9.071160440182817e-58,1.1898439868676122e-27,1.234500460299539e-55,4.048167153361204e-26
dolma3_cc/industrial_high,3.6019539269186677e-57,4.914870574891615e-27,2.231646472817739e-55,7.612710910072275e-26
dolma3_cc/industrial_low,1.516921599871952e-57,1.1257533630893961e-27,1.7750430355527735e-55,3.2932827033886007e-26
dolma3_cc/literature_high,2.5505119459927214e-50,1.0193755190364848e-20,4.995715229411368e-49,4.9916545312999466e-20
dolma3_cc/literature_low,2.4686194567513466e-57,2.0948618325268075e-26,1.813487497880181e-55,3.847297861851443e-25
dolma3_cc/science_math_and_technology_high,2.5840899195530818e-51,7.57069576715361e-22,5.380191627769243e-50,3.940632413235881e-21
dolma3_cc/science_math_and_technology_low,1.3517310061675844e-38,0.012651843279588541,6.165286849662303e-37,0.14426361946225322
dolma3_finemath_3plus,3.1724581565959374e-56,1.2523885012082527e-26,4.721243662638658e-54,4.659502964757371e-25
dolma3_stack_edu,3.4394826561034585e-56,0.34580215144872745,1.2981390843146995e-54,3.262840179169967
dolma3_wikipedia,1.0842724845339925e-57,1.448945820554633e-26,1.4953315152647012e-54,4.9956408105237915e-24
dolmino_common_crawl_hq,2.0041586447469704e-54,5.573834230564597e-24,7.696905686260861e-54,5.351531987743973e-24
dolmino_olmocr_pdfs_hq,6.08945283765569e-31,0.13550753484748893,1.496511368475652e-29,0.8325401797981863
dolmino_stack_edu_fim,7.294169661793579e-80,0.2589314469037788,2.7568512505755264e-78,2.446596104519752
dolmino_stem_heavy_crawl,2.119390252490084e-56,2.553435284754159e-27,2.056949297187143e-53,6.1955165031746475e-25
dolmino_synth_code,4.837335596129406e-54,0.12784695787578432,1.2978037706934297e-51,8.574982069449455
dolmino_synth_instruction,4.281008081053212e-56,4.2155145708358786e-29,1.2047833112967478e-53,2.965879477049398e-27
dolmino_synth_math,1.2518696215783569e-41,0.03556897650067225,2.9030176758126258e-39,2.0620631276647763
dolmino_synth_qa,9.317215343244255e-27,0.0756694063029911,8.943598489155969e-26,0.1815877284561917
dolmino_synth_thinking,9.432873777254673e-57,7.9224644101471195e-28,1.1963465033420938e-54,2.511963166989963e-26
