domain_name,phase_0_weight,phase_1_weight,phase_0_effective_epochs,phase_1_effective_epochs
dolma3_arxiv,3.341835505892947e-16,0.1382394389768177,5.988539326861638e-14,6.193095945148547
dolma3_cc/art_and_design_high,9.739638560149247e-28,7.97259687917286e-12,4.316714448797619e-26,8.833855571288498e-11
dolma3_cc/art_and_design_low,2.4150625259817087e-32,3.7387859048469184e-19,2.6371326384324783e-30,1.0206437961451138e-17
dolma3_cc/crime_and_law_high,5.190222590051895e-36,3.099899412726737e-23,1.7090185118965168e-34,2.5518103460155084e-22
dolma3_cc/crime_and_law_low,1.5765878514650442e-24,0.06092964979349842,1.1556689135793726e-22,1.1165648351944246
dolma3_cc/education_and_jobs_high,2.7231326658457727e-38,9.100879954326319e-23,5.484121361328572e-37,4.582069282778259e-22
dolma3_cc/education_and_jobs_low,5.972648038108237e-37,7.597463947576984e-24,2.45564585141441e-35,7.809216575754916e-23
dolma3_cc/electronics_and_hardware_high,2.0876315662132458e-36,5.129704743000275e-28,7.968269376440903e-35,4.8948854140934045e-27
dolma3_cc/electronics_and_hardware_low,1.4761182748419928e-33,5.882741756804512e-18,1.1986715212622324e-31,1.1942598250767757e-16
dolma3_cc/entertainment_high,3.531054763891718e-32,3.9808238950424997e-19,4.219915691010964e-31,1.1893571709524167e-18
dolma3_cc/entertainment_low,2.791880288358569e-27,0.10429494795102108,9.16851886753451e-26,0.8562600284696154
dolma3_cc/finance_and_business_high,1.4883397652334108e-30,1.5578213789803425e-14,1.384506960641979e-29,3.6228531162992295e-14
dolma3_cc/finance_and_business_low,2.959207993133204e-38,1.1315369996415268e-26,5.777144857022465e-37,5.522637453314203e-26
dolma3_cc/food_and_dining_high,4.034536618679761e-38,4.307825562013618e-24,1.19500231364329e-36,3.1898716010802604e-23
dolma3_cc/food_and_dining_low,1.232378034639692e-35,2.4373171481066746e-21,7.415866139078795e-34,3.6666544681893985e-20
dolma3_cc/games_high,5.618968552761112e-34,3.4687991385499766e-18,1.2584089008813877e-32,1.9421570303930494e-17
dolma3_cc/games_low,1.2432588689294493e-35,2.117792265941528e-22,7.426575285960283e-34,3.1626445819329377e-21
dolma3_cc/health_high,2.572616040084081e-28,0.044347720537239795,2.9893821898253284e-27,0.12883022948990352
dolma3_cc/health_low,1.2507745272020628e-37,6.4541754881792904e-27,3.410131126253023e-36,4.3991911107620137e-26
dolma3_cc/history_and_geography_high,5.260668601548544e-28,1.206169306991297e-11,1.9702033373861744e-26,1.1293235585052344e-10
dolma3_cc/history_and_geography_low,6.5658550855088396e-15,0.06352004062176855,8.935517323026616e-13,2.1611214988122933
dolma3_cc/industrial_high,2.1651964246061846e-17,0.09734998378810147,1.3414810577723076e-15,1.5078673433743108
dolma3_cc/industrial_low,9.003961304397708e-35,5.189603129831109e-23,1.053608756517604e-32,1.5181682582783414e-21
dolma3_cc/literature_high,9.354378360451613e-19,0.11049553549781785,1.8322521684482878e-17,0.5410719898172831
dolma3_cc/literature_low,6.250921721870608e-14,0.12290239647753586,4.592027483959762e-12,2.257151855280609
dolma3_cc/science_math_and_technology_high,6.129177489159612e-26,5.39302201652252e-11,1.2761223656640973e-24,2.8071286995585556e-10
dolma3_cc/science_math_and_technology_low,6.498766450208339e-37,2.113343514471036e-27,2.964107440880043e-35,2.4097562531187592e-26
dolma3_finemath_3plus,5.929501304581651e-34,1.9769269885153886e-22,8.824267831132604e-32,7.355143515937301e-21
dolma3_stack_edu,0.060623523315977895,6.850303730427781e-08,2.288069832411656,6.463651587335989e-07
dolma3_wikipedia,1.2015302972800185e-30,1.1543302374190706e-16,1.657042990296274e-27,3.979872236123334e-14
dolmino_common_crawl_hq,1.8199479628737008e-34,6.788977407814249e-23,6.989450591078331e-34,6.518211388986527e-23
dolmino_olmocr_pdfs_hq,1.9724759953477194e-28,0.0377355078766836,4.847451535924174e-27,0.2318419160070213
dolmino_stack_edu_fim,0.9393764766839526,5.164333325483328e-15,35.50398927615011,4.879684544946114e-14
dolmino_stem_heavy_crawl,1.1836154204779485e-32,3.8366834802833854e-17,1.1487440335405486e-29,9.309120133758088e-15
dolmino_synth_code,1.5829757932474537e-17,0.1215468799407209,4.246949405447061e-15,8.152421718957646
dolmino_synth_instruction,2.43100309137218e-33,3.0625451055282034e-19,6.8414539256731685e-31,2.1546929854931374e-17
dolmino_synth_math,1.8190326131882212e-31,3.221952667730246e-13,4.2182378563569204e-29,1.8678833210402138e-11
dolmino_synth_qa,9.484873815271957e-21,0.09863782996144992,9.104533919097318e-20,0.2367062245847139
dolmino_synth_thinking,3.2169610044558686e-35,3.892297529920064e-20,4.079986799302575e-33,1.2341245758835351e-18
