domain_name,phase_0_weight,phase_1_weight,phase_0_effective_epochs,phase_1_effective_epochs
dolma3_arxiv,0.5062285433677443,1.5970886846274624e-10,90.71570204433432,7.154921583895924e-09
dolma3_cc/art_and_design_high,1.1502224629954794e-08,1.0438829763988176e-14,5.097911893424601e-07,1.1566509114393638e-13
dolma3_cc/art_and_design_low,2.241434467077051e-09,6.45234385343161e-16,2.447539111905034e-07,1.7614126329251984e-14
dolma3_cc/crime_and_law_high,8.184999935277417e-09,1.5397239432058002e-14,2.6951284201321765e-07,1.2674874133494066e-13
dolma3_cc/crime_and_law_low,3.795120598433386e-09,3.131524177346416e-14,2.7818956582841923e-07,5.738667116644516e-13
dolma3_cc/education_and_jobs_high,7.960252718016379e-09,5.0740033367704676e-15,1.60311660610515e-07,2.55463591947262e-14
dolma3_cc/education_and_jobs_low,2.241434467077051e-09,6.45234385343161e-16,9.21562632717666e-08,6.632180280204996e-15
dolma3_cc/electronics_and_hardware_high,2.241434467077051e-09,6.45234385343161e-16,8.555318817920583e-08,6.156978890056934e-15
dolma3_cc/electronics_and_hardware_low,2.241434467077051e-09,6.45234385343161e-16,1.820141182621999e-07,1.3098951747832968e-14
dolma3_cc/entertainment_high,8.505557986224686e-08,6.971123253140426e-14,1.0164877071267605e-06,2.0827737295892583e-13
dolma3_cc/entertainment_low,2.241434467077051e-09,6.45234385343161e-16,7.360857944887186e-08,5.297365059551773e-15
dolma3_cc/finance_and_business_high,4.9399517536375766e-08,4.316213929841714e-14,4.5953200659623423e-07,1.0037742001317414e-13
dolma3_cc/finance_and_business_low,2.241434467077051e-09,6.45234385343161e-16,4.375863958827916e-08,3.1491639988716246e-15
dolma3_cc/food_and_dining_high,2.241434467077051e-09,6.45234385343161e-16,6.638976485268324e-08,4.777850941774323e-15
dolma3_cc/food_and_dining_low,2.241434467077051e-09,6.45234385343161e-16,1.3487888862138492e-07,9.706785774209778e-15
dolma3_cc/games_high,4.092392112499176e-09,1.7958137260859664e-15,9.165209970315872e-08,1.0054638836344221e-14
dolma3_cc/games_low,2.241434467077051e-09,6.45234385343161e-16,1.3389151876815284e-07,9.63572804424775e-15
dolma3_cc/health_high,2.241434467077051e-09,6.45234385343161e-16,2.604548899307092e-08,1.8744073637050573e-15
dolma3_cc/health_low,2.241434467077051e-09,6.45234385343161e-16,6.111081795640844e-08,4.3979426613954115e-15
dolma3_cc/history_and_geography_high,9.877461472655449e-08,9.649839362906907e-14,3.6992650615932446e-06,9.035042481312737e-13
dolma3_cc/history_and_geography_low,2.241434467077051e-09,6.45234385343161e-16,3.0503835750501894e-07,2.1952597767391298e-14
dolma3_cc/industrial_high,2.241434467077051e-09,6.45234385343161e-16,1.3887155205185267e-07,9.99412450441583e-15
dolma3_cc/industrial_low,2.241434467077051e-09,6.45234385343161e-16,2.6228399943470455e-07,1.8875708574840525e-14
dolma3_cc/literature_high,1.6635044113950132e-08,1.0512302103926612e-13,3.2583240142262706e-07,5.14763984925374e-13
dolma3_cc/literature_low,2.241434467077051e-09,6.45234385343161e-16,1.6465937559737012e-07,1.1849988541389908e-14
dolma3_cc/science_math_and_technology_high,2.2166113839221998e-08,4.74059714532232e-14,4.6150847613920413e-07,2.467534206036942e-13
dolma3_cc/science_math_and_technology_low,1.5082546567053923e-08,1.3480517215906207e-12,6.879196051950917e-07,1.537126379780048e-11
dolma3_finemath_3plus,2.241434467077051e-09,6.45234385343161e-16,3.335696721769313e-07,2.4005901751487973e-14
dolma3_stack_edu,2.3688343729739615e-16,0.38922785031810353,8.940520395905456e-15,3.672586372147441
dolma3_wikipedia,2.241434467077051e-09,6.45234385343161e-16,3.0911856990093877e-06,2.2246237105951134e-13
dolmino_common_crawl_hq,1.5933689997813864e-08,1.0163043120140669e-14,6.119281498435217e-08,9.757708625781095e-15
dolmino_olmocr_pdfs_hq,0.11739254794745152,1.176921599767472e-10,2.8849764874000905,7.230848981066365e-10
dolmino_stack_edu_fim,7.388325585952521e-08,0.5047561798681978,2.7924377380445946e-06,4.769349255043234
dolmino_stem_heavy_crawl,2.241434467077051e-09,6.45234385343161e-16,2.1753978750861267e-06,1.5655616207223296e-13
dolmino_synth_code,8.845685492190159e-12,0.10601596949328419,2.373199824159037e-09,7.110728738367606
dolmino_synth_instruction,1.5462708381086297e-08,2.5551607750772303e-14,4.351594916961235e-06,1.797716216139307e-12
dolmino_synth_math,0.27624728685492755,7.546140256826404e-12,64.06024579652602,4.374772374879676e-10
dolmino_synth_qa,0.10013115130571465,3.364532966468342e-11,0.9611592955019248,8.074041128994667e-11
dolmino_synth_thinking,2.241434467077051e-09,6.45234385343161e-16,2.8427522200328943e-07,2.0458343845401142e-14
