domain_name,phase_0_weight,phase_1_weight,phase_0_effective_epochs,phase_1_effective_epochs
dolma3_arxiv,3.365170118458834e-12,0.10275358848353446,6.030354743802859e-10,4.603337780425712
dolma3_cc/art_and_design_high,8.718322406546549e-12,2.3849165869226733e-10,3.864055947168415e-10,2.6425528592173056e-09
dolma3_cc/art_and_design_low,2.463301333236297e-17,2.0204455805992e-10,2.6898071061456555e-15,5.51557457359094e-09
dolma3_cc/crime_and_law_high,2.3318278789209115e-13,5.761192340566311e-11,7.678162048908159e-12,4.742563632769842e-10
dolma3_cc/crime_and_law_low,9.837342614124842e-17,2.2271613825324944e-09,7.210959440547095e-15,4.0813792471594604e-08
dolma3_cc/education_and_jobs_high,4.603314655190528e-19,1.3797619514073159e-09,9.270622966731737e-18,6.9467621667553825e-09
dolma3_cc/education_and_jobs_low,1.566378724163724e-17,1.5467691234692286e-10,6.440144122329312e-16,1.5898798811298218e-09
dolma3_cc/electronics_and_hardware_high,9.53755015053398e-19,3.2183325570546613e-16,3.640382240848253e-17,3.071008933355279e-15
dolma3_cc/electronics_and_hardware_low,5.907561174685202e-15,5.2624804070555e-10,4.797193735012597e-13,1.0683401023222764e-08
dolma3_cc/entertainment_high,2.4345271412493824e-16,6.145703819532847e-10,2.909470390719032e-15,1.8361618350949463e-09
dolma3_cc/entertainment_low,1.538850180055451e-15,3.990151741895586e-12,5.053575172609702e-14,3.2759088635032484e-11
dolma3_cc/finance_and_business_high,3.175673945057862e-17,4.379340216189717e-09,2.9541256535415204e-16,1.0184547833039888e-08
dolma3_cc/finance_and_business_low,5.0737340842731606e-18,7.340545596604821e-11,9.905250607215042e-17,3.5826642922337787e-10
dolma3_cc/food_and_dining_high,3.9850382419607225e-15,2.5873088277498513e-10,1.1803412310230524e-13,1.915858205968234e-09
dolma3_cc/food_and_dining_low,8.812780281633243e-20,7.585469935600544e-11,5.303112928397235e-18,1.1411439522464958e-09
dolma3_cc/games_high,1.7445359450699824e-16,9.86476908346371e-11,3.907015212079838e-15,5.523217074097244e-10
dolma3_cc/games_low,6.637473905624476e-19,7.138779449033847e-11,3.964878184312736e-17,1.0660829444508159e-09
dolma3_cc/health_high,1.4929141021686178e-16,3.0077682107299627e-10,1.7347675511717932e-15,8.737573524560121e-10
dolma3_cc/health_low,1.425433437691226e-14,4.3676730147118587e-11,3.8863238965590303e-13,2.9770229111721643e-10
dolma3_cc/history_and_geography_high,6.904240725562847e-17,1.93501085015192e-09,2.5857470123887525e-15,1.811730182797275e-08
dolma3_cc/history_and_geography_low,7.437794121741992e-18,1.0052224360369373e-10,1.0122145151606031e-15,3.420035309082278e-09
dolma3_cc/industrial_high,2.5264530350579723e-12,1.7595264952213863e-10,1.56530319899178e-10,2.72535488831839e-09
dolma3_cc/industrial_low,1.6161225357155032e-18,4.177051037388253e-12,1.8911241371102153e-16,1.2219559260166085e-10
dolma3_cc/literature_high,6.395356255232878e-18,4.734012673073987e-09,1.2526653204654044e-16,2.3181404074836695e-08
dolma3_cc/literature_low,1.3458581374340258e-13,2.9303494393225254e-10,9.886890016531021e-12,5.381704395647228e-09
dolma3_cc/science_math_and_technology_high,1.6799373005088692e-17,7.592707799690881e-08,3.4977051421408235e-16,3.952089924086325e-07
dolma3_cc/science_math_and_technology_low,5.156597540155355e-15,1.1535166781125888e-08,2.3519400574717084e-13,1.3153062950366301e-07
dolma3_finemath_3plus,7.818662786228702e-16,1.0046118888761454e-10,1.1635712847163182e-13,3.737651751140221e-09
dolma3_stack_edu,6.664231543800791e-25,0.3650435197551119,2.515232754140823e-23,3.4443934440911295
dolma3_wikipedia,1.0890365270211633e-19,8.011652978480044e-15,1.5019016560482594e-16,2.7622385883089198e-12
dolmino_common_crawl_hq,7.280538206240399e-14,5.525267385203816e-10,2.7960668715288284e-13,5.304902142696409e-10
dolmino_olmocr_pdfs_hq,0.9999999999720701,4.13096774759669e-08,24.575465289422944,2.53801136239059e-07
dolmino_stack_edu_fim,4.991842028366601e-23,0.44086593315827893,1.8866802633699674e-21,4.165661944805552
dolmino_stem_heavy_crawl,8.452136154198453e-12,2.9250191697726265e-14,8.203121393845276e-09,7.097107432731852e-12
dolmino_synth_code,3.420858474012074e-20,0.09133636210521644,9.177785866529067e-18,6.126134562403398
dolmino_synth_instruction,3.256370254771473e-17,2.39911498468999e-07,9.164244645356102e-15,1.687928193962527e-05
dolmino_synth_math,1.1983226233520055e-16,1.2429198669214517e-08,2.778845094532303e-14,7.205659201839266e-07
dolmino_synth_qa,1.5077054283297548e-16,1.967397741947768e-07,1.4472470039752253e-15,4.721264568928093e-07
dolmino_synth_thinking,4.394322862386953e-12,4.335169999362516e-11,5.573203792516853e-10,1.3745454441033356e-09
