domain_name,phase_0_weight,phase_1_weight,phase_0_effective_epochs,phase_1_effective_epochs
dolma3_arxiv,3.49010568663914e-13,0.12722016345618775,6.254238164172364e-11,5.699434866585199
dolma3_cc/art_and_design_high,3.0490763320816403e-12,4.1749211430491837e-13,1.3513840146016643e-10,4.62592690413835e-12
dolma3_cc/art_and_design_low,5.348704989207598e-13,8.401233801783349e-14,5.840529737279699e-11,2.293436259251621e-12
dolma3_cc/crime_and_law_high,2.2552567293230055e-11,1.772144321699261e-13,7.426031220471549e-10,1.4588138557589545e-12
dolma3_cc/crime_and_law_low,1.7157477717438205e-14,4.3220257192806525e-09,1.2576757847682638e-12,7.920317860533004e-08
dolma3_cc/education_and_jobs_high,1.0150585557664863e-14,1.7616267061659346e-13,2.0442280974766113e-13,8.869357313308594e-13
dolma3_cc/education_and_jobs_low,3.837019308157955e-14,1.299260777333748e-13,1.577585098896852e-12,1.3354731089995885e-12
dolma3_cc/electronics_and_hardware_high,5.749234496361621e-14,1.0619916807030922e-15,2.194422134478131e-12,1.0133775428021408e-14
dolma3_cc/electronics_and_hardware_low,1.4063245143577123e-12,5.366810500523019e-13,1.1419959861915351e-10,1.089520233003798e-11
dolma3_cc/entertainment_high,2.8598416917395394e-13,1.295605399125689e-13,3.4177580456095994e-12,3.8709011320340133e-13
dolma3_cc/entertainment_low,3.2664339132727225e-13,2.3229731458673316e-14,1.0726950252227e-11,1.9071576246901417e-13
dolma3_cc/finance_and_business_high,7.077723078873e-14,1.5244579258497338e-12,6.5839515257857e-13,3.5452634184201027e-12
dolma3_cc/finance_and_business_low,2.818858986976684e-14,3.407684573007478e-14,5.503147037002094e-13,1.6631719915419598e-13
dolma3_cc/food_and_dining_high,1.525551021275039e-13,7.094576424283616e-14,4.5185783952584765e-12,5.253413243348108e-13
dolma3_cc/food_and_dining_low,3.294796952744982e-16,1.0625425999807819e-13,1.9826524386362634e-14,1.598469273843799e-12
dolma3_cc/games_high,5.623606083436497e-12,5.4602956232331956e-14,1.259447509626964e-10,3.057182358826269e-13
dolma3_cc/games_low,3.029947968526115e-15,2.0647586610133895e-14,1.8099317256572518e-13,3.083445858817485e-13
dolma3_cc/health_high,1.4224652834079757e-14,4.979068758120857e-13,1.6529059593850867e-13,1.4464206118915963e-12
dolma3_cc/health_low,1.871997311878986e-13,3.99795386698673e-15,5.103842589264069e-12,2.7250209023749542e-14
dolma3_cc/history_and_geography_high,4.37665807407809e-11,3.7650713930736424e-13,1.6391274564621952e-09,3.525196503514465e-12
dolma3_cc/history_and_geography_low,3.659428538358786e-13,1.0638571968466109e-12,4.9801414546980994e-11,3.619526431762819e-11
dolma3_cc/industrial_high,4.5414426360815525e-12,5.050668308344208e-14,2.813721287375128e-10,7.823049894846139e-13
dolma3_cc/industrial_low,1.1221011747345799e-13,8.494792944732183e-15,1.3130394316794842e-11,2.4850696068080464e-13
dolma3_cc/literature_high,3.497840371808279e-13,2.3173369407468654e-10,6.85125762415951e-12,1.1347482085660952e-09
dolma3_cc/literature_low,7.970295972254078e-13,7.2314960542900355e-12,5.855107420691217e-11,1.3280932840376798e-10
dolma3_cc/science_math_and_technology_high,4.287291412035579e-14,9.972058610690036e-12,8.926333865669094e-13,5.190568819112316e-11
dolma3_cc/science_math_and_technology_low,8.2809312423485e-14,0.05965991261205354,3.776958304460121e-12,0.6802767580991155
dolma3_finemath_3plus,1.0049228246738902e-14,1.206425792901017e-13,1.4955234342707291e-12,4.4884990187619975e-12
dolma3_stack_edu,1.5207986226789927e-16,0.355368996336646,5.739840344792192e-15,3.3531088075096482
dolma3_wikipedia,1.5095055209965635e-18,2.3735453615880304e-18,2.081774840004675e-15,8.183453035835252e-16
dolmino_common_crawl_hq,6.171114530950748e-13,5.018666524500478e-13,2.3699963397777142e-12,4.818506136118739e-13
dolmino_olmocr_pdfs_hq,3.7836023583156175e-14,0.3379839636993483,9.298378842836128e-13,2.076528292126727
dolmino_stack_edu_fim,0.9999999998972877,6.63623486961317e-07,37.79527181459166,6.270457518706578e-06
dolmino_stem_heavy_crawl,1.7470209784533852e-13,2.641261582534771e-16,1.69555067528447e-10,6.40861345556712e-14
dolmino_synth_code,5.450222800192149e-13,0.10073130967151171,1.462234645631862e-10,6.756274757077979
dolmino_synth_instruction,7.168529754070013e-15,0.019034985404162767,2.0174045109751293e-12,1.3392308722336321
dolmino_synth_math,7.600223084901304e-12,1.0138579417762294e-10,1.7624504641122205e-09,5.877703786015185e-09
dolmino_synth_qa,1.6715358060528262e-12,5.181291912266243e-10,1.6045078447632754e-11,1.2433810106154805e-09
dolmino_synth_thinking,7.282192712958901e-12,1.473344778595882e-14,9.235812960647068e-10,4.671510813440323e-13
