domain_name,phase_0_weight,phase_1_weight,phase_0_effective_epochs,phase_1_effective_epochs
dolma3_arxiv,3.0763536701213352e-12,0.044758913244731274,5.512798252448428e-10,2.0051893018148443
dolma3_cc/art_and_design_high,2.1122428517376202e-14,6.154883529566333e-15,9.361691587583462e-13,6.819779424735229e-14
dolma3_cc/art_and_design_low,1.8481212854762566e-14,3.893382662664585e-15,2.0180599505307123e-12,1.0628468603981899e-13
dolma3_cc/crime_and_law_high,2.261216107611506e-14,6.563070680106034e-15,7.445654054825441e-13,5.402662936212494e-14
dolma3_cc/crime_and_law_low,2.2668222353248983e-14,3.889849668624714e-15,1.6616238591088581e-12,7.128334675973298e-14
dolma3_cc/education_and_jobs_high,2.19804011747358e-14,7.577557201648089e-15,4.426636613222109e-13,3.815113732564014e-14
dolma3_cc/education_and_jobs_low,2.4222723376823243e-14,5.839666737276312e-15,9.959138692039048e-13,6.002426940922408e-14
dolma3_cc/electronics_and_hardware_high,2.3011565242904602e-14,4.806221901404282e-15,8.783271607720012e-13,4.586210446942838e-14
dolma3_cc/electronics_and_hardware_low,1.8173203859574845e-14,6.8384012747494994e-15,1.4757423092602135e-12,1.3882689820168706e-13
dolma3_cc/entertainment_high,2.4015681701650722e-14,4.0509997303679056e-15,2.8700815710777963e-13,1.210323718373866e-14
dolma3_cc/entertainment_low,2.304010922207716e-14,5.0474328485979184e-15,7.566358664929249e-13,4.1439351373650236e-14
dolma3_cc/finance_and_business_high,1.8528725623258276e-14,6.701636712520542e-15,1.723608425741644e-13,1.5585256291804128e-14
dolma3_cc/finance_and_business_low,2.6986427666130847e-14,7.689339699685401e-15,5.268453659309199e-13,3.7528985291856584e-14
dolma3_cc/food_and_dining_high,2.1866140194624692e-14,7.616893929822712e-15,6.476602046947268e-13,5.6401804774622586e-14
dolma3_cc/food_and_dining_low,2.0171416378266136e-14,4.8058836066828975e-15,1.2138201062677832e-12,7.229881681064997e-14
dolma3_cc/games_high,2.202752602779875e-14,6.845559149687275e-15,4.933224764918323e-13,3.8327819797298007e-14
dolma3_cc/games_low,2.2750349644646834e-14,7.19925623329558e-15,1.3589863594809973e-12,1.0751143578313471e-13
dolma3_cc/health_high,2.749809119212303e-14,5.3283018879265965e-15,3.195280709718295e-13,1.5478729158957447e-14
dolma3_cc/health_low,2.3689026652058294e-14,2.3115418111303444e-15,6.45861307373515e-13,1.575555887239745e-14
dolma3_cc/history_and_geography_high,2.1658438797163455e-14,4.368054215265232e-15,8.111426822853798e-13,4.089762939194666e-14
dolma3_cc/history_and_geography_low,1.5424490886610902e-14,3.2180119790539065e-15,2.0991295683690326e-12,1.0948536561523474e-13
dolma3_cc/industrial_high,1.9965959084608432e-14,4.3378585164371824e-15,1.2370219906090375e-12,6.718968963930348e-14
dolma3_cc/industrial_low,1.6618857010508145e-14,3.3075934990307206e-15,1.9446744246927454e-12,9.676045230995638e-14
dolma3_cc/literature_high,2.4264440495704095e-14,7.388205457621886e-15,4.752702103904625e-13,3.617839408736411e-14
dolma3_cc/literature_low,3.990644052769636e-14,6.247222892373008e-15,2.931591209165691e-12,1.1473275661023095e-13
dolma3_cc/science_math_and_technology_high,6.857689498888381e-14,5.6258570603336456e-15,1.4278018480928647e-12,2.9283219622121784e-14
dolma3_cc/science_math_and_technology_low,6.9744182969301e-13,6.819245034125137e-15,3.18105371659843e-11,7.775696780958564e-14
dolma3_finemath_3plus,1.4261762535058618e-14,4.4886189307642786e-15,2.122431649625029e-12,1.669987643242057e-13
dolma3_stack_edu,7.879649286797706e-21,0.47645438930182,2.9739590899617164e-19,4.495618429332906
dolma3_wikipedia,2.0125307316091074e-23,2.5173702215423492e-21,2.775502165128934e-20,8.67932895456397e-19
dolmino_common_crawl_hq,2.473548994427916e-14,6.437623111126123e-15,9.499583962755971e-14,6.180870219518821e-15
dolmino_olmocr_pdfs_hq,0.9999999681319606,5.8349051046766435e-12,24.57546450693744,3.584887696776566e-11
dolmino_stack_edu_fim,3.186138368945096e-08,0.316081722732114,1.2042096570554832e-06,2.986598656877921
dolmino_stem_heavy_crawl,2.7729962641224226e-18,1.0562160028004528e-18,2.691298928966777e-15,2.562745065574432e-16
dolmino_synth_code,2.2960782833922133e-13,0.14209593553477332,6.160124710756157e-11,9.530692944107347
dolmino_synth_instruction,4.9345320566862215e-14,0.0003494111513361109,1.3887013895782652e-11,0.02458327080564417
dolmino_synth_math,9.316056775714761e-14,0.02025962802922783,2.1603429800202363e-11,1.1745244325060895
dolmino_synth_qa,1.8436642773963975e-12,3.8574147167529164e-15,1.7697340287180465e-11,9.256834569626564e-15
dolmino_synth_thinking,1.813904928608348e-14,3.3678745866443218e-15,2.300527781860299e-12,1.0678466288667093e-13
