domain_name,phase_0_weight,phase_1_weight,phase_0_effective_epochs,phase_1_effective_epochs
dolma3_arxiv,8.074040863738301e-09,0.0009789078000902451,1.4468608988659666e-06,0.0438548504846713
dolma3_cc/art_and_design_high,1.1372370740089358e-10,2.6109898366406505e-08,5.040359227670841e-09,2.893048208073781e-07
dolma3_cc/art_and_design_low,1.0630165402673268e-10,2.628847879105026e-08,1.1607631617707325e-08,7.176440018508208e-07
dolma3_cc/crime_and_law_high,9.06709001728494e-11,2.5298296608333426e-08,2.9855799861595403e-09,2.0825338640562232e-07
dolma3_cc/crime_and_law_low,9.295321777862931e-11,2.5007598793833417e-08,6.8136478474137934e-09,4.58276151602375e-07
dolma3_cc/education_and_jobs_high,6.70634166831432e-11,2.4816250024745812e-08,1.3505912532596909e-09,1.249437170062642e-07
dolma3_cc/education_and_jobs_low,8.104954038061846e-11,2.6429222801999576e-08,3.3323404681610943e-09,2.716584457837647e-07
dolma3_cc/electronics_and_hardware_high,6.519241935161308e-11,2.4892215135351555e-08,2.4883258478306094e-09,2.3752739562012813e-07
dolma3_cc/electronics_and_hardware_low,6.877515458883942e-11,2.6315096900011194e-08,5.5848383277331745e-09,5.342247598126228e-07
dolma3_cc/entertainment_high,8.214711921402366e-11,2.481878848362583e-08,9.817290881111837e-10,7.415149435299622e-08
dolma3_cc/entertainment_low,1.0678202904644467e-10,2.5842431812777352e-08,3.5067157145249565e-09,2.1216599494468793e-07
dolma3_cc/finance_and_business_high,1.1950562032356159e-10,2.521377352372465e-08,1.1116840861122907e-09,5.86368881674216e-08
dolma3_cc/finance_and_business_low,6.734471922044935e-11,2.615319211282147e-08,1.3147443477945755e-09,1.2764460935148091e-07
dolma3_cc/food_and_dining_high,8.420875148648208e-11,2.5501739279778733e-08,2.4942059613351187e-09,1.8883604439334536e-07
dolma3_cc/food_and_dining_low,8.030931079198694e-11,2.6477802250363048e-08,4.832633184095778e-09,3.983271196550899e-07
dolma3_cc/games_high,8.989193145222885e-11,2.468423352743868e-08,2.013195226040512e-09,1.382053436083905e-07
dolma3_cc/games_low,9.046969615040628e-11,2.5959427789114576e-08,5.404184328381174e-09,3.8766995690591177e-07
dolma3_cc/health_high,8.735527743076554e-11,2.638551200738664e-08,1.0150691221308182e-09,7.664997266918818e-08
dolma3_cc/health_low,6.82859462743075e-11,2.4724324968067068e-08,1.8617586608240742e-09,1.6852196042440567e-07
dolma3_cc/history_and_geography_high,8.73630156112495e-11,2.3954225895105736e-08,3.2718826818085e-09,2.242808822301945e-07
dolma3_cc/history_and_geography_low,9.385602570993431e-11,2.6211096210909083e-08,1.2772931060456931e-08,8.917715255588247e-07
dolma3_cc/industrial_high,7.364391710336323e-11,2.4519875989907156e-08,4.562723210310333e-09,3.797917455152963e-07
dolma3_cc/industrial_low,1.137206714151147e-10,2.615603795331088e-08,1.3307153501593243e-08,7.651696206744903e-07
dolma3_cc/literature_high,8.079962414240081e-11,2.6621062688150296e-08,1.5826309439291608e-09,1.3035740579774439e-07
dolma3_cc/literature_low,8.116516224356548e-11,2.6719374831580194e-08,5.9625231661190986e-09,4.907120463193138e-07
dolma3_cc/science_math_and_technology_high,8.62229040666269e-11,2.5466630071061465e-08,1.795199706755744e-09,1.3255667774858057e-07
dolma3_cc/science_math_and_technology_low,7.774373102515581e-11,2.562520926769281e-08,3.545915573040072e-09,2.921934264234156e-07
dolma3_finemath_3plus,6.04495929871132e-11,2.5477181387920697e-08,8.996092106246313e-09,9.478768137534825e-07
dolma3_stack_edu,1.5570460858155536e-12,0.0074180792293708515,5.876646525574429e-11,0.0699938009652498
dolma3_wikipedia,1.1892041320962973e-11,2.069053880159317e-08,1.6400438470693766e-08,7.1336345750594985e-06
dolmino_common_crawl_hq,1.6857164162665624e-10,2.7246483662156816e-08,6.473938729248395e-10,2.615980720632339e-08
dolmino_olmocr_pdfs_hq,0.9999998034057509,0.983480888307768,24.57546045871419,6.042375108523363
dolmino_stack_edu_fim,1.8807436865655486e-22,0.005406263286291689,7.10832188546232e-21,0.05108279760690731
dolmino_stem_heavy_crawl,4.419697751756646e-11,2.419110669968646e-08,4.289485701641899e-08,5.86959856327027e-06
dolmino_synth_code,1.8539780606332502e-07,0.0025551505528944645,4.974018589485429e-05,0.17137967566738613
dolmino_synth_instruction,8.169237221699977e-11,2.5834383439443586e-08,2.299028753131197e-08,1.8176112632930019e-06
dolmino_synth_math,2.671715028544827e-10,0.00015986698777071252,6.195562076840766e-08,0.009268071596229133
dolmino_synth_qa,1.6662551032359342e-10,2.9006348311683392e-08,1.5994388961563205e-09,6.960801145494747e-08
dolmino_synth_thinking,6.369984077252984e-11,2.519797537404759e-08,8.078882806151934e-09,7.989481901775091e-07
