model,drop_pair,n,actual_drop_mean,pred_drop_mean,drop_error_mean,drop_ratio_mean,drop_ratio_median,drop_ratio_std,drop_rmse
mct_lrq69_balanced_Dfam,0.5x_to_1.0x,12,0.023635695377985665,0.023630689442259323,-5.005935726341375e-06,1.027315618083968,0.9356075881153465,0.22264079075549764,0.004222724201315474
mct_lrq69_balanced_Dfam,0.5x_to_2.0x,3,0.0485168099403381,0.04453513211790024,-0.003981677822437857,0.9171125426456297,0.9281403300742951,0.03340444641341014,0.0041520891037774114
mct_lrq69_balanced_Dfam,1.0x_to_2.0x,3,0.02120641867319743,0.020496230994012026,-0.0007101876791854034,0.965928255193003,0.9748881489301455,0.04603727898672945,0.0010464376659131045
mct_lrq69_drop_Dfam,0.5x_to_1.0x,12,0.023635695377985665,0.023829875634110636,0.00019418025612497058,1.0360857824355094,0.946100176276286,0.22389708626910287,0.004228790735430418
mct_lrq69_drop_Dfam,0.5x_to_2.0x,3,0.0485168099403381,0.04533497503195109,-0.003181834908387008,0.9336324374804619,0.9440639404617062,0.03205151765888316,0.003382898757070062
mct_lrq69_drop_Dfam,1.0x_to_2.0x,3,0.02120641867319743,0.02118734089497676,-1.9077778220670066e-05,0.9985319892882943,1.0066632658949324,0.046280101511028494,0.0007833804395382429
mct_lrq75_balanced_Nfam_Dfam,0.5x_to_1.0x,12,0.023635695377985665,0.021043341686847683,-0.002592353691137981,0.9141820613474013,0.8330841231998001,0.18992971577417095,0.004637247123215014
mct_lrq75_balanced_Nfam_Dfam,0.5x_to_2.0x,3,0.0485168099403381,0.04003770435456877,-0.008479105585769328,0.8245384226439603,0.8329398078249785,0.028582075387770318,0.008522733843431546
mct_lrq75_balanced_Nfam_Dfam,1.0x_to_2.0x,3,0.02120641867319743,0.01807462917848927,-0.0031317894947081593,0.8518027698401882,0.8601599377429667,0.03986500755577657,0.003194696397504658
mct_lrq75_drop_Nfam_Dfam,0.5x_to_1.0x,12,0.023635695377985665,0.021218855336913377,-0.002416840041072288,0.9218310110715896,0.8402111185245631,0.1907166822209491,0.004531726211072224
mct_lrq75_drop_Nfam_Dfam,0.5x_to_2.0x,3,0.0485168099403381,0.0408868852813696,-0.007629924658968501,0.842050973764212,0.8501883289196407,0.028221638720890185,0.007679639155074752
mct_lrq75_drop_Nfam_Dfam,1.0x_to_2.0x,3,0.02120641867319743,0.01876089246011729,-0.0024455262130801403,0.8841570123687026,0.8924231045946194,0.04083906557202905,0.0025320673450076204
