model,mixtures_checked,N_grid_steps,D_grid_steps,N_monotonicity_violations,D_monotonicity_violations,min_loss_drop_when_increasing_N,min_loss_drop_when_increasing_D,analytic_positive_head_monotonicity,min_A_N_head,min_B_D_head,min_C_ND_head,max_C_ND_head,median_C_ND_head
mct_lrq69_drop_Dfam,83,1660,1660,0,0,0.037587398376785486,0.0009142916530122669,True,0.41989903194446726,0.0011712947235743632,0.0024824348769423026,0.0024824348769423026,0.0024824348769423026
mct_lrq69_balanced_Dfam,83,1660,1660,0,0,0.037690243547719327,0.0005443073366293572,True,0.4382551167789636,0.0008520073858603693,0.0013158882647527805,0.0013158882647527805,0.0013158882647527805
mct_lrq70_drop_Ntied_rho0p025,83,1660,1660,0,0,0.03708065002060201,0.0009154409795275598,True,0.41423725419675683,0.0011712454977834581,0.0024860640451167797,0.0024860640451167797,0.0024860640451167797
mct_lrq70_drop_Ntied_rho0p05,83,1660,1660,0,0,0.036574247995384335,0.0009168504517587106,True,0.40857932875420394,0.0011711240791236108,0.002490535067110579,0.002490535067110579,0.002490535067110579
mct_lrq70_drop_Ntied_rho0p1,83,1660,1660,0,0,0.03556285793159186,0.000920431306214331,True,0.3972792256547965,0.001170668429727233,0.002501943176647415,0.002501943176647415,0.002501943176647415
mct_lrq70_drop_Ntied_rho0p25,83,1660,1660,0,0,0.032546345211578176,0.0009369372587746394,True,0.36357581703247177,0.0011676696321993674,0.0025548291739329915,0.0025548291739329915,0.0025548291739329915
mct_lrq70_drop_Ntied_rho0p5,83,1660,1660,0,0,0.02761495236510303,0.000981487701951389,True,0.3084763516538131,0.0011577280516103078,0.0026981888460449028,0.0026981888460449028,0.0026981888460449028
mct_lrq76_drop_Nshrink_lam0p1,83,1660,1660,0,0,0.026993169585616483,0.0011453985043419213,True,0.3015184737824187,0.001089638651441468,0.003236172828012125,0.003236172828012125,0.003236172828012125
mct_lrq76_drop_Nshrink_lam1,83,1660,1660,0,0,0.0361206115394368,0.0009470298531961685,True,0.403509016340612,0.0011595881939475128,0.0025892546514098658,0.0025892546514098658,0.0025892546514098658
mct_lrq76_drop_Nshrink_lam10,83,1660,1660,0,0,0.03743447137049949,0.0009177176926589148,True,0.4181902101785285,0.001170068357921256,0.0024936139523969634,0.0024936139523969634,0.0024936139523969634
mct_lrq76_drop_Nshrink_lam100,83,1660,1660,0,0,0.03757203894631744,0.0009146359225553624,True,0.4197274041105303,0.0011711714794032538,0.0024835582230379183,0.0024835582230379183,0.0024835582230379183
