domain_name,phase_0_weight,phase_1_weight,phase_0_effective_epochs,phase_1_effective_epochs
dolma3_arxiv,0.1685217351554738,0.00016062058471588106,30.198944161970523,0.007195766268106211
dolma3_cc/art_and_design_high,4.540748933167448e-06,1.3267918919002768e-07,0.00020125096436705896,1.470121733712901e-06
dolma3_cc/art_and_design_low,7.76822765987852e-05,7.804637621896347e-08,0.00848253264014861,2.1305726438153488e-06
dolma3_cc/crime_and_law_high,0.01019450185957533,5.383863880563961e-07,0.3356810251446942,4.4319501128191626e-06
dolma3_cc/crime_and_law_low,0.03612027870397759,9.176392449908566e-07,2.6476852025226614,1.681617596398008e-05
dolma3_cc/education_and_jobs_high,3.2872191476734405e-06,9.739792117815239e-08,6.620136056252363e-05,4.903745847397081e-07
dolma3_cc/education_and_jobs_low,4.0143920258043715e-06,4.229435299593579e-08,0.00016505116426113685,4.347315956425532e-07
dolma3_cc/electronics_and_hardware_high,0.014637538012279922,1.7062482012422724e-07,0.5586993786518829,1.6281423301176264e-06
dolma3_cc/electronics_and_hardware_low,0.05655424953543645,8.511492462964648e-07,4.5924482800500455,1.727924481506395e-05
dolma3_cc/entertainment_high,4.51483741202372e-05,1.6728413464263519e-06,0.0005395621000327958,4.997975051635978e-06
dolma3_cc/entertainment_low,6.68953205118166e-06,4.20677023986754e-08,0.00021968384920363285,3.4537523399941873e-07
dolma3_cc/finance_and_business_high,3.6412470375040687e-06,1.552326887959064e-07,3.387218420553827e-05,3.610075185409652e-07
dolma3_cc/finance_and_business_low,2.1526958619692296e-06,3.242670460715601e-08,4.202623085828246e-05,1.5826343584679002e-07
dolma3_cc/food_and_dining_high,1.2783667013002265e-05,1.179637627740641e-07,0.0003786435246777389,8.735016109929623e-07
dolma3_cc/food_and_dining_low,2.777007776142468e-06,2.3298101500905513e-08,0.00016710714858752282,3.504922945090873e-07
dolma3_cc/games_high,3.311574421093962e-06,9.660238066019022e-08,7.416511924395784e-05,5.408701549387533e-07
dolma3_cc/games_low,8.467819896227165e-06,4.953567972321054e-08,0.0005058230714367182,7.397503126650032e-07
dolma3_cc/health_high,2.949902332274325e-06,7.112266142483402e-08,3.427789206171961e-05,2.06611493945893e-07
dolma3_cc/health_low,1.0518444612277848e-05,7.081145361315541e-08,0.0002867765100104443,4.826536214357059e-07
dolma3_cc/history_and_geography_high,0.016796352171230485,2.020418131390089e-06,0.6290498719864374,1.8916961164444676e-05
dolma3_cc/history_and_geography_low,0.028978895091688002,7.466639502829876e-07,3.943757754651719,2.5403502572567317e-05
dolma3_cc/industrial_high,0.014914688655033781,1.984058355401437e-06,0.9240626894596158,3.0731353874395066e-05
dolma3_cc/industrial_low,4.970277419460076e-06,1.3309443803939563e-08,0.0005816026562561012,3.893549200772502e-07
dolma3_cc/literature_high,4.438262962628155e-05,7.021213850405432e-06,0.0008693273485493867,3.438131804923974e-05
dolma3_cc/literature_low,5.64664299121792e-06,3.0002303444372737e-07,0.00041481146239697196,5.510043483532526e-06
dolma3_cc/science_math_and_technology_high,5.032249873505647e-07,5.922529572560131e-07,1.0477370943407589e-05,3.082743346157891e-06
dolma3_cc/science_math_and_technology_low,0.12713939393244336,0.0001475967541212951,5.798867007631164,0.0016829833803561583
dolma3_finemath_3plus,0.032797425511538005,7.547566990868001e-07,4.880904008939279,2.8080672041244213e-05
dolma3_stack_edu,0.0001325814509476164,0.20298633157743648,0.005003925896379808,1.9152916074074198
dolma3_wikipedia,1.0468668365781462e-05,1.7790219701780888e-08,0.014437449952384985,6.133669479538002e-06
dolmino_common_crawl_hq,0.02184567478630606,3.1930712103309856e-07,0.08389759908659987,3.0657213713906475e-07
dolmino_olmocr_pdfs_hq,5.136675119908089e-06,0.6948920335558804,0.00012623618111586946,4.269323762756508
dolmino_stack_edu_fim,0.00017412661335843807,0.08780308489126265,0.006581162682712439,0.8296353649914482
dolmino_stem_heavy_crawl,0.045105326168003966,9.642922811058468e-07,43.776444121919305,0.00023397063466405402
dolmino_synth_code,0.0950342449230788,0.013930494320038815,25.496639411344905,0.934349483145005
dolmino_synth_instruction,0.020599878251056344,4.785161454119902e-07,5.797323682115478,3.366661865986138e-05
dolmino_synth_math,0.10656994852432576,1.2737636477178364e-05,24.712992387058655,0.0007384471833956465
dolmino_synth_qa,0.20354895093460787,4.6692191373368276e-05,1.9538671405378907,0.00011204962986205674
dolmino_synth_thinking,7.513669930121579e-05,3.576648369593577e-08,0.009529389410300912,1.1340421995694305e-06
