domain_name,phase_0_weight,phase_1_weight,phase_0_effective_epochs,phase_1_effective_epochs
dolma3_arxiv,3.3418354916598464e-16,0.13823943897152202,5.988539301356048e-14,6.1930959449113026
dolma3_cc/art_and_design_high,9.73963848689516e-28,7.972596855277733e-12,4.3167144163306055e-26,8.833855544812045e-11
dolma3_cc/art_and_design_low,2.415062504985745e-32,3.7387858858989167e-19,2.6371326155058912e-30,1.0206437909725362e-17
dolma3_cc/crime_and_law_high,5.190222539251146e-36,3.0998993932780043e-23,1.709018495169022e-34,2.5518103300054803e-22
dolma3_cc/crime_and_law_low,1.576587841206696e-24,0.06092964979818279,1.155668906059808e-22,1.116564835280268
dolma3_cc/education_and_jobs_high,2.7231326372997863e-38,9.100879898564141e-23,5.484121303839763e-37,4.582069254703375e-22
dolma3_cc/education_and_jobs_low,5.9726479780844135e-37,7.597463898597926e-24,2.4556458267356994e-35,7.809216525410738e-23
dolma3_cc/electronics_and_hardware_high,2.0876315455682963e-36,5.129704703560242e-28,7.968269297641309e-35,4.8948853764587935e-27
dolma3_cc/electronics_and_hardware_low,1.4761182613632067e-33,5.8827417290978934e-18,1.1986715103168784e-31,1.1942598194520343e-16
dolma3_cc/entertainment_high,3.5310547328354094e-32,3.9808238742877258e-19,4.219915653895991e-31,1.1893571647514794e-18
dolma3_cc/entertainment_low,2.7918802681559698e-27,0.10429494795030049,9.16851880118929e-26,0.8562600284636993
dolma3_cc/finance_and_business_high,1.4883397528008315e-30,1.557821373262122e-14,1.3845069490767482e-29,3.6228531030009954e-14
dolma3_cc/finance_and_business_low,2.959207962333944e-38,1.1315369914207455e-26,5.777144796894286e-37,5.522637413191437e-26
dolma3_cc/food_and_dining_high,4.0345365766202025e-38,4.307825533838413e-24,1.1950023011855347e-36,3.189871580217e-23
dolma3_cc/food_and_dining_low,1.23237802271279e-35,2.4373171342181287e-21,7.4158660673083595e-34,3.666654447295729e-20
dolma3_cc/games_high,5.618968500449898e-34,3.4687991218955652e-18,1.2584088891659107e-32,1.942157021068358e-17
dolma3_cc/games_low,1.2432588569091337e-35,2.1177922531822964e-22,7.426575214157233e-34,3.162644562878701e-21
dolma3_cc/health_high,2.5726160206079043e-28,0.04434772053727749,2.9893821671939932e-27,0.12883022949001302
dolma3_cc/health_low,1.2507745144567203e-37,6.454175440960363e-27,3.410131091503923e-36,4.3991910785774094e-26
dolma3_cc/history_and_geography_high,5.260668561566548e-28,1.2061693033391814e-11,1.9702033224122865e-26,1.1293235550857971e-10
dolma3_cc/history_and_geography_low,6.565855061351138e-15,0.06352004061654122,8.935517290150234e-13,2.1611214986344454
dolma3_cc/industrial_high,2.1651964149035596e-17,0.09734998379171024,1.3414810517608956e-15,1.5078673434302075
dolma3_cc/industrial_low,9.003961219604562e-35,5.18960309737706e-23,1.0536087465954377e-32,1.5181682487842228e-21
dolma3_cc/literature_high,9.354378314822623e-19,0.1104955354921969,1.8322521595108885e-17,0.5410719897897586
dolma3_cc/literature_low,6.250921699695546e-14,0.12290239647846209,4.592027467669606e-12,2.2571518552976197
dolma3_cc/science_math_and_technology_high,6.12917744634121e-26,5.3930220020061494e-11,1.2761223567491131e-24,2.8071286920026216e-10
dolma3_cc/science_math_and_technology_low,6.498766384998913e-37,2.1133434985550353e-27,2.9641074111378225e-35,2.4097562349704165e-26
dolma3_finemath_3plus,5.9295012503369365e-34,1.9769269765357562e-22,8.824267750405767e-32,7.35514347136716e-21
dolma3_stack_edu,0.06062352331414486,6.850303718676403e-08,2.2880698323424733,6.463651576247896e-07
dolma3_wikipedia,1.2015302873885398e-30,1.1543302324930718e-16,1.657042976654832e-27,3.9798722191395927e-14
dolmino_common_crawl_hq,1.8199479458227656e-34,6.788977365580384e-23,6.9894505255947725e-34,6.518211348437083e-23
dolmino_olmocr_pdfs_hq,1.9724759802771622e-28,0.03773550787976938,4.847451498887579e-27,0.2318419160259799
dolmino_stack_edu_fim,0.9393764766857856,5.164333305925887e-15,35.503989276219386,4.879684526466644e-14
dolmino_stem_heavy_crawl,1.1836154100598327e-32,3.8366834631992244e-17,1.1487440234293688e-29,9.309120092306009e-15
dolmino_synth_code,1.582975785994054e-17,0.12154687994056383,4.24694938598699e-15,8.15242171894711
dolmino_synth_instruction,2.43100306941525e-33,3.0625450897591796e-19,6.8414538638808475e-31,2.154692974398638e-17
dolmino_synth_math,1.819032597417915e-31,3.2219526569335496e-13,4.2182378197864367e-29,1.867883314780976e-11
dolmino_synth_qa,9.484873763563756e-21,0.09863782996612898,9.104533869462597e-20,0.2367062245959425
dolmino_synth_thinking,3.216960973782067e-35,3.8922975092216443e-20,4.0799867603998014e-33,1.23412456932072e-18
