domain_name,phase_0_weight,phase_1_weight,phase_0_effective_epochs,phase_1_effective_epochs
dolma3_arxiv,0.026054912945265934,1.951804695947457e-08,4.669017088230067,8.744041380420503e-07
dolma3_cc/art_and_design_high,2.3417784356383218e-05,1.7785709810599427e-13,0.0010379018427196876,1.9707053307828196e-12
dolma3_cc/art_and_design_low,5.524080604324039e-13,3.336599163988232e-14,6.032031511512537e-11,9.108516303468295e-13
dolma3_cc/crime_and_law_high,1.7442961901310706e-08,1.075150641221177e-13,5.743558060261843e-07,8.850546951715752e-13
dolma3_cc/crime_and_law_low,7.033848566312078e-14,0.029501409962651867,5.155944924577479e-12,0.5406273803409661
dolma3_cc/education_and_jobs_high,1.9407098502758366e-15,3.0617935251593793e-13,3.9083987642346e-14,1.5415377559367732e-12
dolma3_cc/education_and_jobs_low,4.976865282708803e-14,1.9376829367216697e-14,2.0462311702537993e-12,1.9916890441882546e-13
dolma3_cc/electronics_and_hardware_high,5.410417620929147e-15,8.823048634403304e-17,2.0650993087255432e-13,8.419161381034509e-16
dolma3_cc/electronics_and_hardware_low,3.7923005023762495e-11,6.552522077888203e-14,3.079511099985163e-09,1.3302324314166764e-12
dolma3_cc/entertainment_high,8.250966802836352e-13,1.3808716985737048e-13,9.86061859854163e-12,4.125652629118239e-13
dolma3_cc/entertainment_low,1.7645971058044365e-11,2.250468425997977e-14,5.794926783080924e-10,1.8476313535531445e-13
dolma3_cc/finance_and_business_high,1.7337433778197827e-13,5.417329885917681e-13,1.6127901912114689e-12,1.2598485759685723e-12
dolma3_cc/finance_and_business_low,2.079410508796166e-14,4.521213820780004e-17,4.0595509860767965e-13,2.2066467812357615e-16
dolma3_cc/food_and_dining_high,3.6562757291098696e-11,8.791606797717004e-14,1.0829640101355363e-09,6.510035387503694e-13
dolma3_cc/food_and_dining_low,2.482314254506123e-16,9.686242532582883e-15,1.4937389103925925e-14,1.4571802643595392e-13
dolma3_cc/games_high,8.487614244367311e-11,9.708588687741888e-15,1.900862980824298e-09,5.4357727334348724e-14
dolma3_cc/games_low,5.81722549158509e-16,9.23509383068595e-15,3.47490487687931e-14,1.3791399627326632e-13
dolma3_cc/health_high,8.14615384920199e-13,8.672766249892726e-14,9.465838217966478e-12,2.519440577216895e-13
dolma3_cc/health_low,7.657301653015556e-11,1.851873929624043e-14,2.087698633299606e-09,1.2622444717182906e-13
dolma3_cc/history_and_geography_high,2.700283580297532e-10,2.657568316389461e-13,1.011298776780055e-08,2.4882530923640605e-12
dolma3_cc/history_and_geography_low,4.104010867198899e-14,4.9816083017346876e-14,5.5851766023104805e-12,1.6948762460096932e-12
dolma3_cc/industrial_high,1.2385653451977202e-08,4.676193852479251e-14,7.67372387333479e-07,7.243021238492476e-13
dolma3_cc/industrial_low,1.1713118117511008e-14,2.396975289896796e-15,1.3706238173976813e-12,7.012119636048681e-14
dolma3_cc/literature_high,1.6881374720993265e-12,2.777577073909061e-13,3.306573055639662e-11,1.360117535500357e-12
dolma3_cc/literature_low,2.9570067532792157e-10,3.6969326522300515e-14,2.172264649196299e-08,6.789565243631145e-13
dolma3_cc/science_math_and_technology_high,1.0076802099141899e-13,1.364074478389233e-12,2.0980355938181627e-12,7.100161291555138e-12
dolma3_cc/science_math_and_technology_low,8.428824132414381e-14,0.05213779548354672,3.844412708192921e-12,0.5945052369858143
dolma3_finemath_3plus,9.927225658261605e-12,2.3795051582945236e-13,1.4773670419956612e-09,8.852932879080422e-12
dolma3_stack_edu,7.742762059264623e-19,0.3884936379949701,2.922294732855905e-17,3.6656586608595703
dolma3_wikipedia,2.6690526871604476e-18,6.5174470682058374e-18,3.680918455408643e-15,2.247069841569005e-15
dolmino_common_crawl_hq,0.9567133095611966,1.9317909970750575e-14,3.6742261555909463,1.8547450259272978e-14
dolmino_olmocr_pdfs_hq,2.5499026353326693e-13,1.353990202657225e-10,6.266504370777634e-12,8.318734807137684e-10
dolmino_stack_edu_fim,2.663466813259272e-18,0.43697998521494696,1.0066645218661809e-16,4.128944330107884
dolmino_stem_heavy_crawl,0.01720741370361733,2.719160371878066e-17,16.700453105547005,6.597622841407174e-15
dolmino_synth_code,3.3177777752479465e-15,0.09288715166297427,8.901231724515763e-13,6.230149494570835
dolmino_synth_instruction,6.291916290529223e-12,2.179564278491494e-11,1.7707034416624652e-09,1.5334604717559105e-09
dolmino_synth_math,4.2133316504022823e-13,1.5129955171021051e-12,9.770487313013709e-11,8.771386120934311e-11
dolmino_synth_qa,2.0028753891737675e-12,2.2055747758062444e-13,1.922560834398929e-11,5.292830128404203e-13
dolmino_synth_thinking,9.153342960743064e-07,3.4656010242973475e-17,0.00011608943471056355,1.0988325947375214e-15
