domain_name,phase_0_weight,phase_1_weight,phase_0_effective_epochs,phase_1_effective_epochs
dolma3_arxiv,4.4969064840483475e-08,0.17193785982108675,8.058416185193677e-06,7.702777661402835
dolma3_cc/art_and_design_high,1.0922938349999405e-12,6.938952552672053e-17,4.841165871564491e-11,7.688549364192621e-16
dolma3_cc/art_and_design_low,7.733578658308979e-13,1.8652045769158006e-16,8.44469758952565e-11,5.091785216967457e-15
dolma3_cc/crime_and_law_high,2.080927396924084e-12,3.105862845684238e-16,6.852005634733926e-11,2.556719392372382e-15
dolma3_cc/crime_and_law_low,0.049227526768770395,1.6671923983452476e-15,3.6084714420575206,3.0552094289148466e-14
dolma3_cc/education_and_jobs_high,3.8854108646235715e-13,5.539154993265298e-17,7.824835340367897e-12,2.7888283412774145e-16
dolma3_cc/education_and_jobs_low,9.550627968037265e-14,1.2898814496475357e-18,3.926727273810962e-12,1.3258323654907015e-17
dolma3_cc/electronics_and_hardware_high,1.6258906909027803e-14,1.999766905185399e-20,6.20585318378808e-13,1.9082248094562884e-19
dolma3_cc/electronics_and_hardware_low,2.0268344678801757e-13,4.114863784538986e-17,1.6458767541650534e-11,8.353615893225401e-16
dolma3_cc/entertainment_high,2.3392295099388085e-12,1.8064642946289512e-17,2.7955814831336833e-11,5.3972024875606925e-17
dolma3_cc/entertainment_low,7.588389035886659e-11,7.887825502826969e-21,2.4920226107052634e-09,6.475893437125834e-20
dolma3_cc/finance_and_business_high,2.5050719546301135e-12,2.0454287857987122e-15,2.330307661671917e-11,4.756827805026882e-15
dolma3_cc/finance_and_business_low,4.6698970439266815e-14,5.839620798860646e-19,9.1168555075375e-13,2.850115245648822e-18
dolma3_cc/food_and_dining_high,3.004624027302378e-14,4.1139956463877024e-19,8.899492069623368e-13,3.0463438434228957e-18
dolma3_cc/food_and_dining_low,1.211585821760094e-13,2.6907481552509033e-18,7.290748469730357e-12,4.047911349529182e-17
dolma3_cc/games_high,2.2356211966104601e-13,3.877692447710494e-18,5.006836372898472e-12,2.1710936114251645e-17
dolma3_cc/games_low,8.566924392585289e-14,4.425040741715922e-19,5.11743053363045e-12,6.608217128604228e-18
dolma3_cc/health_high,2.436525281360694e-12,7.109456271302582e-18,2.8312446038083292e-11,2.0652986712388803e-17
dolma3_cc/health_low,3.6609027417890406e-14,5.0149117568310163e-20,9.981142179067597e-13,3.4181833546844633e-19
dolma3_cc/history_and_geography_high,8.964623102552737e-11,3.234638343642484e-17,3.357392699068619e-09,3.0285576523513417e-16
dolma3_cc/history_and_geography_low,1.9923215222880318e-13,7.41505518226781e-18,2.7113640559527848e-11,2.5227998931390325e-16
dolma3_cc/industrial_high,8.657647533805858e-14,1.823431905088806e-18,5.363979932482159e-12,2.824338860225133e-17
dolma3_cc/industrial_low,3.200367816743679e-14,6.494239568373871e-21,3.7449467426646405e-12,1.899827044131082e-19
dolma3_cc/literature_high,1.3035508666214575e-10,2.6160884248389404e-14,2.55327912771587e-09,1.281040146272264e-13
dolma3_cc/literature_low,1.8530124808293817e-13,1.6052672548013162e-17,1.3612527269886547e-11,2.948137763170692e-16
dolma3_cc/science_math_and_technology_high,1.8497281013793492e-10,2.3003830674458686e-14,3.851217238760736e-09,1.1973752951169465e-13
dolma3_cc/science_math_and_technology_low,0.14740489634724016,1.364334509821923e-11,6.723182829119809,1.5556929547310256e-10
dolma3_finemath_3plus,4.0154680724260524e-13,1.4534277689410385e-16,5.975808743151838e-11,5.407468203283464e-15
dolma3_stack_edu,7.133768193171735e-34,0.3763279460427724,2.6924465787213806e-32,3.5508684308314007
dolma3_wikipedia,7.752918742104724e-17,3.7706270799459666e-19,1.0692131263792212e-13,1.3000278032917643e-16
dolmino_common_crawl_hq,2.1362748348653162e-11,5.053856972339036e-16,8.204293590723585e-11,4.8522930769356e-16
dolmino_olmocr_pdfs_hq,0.3115625360249561,2.627006670444524e-12,7.656794289779747,1.6139977811598774e-11
dolmino_stack_edu_fim,3.883765029322771e-11,0.3460409403763092,1.467879549623366e-09,3.269677850460714
dolmino_stem_heavy_crawl,4.567602519930676e-16,6.952103465471604e-19,4.433032935846998e-13,1.6868205749829247e-16
dolmino_synth_code,2.3793336451586354e-20,0.10569325373992314,6.3834896609104605e-18,7.089083469332041
dolmino_synth_instruction,0.03355180482981265,2.5033543133592193e-13,9.44232147137156,1.761267113898978e-11
dolmino_synth_math,0.12881271184225587,3.0260880291942106e-12,29.870968422091487,1.754333455715606e-10
dolmino_synth_qa,0.32944047866341886,3.0747458743932675e-13,3.162300385573187,7.378624284105823e-13
dolmino_synth_thinking,4.34914439016272e-14,8.826341116456684e-18,5.51590512771109e-12,2.7985539140360164e-16
