run,step,eval_dump_written_utc,dataset,questions,completed_correct,completed_correct_rate,correct_any_stop,raw_reward_mean,completed_fraction,length_stop_fraction,response_tokens_mean,membership_sha256
r19,0,2026-09-19T23:43:42+00:00,all,756,87,0.11507936507936507,88,-0.5277777777777778,0.6957671957671958,0.30423280423280424,2265.8902116402114,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r19,0,2026-09-19T23:43:42+00:00,val-gsm8k,256,75,0.29296875,75,0.29296875,0.91015625,0.08984375,1323.32421875,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r19,0,2026-09-19T23:43:42+00:00,val-math500,500,12,0.024,13,-0.948,0.586,0.414,2748.484,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r19,10,2026-09-20T00:10:40+00:00,all,756,103,0.13624338624338625,103,-0.5158730158730159,0.6785714285714286,0.32142857142857145,2289.3531746031745,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r19,10,2026-09-20T00:10:40+00:00,val-gsm8k,256,96,0.375,96,0.375,0.89453125,0.10546875,1363.828125,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r19,10,2026-09-20T00:10:40+00:00,val-math500,500,7,0.014,7,-0.972,0.568,0.432,2763.222,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r19,20,2026-09-20T00:28:36+00:00,all,756,137,0.18121693121693122,138,-0.45634920634920634,0.7116402116402116,0.28835978835978837,2230.73544973545,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r19,20,2026-09-20T00:28:36+00:00,val-gsm8k,256,121,0.47265625,121,0.47265625,0.90625,0.09375,1283.89453125,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r19,20,2026-09-20T00:28:36+00:00,val-math500,500,16,0.032,17,-0.932,0.612,0.388,2715.518,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r19,30,2026-09-20T00:47:28+00:00,all,756,181,0.23941798941798942,183,-0.3637566137566138,0.7037037037037037,0.2962962962962963,2265.4761904761904,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r19,30,2026-09-20T00:47:28+00:00,val-gsm8k,256,141,0.55078125,141,0.55078125,0.9296875,0.0703125,1269.78125,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r19,30,2026-09-20T00:47:28+00:00,val-math500,500,40,0.08,42,-0.832,0.588,0.412,2775.272,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r19,40,2026-09-20T01:07:14+00:00,all,756,250,0.3306878306878307,252,-0.19973544973544974,0.6997354497354498,0.3002645502645503,2267.339947089947,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r19,40,2026-09-20T01:07:14+00:00,val-gsm8k,256,155,0.60546875,155,0.60546875,0.91796875,0.08203125,1258.7109375,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r19,40,2026-09-20T01:07:14+00:00,val-math500,500,95,0.19,97,-0.612,0.588,0.412,2783.758,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r20,0,2026-09-19T23:43:51+00:00,all,756,79,0.10449735449735449,80,-0.544973544973545,0.7037037037037037,0.2962962962962963,2293.0476190476193,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r20,0,2026-09-19T23:43:51+00:00,val-gsm8k,256,72,0.28125,72,0.28125,0.91796875,0.08203125,1337.46484375,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r20,0,2026-09-19T23:43:51+00:00,val-math500,500,7,0.014,8,-0.968,0.594,0.406,2782.306,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r20,10,2026-09-20T00:10:50+00:00,all,756,83,0.10978835978835978,83,-0.541005291005291,0.701058201058201,0.29894179894179895,2299.558201058201,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r20,10,2026-09-20T00:10:50+00:00,val-gsm8k,256,75,0.29296875,75,0.29296875,0.90625,0.09375,1420.62109375,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r20,10,2026-09-20T00:10:50+00:00,val-math500,500,8,0.016,8,-0.968,0.596,0.404,2749.574,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r20,20,2026-09-20T00:29:27+00:00,all,756,142,0.18783068783068782,143,-0.4417989417989418,0.6851851851851852,0.3148148148148148,2296.9391534391534,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
r20,20,2026-09-20T00:29:27+00:00,val-gsm8k,256,120,0.46875,120,0.46875,0.90625,0.09375,1337.9296875,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
r20,20,2026-09-20T00:29:27+00:00,val-math500,500,22,0.044,23,-0.908,0.572,0.428,2787.952,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
r20,30,2026-09-20T00:49:17+00:00,all,756,160,0.21164021164021163,163,-0.4074074074074074,0.7023809523809523,0.2976190476190476,2265.0383597883597,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
