run,step,eval_dump_written_utc,dataset,questions,completed_correct,completed_correct_rate,correct_any_stop,raw_reward_mean,completed_fraction,length_stop_fraction,response_tokens_mean,membership_sha256
s20_tis,0,2026-09-20T20:57:41+00:00,all,756,67,0.08862433862433862,67,-0.5568783068783069,0.701058201058201,0.29894179894179895,2307.1256613756614,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
s20_tis,0,2026-09-20T20:57:41+00:00,val-gsm8k,256,55,0.21484375,55,0.21484375,0.890625,0.109375,1409.0390625,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
s20_tis,0,2026-09-20T20:57:41+00:00,val-math500,500,12,0.024,12,-0.952,0.604,0.396,2766.946,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
s20_tis,10,2026-09-20T21:25:40+00:00,all,756,84,0.1111111111111111,84,-0.5357142857142857,0.7063492063492064,0.29365079365079366,2313.080687830688,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
s20_tis,10,2026-09-20T21:25:40+00:00,val-gsm8k,256,73,0.28515625,73,0.28515625,0.91015625,0.08984375,1363.7421875,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
s20_tis,10,2026-09-20T21:25:40+00:00,val-math500,500,11,0.022,11,-0.956,0.602,0.398,2799.142,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
s20_tis,20,2026-09-20T21:43:59+00:00,all,756,122,0.16137566137566137,122,-0.4748677248677249,0.705026455026455,0.294973544973545,2309.112433862434,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
s20_tis,20,2026-09-20T21:43:59+00:00,val-gsm8k,256,103,0.40234375,103,0.40234375,0.91015625,0.08984375,1361.14453125,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
s20_tis,20,2026-09-20T21:43:59+00:00,val-math500,500,19,0.038,19,-0.924,0.6,0.4,2794.472,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
s20_tis,30,2026-09-20T22:03:13+00:00,all,756,174,0.23015873015873015,174,-0.3558201058201058,0.701058201058201,0.29894179894179895,2216.3267195767194,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
s20_tis,30,2026-09-20T22:03:13+00:00,val-gsm8k,256,117,0.45703125,117,0.45703125,0.9140625,0.0859375,1250.21484375,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
s20_tis,30,2026-09-20T22:03:13+00:00,val-math500,500,57,0.114,57,-0.772,0.592,0.408,2710.976,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
s20_tis,40,2026-09-20T22:22:50+00:00,all,756,297,0.39285714285714285,298,-0.10582010582010581,0.7063492063492064,0.29365079365079366,2244.4920634920636,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
s20_tis,40,2026-09-20T22:22:50+00:00,val-gsm8k,256,176,0.6875,176,0.6875,0.9375,0.0625,1189.23828125,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
s20_tis,40,2026-09-20T22:22:50+00:00,val-math500,500,121,0.242,122,-0.512,0.588,0.412,2784.782,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
s20_sc,0,2026-09-20T20:57:58+00:00,all,756,77,0.10185185185185185,79,-0.5423280423280423,0.667989417989418,0.33201058201058203,2386.440476190476,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
s20_sc,0,2026-09-20T20:57:58+00:00,val-gsm8k,256,68,0.265625,68,0.265625,0.8828125,0.1171875,1399.96484375,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
s20_sc,0,2026-09-20T20:57:58+00:00,val-math500,500,9,0.018,11,-0.956,0.558,0.442,2891.516,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
s20_sc,10,2026-09-20T21:26:39+00:00,all,756,91,0.12037037037037036,91,-0.5211640211640212,0.6970899470899471,0.3029100529100529,2210.1931216931216,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
s20_sc,10,2026-09-20T21:26:39+00:00,val-gsm8k,256,76,0.296875,76,0.296875,0.9140625,0.0859375,1272.125,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
s20_sc,10,2026-09-20T21:26:39+00:00,val-math500,500,15,0.03,15,-0.94,0.586,0.414,2690.484,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
s20_sc,20,2026-09-20T21:44:45+00:00,all,756,130,0.17195767195767195,130,-0.455026455026455,0.6957671957671958,0.30423280423280424,2274.334656084656,448615d2489352d13e1c4e994bfe458485d7503c1076ddf0aa608fd6c637048d
s20_sc,20,2026-09-20T21:44:45+00:00,val-gsm8k,256,104,0.40625,104,0.40625,0.8984375,0.1015625,1346.51171875,57e2cba714e021914939518a776964f9b151a863dbcda3ec7c2cf363da913255
s20_sc,20,2026-09-20T21:44:45+00:00,val-math500,500,26,0.052,26,-0.896,0.592,0.408,2749.38,32f5b9fbe0b84b799b8c4aa073c7233dd42531c6dbb1290ad5c099976289b32a
