step,epoch,run_a,run_b,consumed_a,consumed_b,intersection,union,jaccard
10,0,s20_sc,s20_tis,320,320,319,321,0.9937694704049844
10,0,s21_sc,s21_tis,320,320,319,321,0.9937694704049844
10,0,s22_sc,s22_tis,320,320,318,322,0.9875776397515528
20,0,s20_sc,s20_tis,640,640,640,640,1.0
20,0,s21_sc,s21_tis,640,640,637,643,0.9906687402799378
20,0,s22_sc,s22_tis,640,640,638,642,0.9937694704049844
30,0,s20_sc,s20_tis,960,960,958,962,0.9958419958419958
30,0,s21_sc,s21_tis,960,960,956,964,0.991701244813278
30,0,s22_sc,s22_tis,960,960,959,961,0.9979188345473465
40,0,s20_sc,s20_tis,1280,1280,1280,1280,1.0
40,0,s21_sc,s21_tis,1280,1280,1280,1280,1.0
40,0,s22_sc,s22_tis,1280,1280,1276,1284,0.9937694704049844
