step,age,position,tokens,engine_abs_mean,stale_abs_mean,combined_abs_mean,engine_abs_p99,stale_abs_p99,combined_abs_p99,engine_signed_mean,stale_signed_mean,combined_signed_mean,opposite_sign_fraction,canceled_absolute_mean,tis_capped_fraction,reconstruction_abs_max
1,0,all,98326,0.01293581791599007,0.0,0.01293581791599007,0.13045692443847656,0.0,0.13045692443847656,-0.0006269249137775116,0.0,-0.0006269249137775116,0.0,0.0,0.04558306043162541,0.0
1,0,first_256,32756,0.012706394606609862,0.0,0.012706394606609862,0.1316589176654818,0.0,0.1316589176654818,-0.0005617769779789934,0.0,-0.0005617769779789934,0.0,0.0,0.04438881426303578,0.0
1,0,middle,37014,0.014430419326409434,0.0,0.014430419326409434,0.13276187300682105,0.0,0.13276187300682105,-0.0008701468680319608,0.0,-0.0008701468680319608,0.0,0.0,0.050710541957097316,0.0
1,0,last_256,32756,0.011471828135521809,0.0,0.011471828135521809,0.1267299622297287,0.0,0.1267299622297287,-0.0003928373699802575,0.0,-0.0003928373699802575,0.0,0.0,0.04087800708267188,0.0
2,1,all,209009,0.01388376486312091,0.013492160109600897,0.013929088158884715,0.12884517669677734,0.12531471252441387,0.1291136932373042,-0.0006319315345747874,-5.8898826427453236e-05,-0.0006908303610022406,0.6011463621183777,0.01344683681383709,0.049954786635982185,0.0
2,1,first_256,32767,0.013422928597950754,0.013477722784839294,0.013749917727346652,0.13715772628784184,0.1361845588684083,0.1393893563747407,-0.0008839001031648084,7.817248776504944e-05,-0.0008057276153997589,0.5916318247016815,0.013150733655443395,0.04858546708578753,0.0
2,1,middle,144712,0.014781195552093427,0.014290717739231795,0.014783930477125805,0.13031876921653718,0.12567827701568562,0.12939364850521037,-0.0006746552659819575,-6.560860262421232e-05,-0.0007402638686061699,0.6089059649510752,0.014287982814199417,0.053216042898999394,0.0
2,1,last_256,32767,0.010352410157915076,0.010046890164539154,0.010330588472967831,0.12011340141296387,0.11966182708740235,0.12267141342163086,-0.00018602472536903892,-0.00013557881899327486,-0.0003216035443623138,0.5780816064943388,0.0100687118494864,0.0369579149754326,0.0
3,2,all,328317,0.015086739508030664,0.014723044646260425,0.015073525029154376,0.13192279815673857,0.12627120971679764,0.13182062149047943,-0.0006668002273118763,6.233305759646525e-05,-0.000604467169715411,0.6161880134138653,0.01473625912513671,0.0542829034134693,0.0
3,2,first_256,32768,0.014154693209790046,0.01413530533891556,0.014149592279887845,0.1369429290294638,0.1452780961990354,0.13751963019371033,-0.0009716080727137418,0.0006973635419545467,-0.00027424453075919515,0.5946044921875,0.01414040626881776,0.050750732421875,0.0
3,2,middle,263869,0.015464749530007656,0.015091448423060138,0.015462928361331221,0.13174575805664065,0.12579425334930433,0.13240781784057631,-0.0006256041931974204,-1.8183851048428814e-05,-0.0006437880442458489,0.6212287157642619,0.015093269591736574,0.05580420587488489,0.0
3,2,last_256,32768,0.012825028221793726,0.012192558619622228,0.012707646303326436,0.12601862549781792,0.12226228713989257,0.12392530441284176,-0.000689281027560343,0.00011184865167806904,-0.000577432375882274,0.594635009765625,0.012309940538089514,0.044921875,0.0
4,3,all,421957,0.015451770216998948,0.014928620113312658,0.01539339716418297,0.1344126129150391,0.12826826572418215,0.13384997844696048,-0.0006365344022300314,6.203722973160448e-05,-0.000574497172498427,0.6179966205087248,0.014986993166128629,0.055740276852854674,0.0
4,3,first_256,32768,0.014077971960883992,0.013832144544159687,0.01409050648713989,0.13731098413467402,0.13952145218849157,0.13603994607925382,-0.0007971894354689088,9.746460504291769e-05,-0.0006997248304259911,0.589202880859375,0.013819610017903786,0.05072021484375,0.0
4,3,middle,356544,0.015703882606451575,0.015140313102473045,0.015641005832993164,0.1345329749584199,0.12760881185531625,0.1337450468540194,-0.0006189175111991124,5.7711315477251294e-05,-0.0005612061957218612,0.6212669404056722,0.015203189875931458,0.056654999102495066,0.0
4,3,last_256,32768,0.0140684416737571,0.013700306485701324,0.01397681129171828,0.12844580054283108,0.12771167606115338,0.13275421738624563,-0.0006714634656171945,8.652143327944617e-05,-0.0005849420323377483,0.611236572265625,0.01379193686774014,0.05078125,0.0
5,4,all,371253,0.01609964060171865,0.015717330273532344,0.016181644699307007,0.13316141128540016,0.12955696105957026,0.13493417263030988,-0.0006240101725708955,-2.478565934908826e-06,-0.0006264887385058044,0.6172286823271462,0.015635326175943987,0.05886821116597037,0.0
