step,age,position,tokens,engine_abs_mean,stale_abs_mean,combined_abs_mean,engine_abs_p99,stale_abs_p99,combined_abs_p99,engine_signed_mean,stale_signed_mean,combined_signed_mean,opposite_sign_fraction,canceled_absolute_mean,tis_capped_fraction,reconstruction_abs_max
1,0,all,99808,0.012644183732171483,0.0,0.012644183732171483,0.12681080728769256,0.0,0.12681080728769256,-0.000530925284564611,0.0,-0.000530925284564611,0.0,0.0,0.04486614299454954,0.0
1,0,first_256,32768,0.01260051563085907,0.0,0.01260051563085907,0.1250052011013031,0.0,0.1250052011013031,-0.0005882671809271755,0.0,-0.0005882671809271755,0.0,0.0,0.043914794921875,0.0
1,0,middle,38841,0.014145821636849704,0.0,0.014145821636849704,0.1325708031654357,0.0,0.1325708031654357,-0.0005156428372769376,0.0,-0.0005156428372769376,0.0,0.0,0.05108004428310291,0.0
1,0,last_256,32768,0.010868066000714775,0.0,0.010868066000714775,0.1234317946434019,0.0,0.1234317946434019,-0.0004575072535281182,0.0,-0.0004575072535281182,0.0,0.0,0.0384521484375,0.0
2,1,all,229451,0.014552445335266045,0.014110792970752772,0.01439092204147002,0.12992966175079346,0.1250186562538147,0.12777841091156006,-0.0006946435178283616,2.0842429745879827e-05,-0.0006738010880824818,0.6105835232794802,0.014272316264548796,0.051623222387350676,0.0
2,1,first_256,32768,0.013401287320651973,0.013490073581038153,0.01330006568278706,0.13401519834995204,0.13646927118301333,0.13347973346710193,-0.0009307583108697898,0.0004044758913992455,-0.0005262824194705443,0.594573974609375,0.013591295218903066,0.04779052734375,0.0
2,1,middle,165499,0.015436645672484109,0.014893378983321829,0.015241141351446708,0.13063789248466487,0.12501989364624017,0.12797919511795036,-0.0006639092624931558,-2.6807466575272405e-05,-0.0006907167290684281,0.6184750361029372,0.015088883304359226,0.05506377682040375,0.0
2,1,last_256,32768,0.011124651475068113,0.01076783479701971,0.011075384715482438,0.12339722633361809,0.12171625852584834,0.12304450690746278,-0.0006089297324554537,-8.006880371201706e-05,-0.0006889985361674708,0.586639404296875,0.010817101556605386,0.037750244140625,0.0
3,2,all,355780,0.014752359743980632,0.01428295428401025,0.014806464285416338,0.1308068096637726,0.12497846603393559,0.13193418264389073,-0.0006613909106405912,2.7004442733152173e-05,-0.000634386467907439,0.6119989881387374,0.01422884974257454,0.05308336612513351,0.0
3,2,first_256,32768,0.014111196521616538,0.013898092240302326,0.014405083455810555,0.13348297059535913,0.1350845396518703,0.13999793291091917,-0.0005562812085476579,-0.0001871984035228824,-0.0007434796120705403,0.58953857421875,0.013604205306108308,0.049407958984375,0.0
3,2,middle,290951,0.015103831967443066,0.014593478551979636,0.015131650315598762,0.1311359405517578,0.12483322620391846,0.13126224279403687,-0.0006945661799836482,4.2082017533568586e-05,-0.0006524841624500796,0.61645431704995,0.014565660203823947,0.05455214108217535,0.0
3,2,last_256,32768,0.01227828184310898,0.011886972623277184,0.012297386563541773,0.12364370346069326,0.12380662024021141,0.12714708328247054,-0.0004460424405345739,0.0001219185275726821,-0.0003241239129618918,0.59417724609375,0.01186786790284439,0.043792724609375,0.0
