suite,prompt_sha16,position,scenario,topk,tis_cap,behavior_tail_mass,current_tail_mass,behavior_cap_mass,behavior_log_ratio_abs_mean,exact_gradient_l1,exact_gradient_l2,error_l1,error_l2,relative_error_l1
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,1,1.001,0.00103156891685,0.00100532749473,0.00011234972201,5.78723362406e-05,4.63648240486e-06,2.33412895901e-06,4.63648239786e-06,2.33412895207e-06,0.99999999849
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,1,1.05,0.00103156891685,0.00100532749473,8.67487162048e-06,5.78723362406e-05,2.84872888365e-07,1.61028050575e-07,2.84872881363e-07,1.61028044394e-07,0.999999975423
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,1,2.0,0.00103156891685,0.00100532749473,0,5.78723362406e-05,7.00144523138e-15,6.99440541245e-15,0,0,
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,4,1.001,0.000572991785614,0.000562086946032,0.00011234972201,5.78723362406e-05,4.63648240486e-06,2.33412895901e-06,4.63648239786e-06,2.33412895207e-06,0.99999999849
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,4,1.05,0.000572991785614,0.000562086946032,8.67487162048e-06,5.78723362406e-05,2.84872888365e-07,1.61028050575e-07,2.84872881363e-07,1.61028044394e-07,0.999999975423
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,4,2.0,0.000572991785614,0.000562086946032,0,5.78723362406e-05,7.00144523138e-15,6.99440541245e-15,0,0,
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,8,1.001,0.000458733033182,0.000451145412377,0.00011234972201,5.78723362406e-05,4.63648240486e-06,2.33412895901e-06,4.63648239786e-06,2.33412895207e-06,0.99999999849
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,8,1.05,0.000458733033182,0.000451145412377,8.67487162048e-06,5.78723362406e-05,2.84872888365e-07,1.61028050575e-07,2.84872881363e-07,1.61028044394e-07,0.999999975423
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,8,2.0,0.000458733033182,0.000451145412377,0,5.78723362406e-05,7.00144523138e-15,6.99440541245e-15,0,0,
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,32,1.001,0.000363831716806,0.000358413864789,0.00011234972201,5.78723362406e-05,4.63648240486e-06,2.33412895901e-06,4.03584904363e-06,2.02511285202e-06,0.870454946492
