run,step,eval_dump_written_utc,dataset,questions,completed_correct,completed_correct_rate,correct_any_stop,raw_reward_mean,completed_fraction,length_stop_fraction,response_tokens_mean,membership_sha256
flash_tis17,0,2026-09-21T02:50:48+00:00,all,1199,391,0.32610508757297746,402,-0.2643837484576425,0.6346955796497081,0.3653044203502919,2432.00834028357,1a2e720553aeb0d0a11854355d0d7be84709e2b617c85d03e40d65253b61474b
flash_tis17,0,2026-09-21T02:50:48+00:00,core-math,756,256,0.3386243386243386,260,-0.15343915343915343,0.7380952380952381,0.2619047619047619,2152.617724867725,a301f15236d3d79a1e0ba2037a45f04221ab9c74048b2f38ba6088f29a6c298a
flash_tis17,0,2026-09-21T02:50:48+00:00,val-amc,128,4,0.03125,4,-0.9375,0.34375,0.65625,3333.2421875,73bb56c5d07e859a1b6deff9852056886a847f95b611cb6bc01f10e4000e8c1e
flash_tis17,0,2026-09-21T02:50:48+00:00,val-gsm8k,256,132,0.515625,136,0.53125,0.92578125,0.07421875,1396.6015625,4083423960844b0cf33b1de9a413e412db755c4a4446696ba9c548b67a1ab6ea
flash_tis17,0,2026-09-21T02:50:48+00:00,val-math500,500,124,0.248,124,-0.504,0.642,0.358,2539.698,d9ea04a7ab0747d31b186881c5cb10a597932a160241e94e6b8c12f5f26b2216
flash_tis17,0,2026-09-21T02:50:48+00:00,val-omni,75,0,0.0,0,-1.0,0.0,1.0,4096.0,e9b45093e28a81044442d9a637eb012f01439bb3acf969a80ae18521da6d92cd
flash_tis17,0,2026-09-21T02:50:48+00:00,val-rg-sum,128,119,0.9296875,126,0.6406553562444267,0.9453125,0.0546875,1360.703125,9ccd45d839053870c67aa48c06a78f564ab2d5be0e1f13c0ec53f60df1684179
flash_tis17,0,2026-09-21T02:50:48+00:00,val-theoremqa,112,12,0.10714285714285714,12,-0.7857142857142857,0.3392857142857143,0.6607142857142857,3397.9821428571427,c844a9c04a510ee8c99a038206f095cf5ffb8ef912a28a3a2511fb87fd1ec4b9
flash_tis17,10,2026-09-21T04:10:47+00:00,all,1199,623,0.5195996663886572,629,0.0809029305221007,0.6738949124270225,0.32610508757297746,2193.2368640533778,1a2e720553aeb0d0a11854355d0d7be84709e2b617c85d03e40d65253b61474b
flash_tis17,10,2026-09-21T04:10:47+00:00,core-math,756,467,0.6177248677248677,470,0.294973544973545,0.7724867724867724,0.2275132275132275,1903.1084656084656,a301f15236d3d79a1e0ba2037a45f04221ab9c74048b2f38ba6088f29a6c298a
flash_tis17,10,2026-09-21T04:10:47+00:00,val-amc,128,11,0.0859375,11,-0.828125,0.3671875,0.6328125,3292.7734375,73bb56c5d07e859a1b6deff9852056886a847f95b611cb6bc01f10e4000e8c1e
flash_tis17,10,2026-09-21T04:10:47+00:00,val-gsm8k,256,214,0.8359375,217,0.84765625,0.93359375,0.06640625,1169.3125,4083423960844b0cf33b1de9a413e412db755c4a4446696ba9c548b67a1ab6ea
flash_tis17,10,2026-09-21T04:10:47+00:00,val-math500,500,253,0.506,253,0.012,0.69,0.31,2278.812,d9ea04a7ab0747d31b186881c5cb10a597932a160241e94e6b8c12f5f26b2216
flash_tis17,10,2026-09-21T04:10:47+00:00,val-omni,75,0,0.0,0,-1.0,0.02666666666666667,0.9733333333333334,4058.7466666666664,e9b45093e28a81044442d9a637eb012f01439bb3acf969a80ae18521da6d92cd
flash_tis17,10,2026-09-21T04:10:47+00:00,val-rg-sum,128,123,0.9609375,126,0.9609579194999901,0.9765625,0.0234375,925.1171875,9ccd45d839053870c67aa48c06a78f564ab2d5be0e1f13c0ec53f60df1684179
flash_tis17,10,2026-09-21T04:10:47+00:00,val-theoremqa,112,22,0.19642857142857142,22,-0.6071428571428571,0.44642857142857145,0.5535714285714286,3095.0446428571427,c844a9c04a510ee8c99a038206f095cf5ffb8ef912a28a3a2511fb87fd1ec4b9
