run,step,eval_dump_written_utc,dataset,questions,completed_correct,completed_correct_rate,correct_any_stop,raw_reward_mean,completed_fraction,length_stop_fraction,response_tokens_mean,membership_sha256
tis,5,2026-09-21T10:00:16.431853+00:00,all,1199,532,0.44370308590492075,542,-0.029235426516570642,0.6655546288573811,0.33444537114261885,2229.0417014178483,1a2e720553aeb0d0a11854355d0d7be84709e2b617c85d03e40d65253b61474b
tis,5,2026-09-21T10:00:16.431853+00:00,core-math,756,383,0.5066137566137566,389,0.14153439153439154,0.7645502645502645,0.23544973544973544,1927.8055555555557,a301f15236d3d79a1e0ba2037a45f04221ab9c74048b2f38ba6088f29a6c298a
tis,5,2026-09-21T10:00:16.431853+00:00,val-amc,128,8,0.0625,8,-0.875,0.375,0.625,3300.453125,73bb56c5d07e859a1b6deff9852056886a847f95b611cb6bc01f10e4000e8c1e
tis,5,2026-09-21T10:00:16.431853+00:00,val-gsm8k,256,167,0.65234375,171,0.66796875,0.921875,0.078125,1235.56640625,4083423960844b0cf33b1de9a413e412db755c4a4446696ba9c548b67a1ab6ea
tis,5,2026-09-21T10:00:16.431853+00:00,val-math500,500,216,0.432,218,-0.128,0.684,0.316,2282.232,d9ea04a7ab0747d31b186881c5cb10a597932a160241e94e6b8c12f5f26b2216
tis,5,2026-09-21T10:00:16.431853+00:00,val-omni,75,0,0.0,0,-1.0,0.013333333333333334,0.9866666666666667,4086.306666666667,e9b45093e28a81044442d9a637eb012f01439bb3acf969a80ae18521da6d92cd
tis,5,2026-09-21T10:00:16.431853+00:00,val-rg-sum,128,119,0.9296875,123,0.882396278176811,0.96875,0.03125,1096.8671875,9ccd45d839053870c67aa48c06a78f564ab2d5be0e1f13c0ec53f60df1684179
tis,5,2026-09-21T10:00:16.431853+00:00,val-theoremqa,112,22,0.19642857142857142,22,-0.6071428571428571,0.41964285714285715,0.5803571428571429,3088.125,c844a9c04a510ee8c99a038206f095cf5ffb8ef912a28a3a2511fb87fd1ec4b9
sc32,5,2026-09-21T10:00:18.779886+00:00,all,1199,537,0.44787322768974147,546,-0.033732959968054026,0.6438698915763136,0.3561301084236864,2307.8707256046705,1a2e720553aeb0d0a11854355d0d7be84709e2b617c85d03e40d65253b61474b
sc32,5,2026-09-21T10:00:18.779886+00:00,core-math,756,394,0.5211640211640212,401,0.15079365079365079,0.7394179894179894,0.2605820105820106,1999.8492063492063,a301f15236d3d79a1e0ba2037a45f04221ab9c74048b2f38ba6088f29a6c298a
sc32,5,2026-09-21T10:00:18.779886+00:00,val-amc,128,7,0.0546875,7,-0.890625,0.328125,0.671875,3367.6875,73bb56c5d07e859a1b6deff9852056886a847f95b611cb6bc01f10e4000e8c1e
sc32,5,2026-09-21T10:00:18.779886+00:00,val-gsm8k,256,183,0.71484375,188,0.734375,0.921875,0.078125,1238.86328125,4083423960844b0cf33b1de9a413e412db755c4a4446696ba9c548b67a1ab6ea
sc32,5,2026-09-21T10:00:18.779886+00:00,val-math500,500,211,0.422,213,-0.148,0.646,0.354,2389.474,d9ea04a7ab0747d31b186881c5cb10a597932a160241e94e6b8c12f5f26b2216
sc32,5,2026-09-21T10:00:18.779886+00:00,val-omni,75,1,0.013333333333333334,1,-0.9733333333333334,0.02666666666666667,0.9733333333333334,4075.213333333333,e9b45093e28a81044442d9a637eb012f01439bb3acf969a80ae18521da6d92cd
sc32,5,2026-09-21T10:00:18.779886+00:00,val-rg-sum,128,121,0.9453125,123,0.9105795390492439,0.9765625,0.0234375,1191.6640625,9ccd45d839053870c67aa48c06a78f564ab2d5be0e1f13c0ec53f60df1684179
sc32,5,2026-09-21T10:00:18.779886+00:00,val-theoremqa,112,14,0.125,14,-0.75,0.39285714285714285,0.6071428571428571,3267.973214285714,c844a9c04a510ee8c99a038206f095cf5ffb8ef912a28a3a2511fb87fd1ec4b9
