run,step,eval_dump_written_utc,dataset,questions,completed_correct,completed_correct_rate,correct_any_stop,raw_reward_mean,completed_fraction,length_stop_fraction,response_tokens_mean,membership_sha256
tis,5,2026-09-21T07:49:17.578950+00:00,all,1199,554,0.46205170975813176,558,-0.001977148677589534,0.6688907422852377,0.3311092577147623,2232.317764804003,1a2e720553aeb0d0a11854355d0d7be84709e2b617c85d03e40d65253b61474b
tis,5,2026-09-21T07:49:17.578950+00:00,core-math,756,405,0.5357142857142857,406,0.18121693121693122,0.7619047619047619,0.23809523809523808,1950.2738095238096,a301f15236d3d79a1e0ba2037a45f04221ab9c74048b2f38ba6088f29a6c298a
tis,5,2026-09-21T07:49:17.578950+00:00,val-amc,128,8,0.0625,8,-0.875,0.3671875,0.6328125,3285.8984375,73bb56c5d07e859a1b6deff9852056886a847f95b611cb6bc01f10e4000e8c1e
tis,5,2026-09-21T07:49:17.578950+00:00,val-gsm8k,256,174,0.6796875,175,0.68359375,0.92578125,0.07421875,1246.8515625,4083423960844b0cf33b1de9a413e412db755c4a4446696ba9c548b67a1ab6ea
tis,5,2026-09-21T07:49:17.578950+00:00,val-math500,500,231,0.462,231,-0.076,0.678,0.322,2310.426,d9ea04a7ab0747d31b186881c5cb10a597932a160241e94e6b8c12f5f26b2216
tis,5,2026-09-21T07:49:17.578950+00:00,val-omni,75,1,0.013333333333333334,1,-0.9733333333333334,0.04,0.96,4034.3866666666668,e9b45093e28a81044442d9a637eb012f01439bb3acf969a80ae18521da6d92cd
tis,5,2026-09-21T07:49:17.578950+00:00,val-rg-sum,128,119,0.9296875,122,0.9033546776216418,0.9765625,0.0234375,1009.625,9ccd45d839053870c67aa48c06a78f564ab2d5be0e1f13c0ec53f60df1684179
tis,5,2026-09-21T07:49:17.578950+00:00,val-theoremqa,112,21,0.1875,21,-0.625,0.45535714285714285,0.5446428571428571,3122.6428571428573,c844a9c04a510ee8c99a038206f095cf5ffb8ef912a28a3a2511fb87fd1ec4b9
sc32,5,2026-09-21T07:49:19.568979+00:00,all,1199,556,0.46371976647206004,564,-0.013489638435505828,0.6747289407839867,0.32527105921601335,2244.044203502919,1a2e720553aeb0d0a11854355d0d7be84709e2b617c85d03e40d65253b61474b
sc32,5,2026-09-21T07:49:19.568979+00:00,core-math,756,407,0.5383597883597884,411,0.17063492063492064,0.7764550264550265,0.22354497354497355,1950.7751322751324,a301f15236d3d79a1e0ba2037a45f04221ab9c74048b2f38ba6088f29a6c298a
sc32,5,2026-09-21T07:49:19.568979+00:00,val-amc,128,7,0.0546875,7,-0.890625,0.34375,0.65625,3242.8515625,73bb56c5d07e859a1b6deff9852056886a847f95b611cb6bc01f10e4000e8c1e
sc32,5,2026-09-21T07:49:19.568979+00:00,val-gsm8k,256,192,0.75,193,0.75390625,0.94921875,0.05078125,1134.74609375,4083423960844b0cf33b1de9a413e412db755c4a4446696ba9c548b67a1ab6ea
sc32,5,2026-09-21T07:49:19.568979+00:00,val-math500,500,215,0.43,218,-0.128,0.688,0.312,2368.582,d9ea04a7ab0747d31b186881c5cb10a597932a160241e94e6b8c12f5f26b2216
sc32,5,2026-09-21T07:49:19.568979+00:00,val-omni,75,1,0.013333333333333334,1,-0.9733333333333334,0.04,0.96,4039.0,e9b45093e28a81044442d9a637eb012f01439bb3acf969a80ae18521da6d92cd
sc32,5,2026-09-21T07:49:19.568979+00:00,val-rg-sum,128,123,0.9609375,127,0.9205150274674102,0.96875,0.03125,1101.7421875,9ccd45d839053870c67aa48c06a78f564ab2d5be0e1f13c0ec53f60df1684179
sc32,5,2026-09-21T07:49:19.568979+00:00,val-theoremqa,112,18,0.16071428571428573,18,-0.6785714285714286,0.45535714285714285,0.5446428571428571,3185.625,c844a9c04a510ee8c99a038206f095cf5ffb8ef912a28a3a2511fb87fd1ec4b9
