run,step,eval_dump_written_utc,dataset,questions,completed_correct,completed_correct_rate,correct_any_stop,raw_reward_mean,completed_fraction,length_stop_fraction,response_tokens_mean,membership_sha256
tis,0,2026-09-21T05:46:59.354055+00:00,all,1199,402,0.33527939949958296,409,-0.24903497614071934,0.6438698915763136,0.3561301084236864,2393.3427856547123,1a2e720553aeb0d0a11854355d0d7be84709e2b617c85d03e40d65253b61474b
tis,0,2026-09-21T05:46:59.354055+00:00,core-math,756,266,0.35185185185185186,269,-0.13095238095238096,0.7407407407407407,0.25925925925925924,2099.6428571428573,a301f15236d3d79a1e0ba2037a45f04221ab9c74048b2f38ba6088f29a6c298a
tis,0,2026-09-21T05:46:59.354055+00:00,val-amc,128,4,0.03125,4,-0.9375,0.3515625,0.6484375,3385.8359375,73bb56c5d07e859a1b6deff9852056886a847f95b611cb6bc01f10e4000e8c1e
tis,0,2026-09-21T05:46:59.354055+00:00,val-gsm8k,256,134,0.5234375,137,0.53515625,0.921875,0.078125,1312.9140625,4083423960844b0cf33b1de9a413e412db755c4a4446696ba9c548b67a1ab6ea
tis,0,2026-09-21T05:46:59.354055+00:00,val-math500,500,132,0.264,132,-0.472,0.648,0.352,2502.448,d9ea04a7ab0747d31b186881c5cb10a597932a160241e94e6b8c12f5f26b2216
tis,0,2026-09-21T05:46:59.354055+00:00,val-omni,75,0,0.0,0,-1.0,0.013333333333333334,0.9866666666666667,4093.72,e9b45093e28a81044442d9a637eb012f01439bb3acf969a80ae18521da6d92cd
tis,0,2026-09-21T05:46:59.354055+00:00,val-rg-sum,128,119,0.9296875,123,0.6359926844318554,0.953125,0.046875,1342.9921875,9ccd45d839053870c67aa48c06a78f564ab2d5be0e1f13c0ec53f60df1684179
tis,0,2026-09-21T05:46:59.354055+00:00,val-theoremqa,112,13,0.11607142857142858,13,-0.7678571428571429,0.39285714285714285,0.6071428571428571,3303.2946428571427,c844a9c04a510ee8c99a038206f095cf5ffb8ef912a28a3a2511fb87fd1ec4b9
tis,5,2026-09-21T06:34:41.338718+00:00,all,1199,560,0.4670558798999166,567,-0.0036723596945220783,0.6797331109257715,0.3202668890742285,2195.3077564637197,1a2e720553aeb0d0a11854355d0d7be84709e2b617c85d03e40d65253b61474b
tis,5,2026-09-21T06:34:41.338718+00:00,core-math,756,411,0.5436507936507936,416,0.18915343915343916,0.7711640211640212,0.22883597883597884,1914.1256613756614,a301f15236d3d79a1e0ba2037a45f04221ab9c74048b2f38ba6088f29a6c298a
tis,5,2026-09-21T06:34:41.338718+00:00,val-amc,128,7,0.0546875,7,-0.890625,0.3984375,0.6015625,3190.5234375,73bb56c5d07e859a1b6deff9852056886a847f95b611cb6bc01f10e4000e8c1e
tis,5,2026-09-21T06:34:41.338718+00:00,val-gsm8k,256,186,0.7265625,189,0.73828125,0.95703125,0.04296875,1186.05859375,4083423960844b0cf33b1de9a413e412db755c4a4446696ba9c548b67a1ab6ea
tis,5,2026-09-21T06:34:41.338718+00:00,val-math500,500,225,0.45,227,-0.092,0.676,0.324,2286.896,d9ea04a7ab0747d31b186881c5cb10a597932a160241e94e6b8c12f5f26b2216
tis,5,2026-09-21T06:34:41.338718+00:00,val-omni,75,0,0.0,0,-1.0,0.02666666666666667,0.9733333333333334,4082.653333333333,e9b45093e28a81044442d9a637eb012f01439bb3acf969a80ae18521da6d92cd
tis,5,2026-09-21T06:34:41.338718+00:00,val-rg-sum,128,122,0.953125,124,0.887475318173969,0.9765625,0.0234375,1025.421875,9ccd45d839053870c67aa48c06a78f564ab2d5be0e1f13c0ec53f60df1684179
tis,5,2026-09-21T06:34:41.338718+00:00,val-theoremqa,112,20,0.17857142857142858,20,-0.6428571428571429,0.48214285714285715,0.5178571428571429,3029.0625,c844a9c04a510ee8c99a038206f095cf5ffb8ef912a28a3a2511fb87fd1ec4b9
sc32,0,2026-09-21T05:47:03.924120+00:00,all,1199,380,0.31693077564637195,393,-0.28021763625337204,0.6447039199332777,0.35529608006672225,2418.743953294412,1a2e720553aeb0d0a11854355d0d7be84709e2b617c85d03e40d65253b61474b
sc32,0,2026-09-21T05:47:03.924120+00:00,core-math,756,253,0.33465608465608465,262,-0.15211640211640212,0.746031746031746,0.25396825396825395,2118.531746031746,a301f15236d3d79a1e0ba2037a45f04221ab9c74048b2f38ba6088f29a6c298a
sc32,0,2026-09-21T05:47:03.924120+00:00,val-amc,128,0,0.0,0,-1.0,0.3359375,0.6640625,3409.6796875,73bb56c5d07e859a1b6deff9852056886a847f95b611cb6bc01f10e4000e8c1e
sc32,0,2026-09-21T05:47:03.924120+00:00,val-gsm8k,256,131,0.51171875,139,0.54296875,0.91015625,0.08984375,1396.84765625,4083423960844b0cf33b1de9a413e412db755c4a4446696ba9c548b67a1ab6ea
sc32,0,2026-09-21T05:47:03.924120+00:00,val-math500,500,122,0.244,123,-0.508,0.662,0.338,2488.034,d9ea04a7ab0747d31b186881c5cb10a597932a160241e94e6b8c12f5f26b2216
sc32,0,2026-09-21T05:47:03.924120+00:00,val-omni,75,0,0.0,0,-1.0,0.013333333333333334,0.9866666666666667,4094.36,e9b45093e28a81044442d9a637eb012f01439bb3acf969a80ae18521da6d92cd
sc32,0,2026-09-21T05:47:03.924120+00:00,val-rg-sum,128,121,0.9453125,125,0.6407738604078665,0.96875,0.03125,1365.3984375,9ccd45d839053870c67aa48c06a78f564ab2d5be0e1f13c0ec53f60df1684179
sc32,0,2026-09-21T05:47:03.924120+00:00,val-theoremqa,112,6,0.05357142857142857,6,-0.8928571428571429,0.36607142857142855,0.6339285714285714,3394.4375,c844a9c04a510ee8c99a038206f095cf5ffb8ef912a28a3a2511fb87fd1ec4b9
sc32,5,2026-09-21T06:34:45.934784+00:00,all,1199,529,0.44120100083402836,538,-0.047016170734665824,0.646371976647206,0.353628023352794,2277.6380316930777,1a2e720553aeb0d0a11854355d0d7be84709e2b617c85d03e40d65253b61474b
sc32,5,2026-09-21T06:34:45.934784+00:00,core-math,756,380,0.5026455026455027,384,0.11904761904761904,0.7473544973544973,0.2526455026455027,1968.4298941798943,a301f15236d3d79a1e0ba2037a45f04221ab9c74048b2f38ba6088f29a6c298a
sc32,5,2026-09-21T06:34:45.934784+00:00,val-amc,128,7,0.0546875,7,-0.890625,0.359375,0.640625,3210.78125,73bb56c5d07e859a1b6deff9852056886a847f95b611cb6bc01f10e4000e8c1e
sc32,5,2026-09-21T06:34:45.934784+00:00,val-gsm8k,256,176,0.6875,178,0.6953125,0.91796875,0.08203125,1179.65625,4083423960844b0cf33b1de9a413e412db755c4a4446696ba9c548b67a1ab6ea
sc32,5,2026-09-21T06:34:45.934784+00:00,val-math500,500,204,0.408,206,-0.176,0.66,0.34,2372.282,d9ea04a7ab0747d31b186881c5cb10a597932a160241e94e6b8c12f5f26b2216
sc32,5,2026-09-21T06:34:45.934784+00:00,val-omni,75,0,0.0,1,-0.9733333333333334,0.0,1.0,4096.0,e9b45093e28a81044442d9a637eb012f01439bb3acf969a80ae18521da6d92cd
sc32,5,2026-09-21T06:34:45.934784+00:00,val-rg-sum,128,123,0.9609375,127,0.8955282131963724,0.96875,0.03125,1208.6171875,9ccd45d839053870c67aa48c06a78f564ab2d5be0e1f13c0ec53f60df1684179
sc32,5,2026-09-21T06:34:45.934784+00:00,val-theoremqa,112,19,0.16964285714285715,19,-0.6607142857142857,0.35714285714285715,0.6428571428571429,3302.4285714285716,c844a9c04a510ee8c99a038206f095cf5ffb8ef912a28a3a2511fb87fd1ec4b9
