step,epoch,run_a,run_b,consumed_a,consumed_b,intersection,union,jaccard
40,0,r24,r25,1280,1280,1280,1280,1.0
40,0,r24,r27,1280,1280,161,2399,0.06711129637348895
40,0,r24,r28,1280,1280,161,2399,0.06711129637348895
40,0,r24,r29,1280,1280,1280,1280,1.0
40,0,r25,r27,1280,1280,161,2399,0.06711129637348895
40,0,r25,r28,1280,1280,161,2399,0.06711129637348895
40,0,r25,r29,1280,1280,1280,1280,1.0
40,0,r27,r28,1280,1280,1280,1280,1.0
40,0,r27,r29,1280,1280,161,2399,0.06711129637348895
40,0,r28,r29,1280,1280,161,2399,0.06711129637348895
