step,epoch,run_a,run_b,consumed_a,consumed_b,intersection,union,jaccard
40,0,r24,r25,1280,1280,1280,1280,1.0
40,0,r24,r32,1280,1280,1280,1280,1.0
40,0,r24,r33,1280,1280,1280,1280,1.0
40,0,r24,r34,1280,1280,1280,1280,1.0
40,0,r24,r35,1280,1280,1280,1280,1.0
40,0,r24,r36,1280,1280,1280,1280,1.0
40,0,r24,r37,1280,1280,1280,1280,1.0
40,0,r25,r32,1280,1280,1280,1280,1.0
40,0,r25,r33,1280,1280,1280,1280,1.0
40,0,r25,r34,1280,1280,1280,1280,1.0
40,0,r25,r35,1280,1280,1280,1280,1.0
40,0,r25,r36,1280,1280,1280,1280,1.0
40,0,r25,r37,1280,1280,1280,1280,1.0
40,0,r32,r33,1280,1280,1280,1280,1.0
40,0,r32,r34,1280,1280,1280,1280,1.0
40,0,r32,r35,1280,1280,1280,1280,1.0
40,0,r32,r36,1280,1280,1280,1280,1.0
40,0,r32,r37,1280,1280,1280,1280,1.0
40,0,r33,r34,1280,1280,1280,1280,1.0
40,0,r33,r35,1280,1280,1280,1280,1.0
40,0,r33,r36,1280,1280,1280,1280,1.0
40,0,r33,r37,1280,1280,1280,1280,1.0
40,0,r34,r35,1280,1280,1280,1280,1.0
40,0,r34,r36,1280,1280,1280,1280,1.0
40,0,r34,r37,1280,1280,1280,1280,1.0
40,0,r35,r36,1280,1280,1280,1280,1.0
40,0,r35,r37,1280,1280,1280,1280,1.0
40,0,r36,r37,1280,1280,1280,1280,1.0
