run,scheduled_gsm8k,scheduled_math500,scheduled_all,final_gsm8k,final_math500,final_all,final_minus_scheduled
r19,153,103,256,155,95,250,-6
r20,162,103,265,160,107,267,2
r21,158,131,289,155,107,262,-27
r22,154,124,278,153,140,293,15
r23,141,140,281,147,154,301,20
r24,156,119,275,135,113,248,-27
r25,170,143,313,152,131,283,-30
r27,142,91,233,140,105,245,12
r28,161,115,276,163,126,289,13
r29,156,134,290,164,115,279,-11
r30,152,131,283,156,148,304,21
r31,166,146,312,159,134,293,-19
r32,146,129,275,152,132,284,9
r33,172,127,299,173,127,300,1
r34,148,130,278,149,143,292,14
r35,172,120,292,168,111,279,-13
r36,148,85,233,157,74,231,-2
r37,159,85,244,172,92,264,20
