backend,cycle,elapsed_seconds,emission_span_seconds,phase,memory_used_mib_mean,memory_used_mib_max,gpu_utilization_percent_mean,gpu_utilization_percent_max,power_watts_mean,power_watts_max,temperature_c_max
levanter-gpu,0,0.1649795,0.00016099999999999448,imports,0.0,0.0,0.0,0.0,70.79750000000001,72.45,24.0
levanter-gpu,1,2.3219045,0.00016700000000025028,imports,0.0,0.0,0.0,0.0,70.79124999999999,72.42,24.0
levanter-gpu,2,4.524644,0.00028699999999926007,imports,0.0,0.0,0.0,0.0,70.79125,72.47,24.0
levanter-gpu,3,6.7493565,0.0004220000000003665,imports,0.0,0.0,0.0,0.0,70.78999999999999,72.39,24.0
levanter-gpu,4,9.1208375,0.0003379999999992833,imports,0.0,0.0,0.0,0.0,70.78625,72.41,24.0
levanter-gpu,5,13.6831625,0.00044300000000063733,imports,4.0,4.0,0.0,0.0,70.8125,72.42,24.0
levanter-gpu,6,15.839448,0.0002519999999996969,fixture,4.0,4.0,0.0,0.0,70.8125,72.45,24.0
levanter-gpu,7,18.004794500000003,0.00037499999999823785,model_config,531.0,531.0,0.25,1.0,111.57,116.81,25.0
levanter-gpu,8,20.837487,0.00033899999999675856,model_load,543.5,561.0,0.0,0.0,117.775,120.31,26.0
levanter-gpu,9,22.9566905,0.0006960000000013622,model_load,543.5,561.0,0.0,0.0,117.9025,120.4,26.0
levanter-gpu,10,25.0771095,0.00029300000000276327,model_load,15746.5,61353.0,0.0,0.0,117.96875,120.49,26.0
levanter-gpu,11,27.1973755,0.0002420000000000755,model_load,46154.5,61355.0,0.0,0.0,117.89750000000001,120.39,26.0
levanter-gpu,12,29.3175035,0.0002439999999985787,model_load,61359.5,61377.0,0.5,4.0,117.9675,120.38,26.0
levanter-gpu,13,31.4388655,0.0003929999999989775,model_load,61361.5,61379.0,0.0,0.0,118.035,120.48,26.0
levanter-gpu,14,33.558615,0.00024499999999960664,model_load,61361.5,61379.0,0.0,0.0,118.07,120.5,26.0
levanter-gpu,15,35.680399,0.0004100000000022419,model_load,61361.5,61379.0,0.0,0.0,118.0875,120.51,26.0
levanter-gpu,16,37.7993955,0.00035199999999946385,model_load,61363.5,61381.0,0.0,0.0,118.1325,120.54,26.0
levanter-gpu,17,39.9547905,0.0002709999999979118,model_load,61363.5,61381.0,7.25,10.0,118.18,120.6,26.0
levanter-gpu,18,42.074754,0.00029500000000126647,model_load,61363.5,61381.0,0.0,0.0,118.15249999999999,120.61,26.0
levanter-gpu,19,44.200891,0.00028499999999809233,model_load,61363.5,61381.0,0.0,0.0,118.18875,120.67,26.0
levanter-gpu,20,46.323338,0.0002020000000015898,model_load,61363.5,61381.0,0.0,0.0,118.19375,120.62,27.0
levanter-gpu,21,48.442335,0.00026199999999931833,model_load,61363.5,61381.0,0.0,0.0,118.22375,120.64,27.0
levanter-gpu,22,50.5631075,0.00026600000000343016,model_load,61363.5,61381.0,0.0,0.0,118.25,120.65,27.0
levanter-gpu,23,52.6848365,0.00022799999999989495,model_load,61363.5,61381.0,1.75,9.0,118.29874999999998,120.7,27.0
levanter-gpu,24,54.891488,0.0004860000000022069,model_load,61363.5,61381.0,0.0,0.0,118.26875000000001,120.67,27.0
levanter-gpu,25,57.0279615,0.00027599999999949887,model_load,61363.5,61381.0,0.0,0.0,118.295,120.68,27.0
levanter-gpu,26,59.148089999999996,0.00024100000000260025,model_load,61363.5,61381.0,0.0,0.0,118.315,120.7,27.0
levanter-gpu,27,61.2717095,0.00026600000000343016,model_load,61363.5,61381.0,1.5,8.0,118.31625,120.69,27.0
levanter-gpu,28,63.389443,0.0002329999999943766,model_load,61363.5,61381.0,0.0,0.0,118.30624999999999,120.65,27.0
levanter-gpu,29,65.50955,0.00026400000000137425,model_load,61363.5,61381.0,0.0,0.0,118.31875,120.67,27.0
levanter-gpu,30,67.686148,0.0003509999999948832,model_load,61363.5,61381.0,1.5,10.0,118.345,120.71,27.0
levanter-gpu,31,69.9918205,0.00021300000000223918,model_load,61363.5,61381.0,0.0,0.0,118.36250000000001,120.73,27.0
levanter-gpu,32,72.1125995,0.00023300000000858745,model_load,61363.5,61381.0,0.0,0.0,118.3425,120.68,27.0
levanter-gpu,33,74.2375555,0.00024100000000260025,model_load,61363.5,61381.0,0.0,0.0,118.35375,120.72,27.0
levanter-gpu,34,76.356949,0.00019599999998831663,model_load,61363.5,61381.0,0.0,0.0,118.36,120.7,27.0
levanter-gpu,35,78.476034,0.0002479999999991378,model_load,61363.5,61381.0,0.0,0.0,118.37375,120.72,27.0
levanter-gpu,36,80.597061,0.0003810000000044056,model_load,61363.5,61381.0,0.0,0.0,118.3725,120.71,27.0
levanter-gpu,37,82.779826,0.00022099999999625197,model_load,61363.5,61381.0,0.0,0.0,118.42125,120.74,27.0
levanter-gpu,38,85.005433,0.0002099999999956026,model_load,61363.5,61381.0,0.0,0.0,118.3925,120.73,27.0
levanter-gpu,39,87.125721,0.0002420000000000755,model_load,61363.5,61381.0,0.0,0.0,118.39625000000001,120.69,27.0
levanter-gpu,40,89.2439945,0.00018200000000945238,model_load,61363.5,61381.0,0.0,0.0,118.4225,120.71,27.0
levanter-gpu,41,91.3649345,0.0003700000000037562,model_load,61363.5,61381.0,4.875,10.0,118.47625,120.77,27.0
levanter-gpu,42,93.485788,0.0003180000000071459,model_load,61363.5,61381.0,0.0,0.0,118.45125,120.76,27.0
levanter-gpu,43,95.6060965,0.00022299999999120246,model_load,61363.5,61381.0,0.0,0.0,118.47999999999999,120.8,27.0
levanter-gpu,44,97.7300005,0.0003150000000005093,model_load,61363.5,61381.0,0.0,0.0,118.43,120.77,27.0
levanter-gpu,45,99.911298,0.0002539999999982001,model_load,61363.5,61381.0,0.0,0.0,118.45500000000001,120.76,27.0
levanter-gpu,46,102.029076,0.0002479999999991378,model_load,61363.5,61381.0,0.0,0.0,118.42750000000001,120.73,27.0
levanter-gpu,47,104.1541155,0.0004710000000045511,model_load,61363.5,61381.0,0.0,0.0,118.42999999999999,120.76,27.0
levanter-gpu,48,106.273655,0.0002389999999934389,model_load,61363.5,61381.0,0.0,0.0,118.50125,120.79,27.0
levanter-gpu,49,108.3927465,0.0003760000000028185,model_load,61363.5,61381.0,0.0,0.0,118.45125,120.78,27.0
levanter-gpu,50,110.51362950000001,0.00024399999999502597,model_load,61363.5,61381.0,0.0,0.0,118.4675,120.82,27.0
levanter-gpu,51,112.6348535,0.00030699999999228567,model_load,61363.5,61381.0,0.0,0.0,118.42875000000001,120.78,27.0
levanter-gpu,52,114.754302,0.00026099999999473766,model_load,61363.5,61381.0,0.0,0.0,118.4625,120.78,27.0
