backend,elapsed_seconds,event,gpu_index,gpu_utilization_percent,memory_total_mib,memory_used_mib,memory_utilization_percent,phase,power_watts,sm_clock_mhz,temperature_c,duration_seconds,batch_count,case_count,device_count,tensor_parallel_size,batch_index,batch_seconds,bucket_max_tokens,case_ids,inference_seconds,padded_tokens,padding_seconds,prompt_tokens,real_tokens,batch_row,case_id,golden_probability_gap_to_greedy,greedy_token_id,max_probability_error,rank,top_probability_l1_error,total_seconds,attention_backend,vllm_batch_invariant,vllm_use_flashinfer_sampler,wave_count,request_id,request_kind,request_seconds,response_bytes,wave,wave_seconds
levanter-gpu,0.164863,gpu_sample,0.0,0.0,81559.0,0.0,0.0,imports,69.73,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,0.164934,gpu_sample,1.0,0.0,81559.0,0.0,0.0,imports,71.61,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,0.164954,gpu_sample,2.0,0.0,81559.0,0.0,0.0,imports,70.4,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,0.16497,gpu_sample,3.0,0.0,81559.0,0.0,0.0,imports,70.45,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,0.164989,gpu_sample,4.0,0.0,81559.0,0.0,0.0,imports,72.45,345.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,0.165001,gpu_sample,5.0,0.0,81559.0,0.0,0.0,imports,69.33,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,0.165012,gpu_sample,6.0,0.0,81559.0,0.0,0.0,imports,71.36,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,0.165024,gpu_sample,7.0,0.0,81559.0,0.0,0.0,imports,71.05,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,2.321782,gpu_sample,0.0,0.0,81559.0,0.0,0.0,imports,69.76,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,2.321861,gpu_sample,1.0,0.0,81559.0,0.0,0.0,imports,71.57,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,2.321879,gpu_sample,2.0,0.0,81559.0,0.0,0.0,imports,70.38,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,2.321897,gpu_sample,3.0,0.0,81559.0,0.0,0.0,imports,70.45,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,2.321912,gpu_sample,4.0,0.0,81559.0,0.0,0.0,imports,72.42,345.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,2.321926,gpu_sample,5.0,0.0,81559.0,0.0,0.0,imports,69.32,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,2.321938,gpu_sample,6.0,0.0,81559.0,0.0,0.0,imports,71.38,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,2.321949,gpu_sample,7.0,0.0,81559.0,0.0,0.0,imports,71.05,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,4.524396,gpu_sample,0.0,0.0,81559.0,0.0,0.0,imports,69.74,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,4.524604,gpu_sample,1.0,0.0,81559.0,0.0,0.0,imports,71.54,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,4.524625,gpu_sample,2.0,0.0,81559.0,0.0,0.0,imports,70.37,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,4.524638,gpu_sample,3.0,0.0,81559.0,0.0,0.0,imports,70.46,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,4.52465,gpu_sample,4.0,0.0,81559.0,0.0,0.0,imports,72.47,345.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,4.524661,gpu_sample,5.0,0.0,81559.0,0.0,0.0,imports,69.32,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,4.524672,gpu_sample,6.0,0.0,81559.0,0.0,0.0,imports,71.36,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,4.524683,gpu_sample,7.0,0.0,81559.0,0.0,0.0,imports,71.07,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,6.749028,gpu_sample,0.0,0.0,81559.0,0.0,0.0,imports,69.72,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,6.749268,gpu_sample,1.0,0.0,81559.0,0.0,0.0,imports,71.6,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,6.74931,gpu_sample,2.0,0.0,81559.0,0.0,0.0,imports,70.39,345.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,6.749342,gpu_sample,3.0,0.0,81559.0,0.0,0.0,imports,70.42,345.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
