backend,elapsed_seconds,event,gpu_index,gpu_utilization_percent,memory_total_mib,memory_used_mib,memory_utilization_percent,phase,power_watts,sm_clock_mhz,temperature_c,duration_seconds,batch_count,case_count,device_count,tensor_parallel_size,batch_index,batch_seconds,bucket_max_tokens,case_ids,inference_seconds,padded_tokens,padding_seconds,prompt_tokens,real_tokens,batch_row,case_id,golden_probability_gap_to_greedy,greedy_token_id,max_probability_error,rank,top_probability_l1_error,total_seconds,attention_backend,vllm_batch_invariant,vllm_use_flashinfer_sampler,wave_count,request_id,request_kind,request_seconds,response_bytes,wave,wave_seconds
levanter-gpu,485.990311,parity,,,,,,,,,,,,,,,0.0,,256.0,,,,,118,,0.0,code-humaneval-01,0.0,1432.0,0.01362150107189708,0.0,0.03893151246022524,,,,,,,representative,,,,
levanter-gpu,485.990366,parity,,,,,,,,,,,,,,,0.0,,256.0,,,,,120,,1.0,code-humaneval-02,0.0,1432.0,0.006134372034528712,1.0,0.012025295385089474,,,,,,,representative,,,,
levanter-gpu,485.990397,parity,,,,,,,,,,,,,,,0.0,,256.0,,,,,116,,2.0,code-humaneval-03,0.0,220.0,0.007688169190039784,2.0,0.020295529426674595,,,,,,,representative,,,,
levanter-gpu,485.990422,parity,,,,,,,,,,,,,,,0.0,,256.0,,,,,104,,3.0,code-humaneval-04,0.0,1432.0,0.028786742320298597,3.0,0.08661010331663901,,,,,,,representative,,,,
levanter-gpu,485.990447,parity,,,,,,,,,,,,,,,0.0,,256.0,,,,,205,,4.0,code-humaneval-05,0.0,1432.0,0.00931826269046776,4.0,0.018054480875732398,,,,,,,representative,,,,
levanter-gpu,485.990471,parity,,,,,,,,,,,,,,,0.0,,256.0,,,,,132,,5.0,code-humaneval-06,0.0,1432.0,0.013620424952074009,5.0,0.04913415340529893,,,,,,,representative,,,,
levanter-gpu,485.990497,parity,,,,,,,,,,,,,,,0.0,,256.0,,,,,75,,6.0,instruction-ifeval-01,0.004494857591822235,578.0,0.008693008761238574,6.0,0.033133001806932794,,,,,,,representative,,,,
levanter-gpu,485.990523,parity,,,,,,,,,,,,,,,0.0,,256.0,,,,,31,,7.0,instruction-ifeval-02,0.0,578.0,0.006492737548162347,7.0,0.03614874310159685,,,,,,,representative,,,,
levanter-gpu,485.990547,parity,,,,,,,,,,,,,,,1.0,,256.0,,,,,28,,0.0,instruction-ifeval-03,0.0,220.0,0.0019916699513264687,0.0,0.01596530920162647,,,,,,,representative,,,,
levanter-gpu,485.990571,parity,,,,,,,,,,,,,,,1.0,,256.0,,,,,59,,1.0,instruction-ifeval-04,0.0,3234.0,0.005348877979912445,1.0,0.02288255793211654,,,,,,,representative,,,,
levanter-gpu,485.990594,parity,,,,,,,,,,,,,,,1.0,,256.0,,,,,31,,2.0,instruction-ifeval-05,0.0,220.0,0.0027846921689091975,2.0,0.011860544642530169,,,,,,,representative,,,,
levanter-gpu,485.990617,parity,,,,,,,,,,,,,,,1.0,,256.0,,,,,54,,3.0,instruction-ifeval-06,0.003158679537973011,3234.0,0.005732857037365827,3.0,0.04265712316826623,,,,,,,representative,,,,
levanter-gpu,485.990642,parity,,,,,,,,,,,,,,,1.0,,256.0,,,,,52,,4.0,knowledge-mmlu-01,0.0,362.0,0.013907221182164822,4.0,0.035153852837938454,,,,,,,representative,,,,
levanter-gpu,485.990667,parity,,,,,,,,,,,,,,,1.0,,256.0,,,,,57,,5.0,knowledge-mmlu-02,0.0,423.0,0.001015145298034148,5.0,0.0020434068916084444,,,,,,,representative,,,,
levanter-gpu,485.990691,parity,,,,,,,,,,,,,,,1.0,,256.0,,,,,126,,6.0,knowledge-mmlu-03,0.0,426.0,0.013613375356016588,6.0,0.027457266333842913,,,,,,,representative,,,,
levanter-gpu,485.990714,parity,,,,,,,,,,,,,,,1.0,,256.0,,,,,75,,7.0,knowledge-mmlu-04,0.0,356.0,0.0015496319240710932,7.0,0.004250730648163639,,,,,,,representative,,,,
levanter-gpu,485.990738,parity,,,,,,,,,,,,,,,2.0,,1024.0,,,,,383,,0.0,knowledge-mmlu-05,0.0,423.0,0.002435156463565895,0.0,0.006226566346317657,,,,,,,representative,,,,
levanter-gpu,485.990772,parity,,,,,,,,,,,,,,,2.0,,1024.0,,,,,444,,1.0,knowledge-mmlu-06,0.0,356.0,0.0005538345226810959,1.0,0.0011990194642549766,,,,,,,representative,,,,
levanter-gpu,485.990805,parity,,,,,,,,,,,,,,,2.0,,1024.0,,,,,382,,2.0,math-gsm8k-01,0.0,54765.0,0.023375577389640134,2.0,0.050847919079994516,,,,,,,representative,,,,
levanter-gpu,485.990837,parity,,,,,,,,,,,,,,,2.0,,1024.0,,,,,345,,3.0,math-gsm8k-02,0.0,578.0,0.010653225289926557,3.0,0.03329023979489091,,,,,,,representative,,,,
levanter-gpu,485.990868,parity,,,,,,,,,,,,,,,2.0,,1024.0,,,,,304,,4.0,structured-structeval-01,0.0128899283709564,578.0,0.010512405546924147,4.0,0.05056054959532486,,,,,,,representative,,,,
levanter-gpu,485.990898,parity,,,,,,,,,,,,,,,2.0,,1024.0,,,,,257,,5.0,structured-structeval-02,0.0,220.0,0.01337297195908646,5.0,0.042807066709288216,,,,,,,representative,,,,
levanter-gpu,485.990921,parity,,,,,,,,,,,,,,,2.0,,1024.0,,,,,260,,6.0,structured-structeval-03,0.0,578.0,0.01217864541628319,6.0,0.038748144829313325,,,,,,,representative,,,,
levanter-gpu,485.990947,parity,,,,,,,,,,,,,,,2.0,,1024.0,,,,,283,,7.0,structured-structeval-04,0.0,30379.0,0.018841259275744093,7.0,0.036702739447035664,,,,,,,representative,,,,
levanter-gpu,485.99097,parity,,,,,,,,,,,,,,,3.0,,1024.0,,,,,267,,0.0,structured-structeval-05,0.0,220.0,0.03261510425515454,0.0,0.0631250404648057,,,,,,,representative,,,,
levanter-gpu,485.990992,parity,,,,,,,,,,,,,,,3.0,,1024.0,,,,,264,,1.0,structured-structeval-06,0.05493712724141256,220.0,0.0535157037995104,1.0,0.0969941348685364,,,,,,,representative,,,,
levanter-gpu,485.991018,parity,,,,,,,,,,,,,,,3.0,,1024.0,,,,,258,,2.0,tool-atlas-01,0.0,5324.0,0.02295610434089916,2.0,0.08823348597360452,,,,,,,representative,,,,
levanter-gpu,485.991044,parity,,,,,,,,,,,,,,,3.0,,1024.0,,,,,276,,3.0,tool-atlas-02,0.0,5324.0,0.010704226314431728,3.0,0.028163177828641393,,,,,,,representative,,,,
levanter-gpu,485.991066,parity,,,,,,,,,,,,,,,3.0,,1024.0,,,,,304,,4.0,tool-atlas-03,0.0,5324.0,0.04051648794193351,4.0,0.07624064219085379,,,,,,,representative,,,,
levanter-gpu,485.991089,parity,,,,,,,,,,,,,,,3.0,,1024.0,,,,,287,,5.0,tool-atlas-04,0.0,5324.0,0.037513537845980216,5.0,0.080721178327828,,,,,,,representative,,,,
levanter-gpu,485.991111,parity,,,,,,,,,,,,,,,3.0,,1024.0,,,,,274,,6.0,tool-atlas-05,0.0,5324.0,0.010363142970579414,6.0,0.04097129452488081,,,,,,,representative,,,,
levanter-gpu,485.991133,parity,,,,,,,,,,,,,,,3.0,,1024.0,,,,,275,,7.0,tool-atlas-06,0.0,5324.0,0.018847985851787652,7.0,0.06951312383529261,,,,,,,representative,,,,
levanter-gpu,485.991156,parity,,,,,,,,,,,,,,,4.0,,4096.0,,,,,2186,,0.0,math-gsm8k-03,0.0,578.0,0.005314041168127892,0.0,0.018673840761129754,,,,,,,representative,,,,
levanter-gpu,485.991179,parity,,,,,,,,,,,,,,,4.0,,4096.0,,,,,2215,,1.0,math-gsm8k-04,0.0,1283.0,0.006745369555439085,1.0,0.02139471179935153,,,,,,,representative,,,,
levanter-gpu,485.991204,parity,,,,,,,,,,,,,,,4.0,,4096.0,,,,,2772,,2.0,math-gsm8k-05,0.0,468.0,0.0053006105974623685,2.0,0.024435788715640387,,,,,,,representative,,,,
levanter-gpu,485.991227,parity,,,,,,,,,,,,,,,4.0,,4096.0,,,,,2708,,3.0,math-gsm8k-06,0.0,578.0,0.01828473571053041,3.0,0.056432597925095876,,,,,,,representative,,,,
levanter-gpu,485.991249,parity,,,,,,,,,,,,,,,4.0,,4096.0,,,,,1042,,4.0,specialized-mmmlu-01,0.0,426.0,0.002518483813652765,4.0,0.007783773043336618,,,,,,,representative,,,,
levanter-gpu,485.99127,parity,,,,,,,,,,,,,,,4.0,,4096.0,,,,,1763,,5.0,specialized-mmmlu-02,0.0,423.0,0.0016625902454338037,5.0,0.0033879792423784937,,,,,,,representative,,,,
levanter-gpu,485.991293,parity,,,,,,,,,,,,,,,4.0,,4096.0,,,,,1080,,6.0,specialized-mmmlu-03,0.0,426.0,0.005870120377519661,6.0,0.011764664865279302,,,,,,,representative,,,,
levanter-gpu,485.991316,parity,,,,,,,,,,,,,,,4.0,,4096.0,,,,,1040,,7.0,specialized-mmmlu-04,0.0,356.0,0.00826105686453471,7.0,0.016512757019684837,,,,,,,representative,,,,
levanter-gpu,485.991339,parity,,,,,,,,,,,,,,,5.0,,4096.0,,,,,3212,,0.0,specialized-mmmlu-05,0.0,426.0,0.010321014260720796,0.0,0.020641263868449923,,,,,,,representative,,,,
levanter-gpu,485.991363,parity,,,,,,,,,,,,,,,5.0,,4096.0,,,,,1025,,1.0,specialized-mmmlu-06,0.0,356.0,0.008958498067602405,1.0,0.01862949912459549,,,,,,,representative,,,,
levanter-gpu,485.991384,parity,,,,,,,,,,,,,,,5.0,,4096.0,,,,,1130,,2.0,structured-structeval-07,0.0,2612.0,0.009908418061415736,2.0,0.018838404209854012,,,,,,,representative,,,,
levanter-gpu,485.991406,parity,,,,,,,,,,,,,,,5.0,,4096.0,,,,,1161,,3.0,structured-structeval-08,0.0,2612.0,0.029130364980104184,3.0,0.06971645819788644,,,,,,,representative,,,,
levanter-gpu,485.991429,parity,,,,,,,,,,,,,,,5.0,,4096.0,,,,,1030,,4.0,structured-structeval-09,0.0,2612.0,0.06827317837764091,4.0,0.1310618055823326,,,,,,,representative,,,,
levanter-gpu,485.991452,parity,,,,,,,,,,,,,,,5.0,,4096.0,,,,,1093,,5.0,structured-structeval-10,0.0,2612.0,0.04342318111582433,5.0,0.08472471649016262,,,,,,,representative,,,,
levanter-gpu,485.991474,parity,,,,,,,,,,,,,,,5.0,,4096.0,,,,,1189,,6.0,tool-atlas-07,0.0,5324.0,0.04383147940600385,6.0,0.10284573618565804,,,,,,,representative,,,,
levanter-gpu,485.991496,parity,,,,,,,,,,,,,,,5.0,,4096.0,,,,,1186,,7.0,tool-atlas-08,0.0,5324.0,0.04290854346373868,7.0,0.12444554932563849,,,,,,,representative,,,,
levanter-gpu,485.991522,parity,,,,,,,,,,,,,,,6.0,,16384.0,,,,,14734,,0.0,knowledge-longbench-01,0.0,356.0,0.02105230111769421,0.0,0.05299616449043527,,,,,,,representative,,,,
levanter-gpu,485.991546,parity,,,,,,,,,,,,,,,6.0,,16384.0,,,,,15025,,1.0,knowledge-longbench-02,0.0,423.0,0.055331874450333496,1.0,0.11711693046138337,,,,,,,representative,,,,
levanter-gpu,485.991568,parity,,,,,,,,,,,,,,,6.0,,16384.0,,,,,11291,,2.0,long-longbench-01,0.0,356.0,0.014633461090403588,2.0,0.046040815249147805,,,,,,,representative,,,,
levanter-gpu,485.99159,parity,,,,,,,,,,,,,,,6.0,,16384.0,,,,,15215,,3.0,long-longbench-02,0.0,426.0,0.005718561467494276,3.0,0.026449657294996924,,,,,,,representative,,,,
levanter-gpu,485.991613,parity,,,,,,,,,,,,,,,6.0,,16384.0,,,,,13703,,4.0,long-longbench-03,0.0,426.0,0.012519881366783725,4.0,0.02770202080618641,,,,,,,representative,,,,
levanter-gpu,485.991636,parity,,,,,,,,,,,,,,,6.0,,16384.0,,,,,10683,,5.0,long-longbench-04,0.0,362.0,0.018216685855493242,5.0,0.039387794781549954,,,,,,,representative,,,,
levanter-gpu,485.991659,parity,,,,,,,,,,,,,,,6.0,,16384.0,,,,,12639,,6.0,long-longbench-05,0.0,423.0,0.023245831052512766,6.0,0.06426921756600937,,,,,,,representative,,,,
levanter-gpu,485.991681,parity,,,,,,,,,,,,,,,6.0,,16384.0,,,,,14725,,7.0,specialized-longbench-01,0.0,426.0,0.01954135256224343,7.0,0.04328941966261562,,,,,,,representative,,,,
levanter-gpu,485.991703,parity,,,,,,,,,,,,,,,7.0,,32768.0,,,,,23113,,0.0,instruction-longbench-01,0.008928818142182049,362.0,0.03456916772013757,0.0,0.09368877466333878,,,,,,,representative,,,,
levanter-gpu,485.991725,parity,,,,,,,,,,,,,,,7.0,,32768.0,,,,,23068,,1.0,long-longbench-06,0.0,356.0,0.0315202647472925,1.0,0.0777697204891011,,,,,,,representative,,,,
levanter-gpu,485.99175,parity,,,,,,,,,,,,,,,7.0,,32768.0,,,,,17578,,2.0,long-longbench-07,0.0,426.0,0.01416447664469804,2.0,0.05234724737151147,,,,,,,representative,,,,
levanter-gpu,485.991776,parity,,,,,,,,,,,,,,,7.0,,32768.0,,,,,22504,,3.0,long-longbench-08,0.0,362.0,0.03845855784346486,3.0,0.08557331320832039,,,,,,,representative,,,,
levanter-gpu,485.991799,parity,,,,,,,,,,,,,,,7.0,,32768.0,,,,,29364,,4.0,long-longbench-09,0.0,426.0,0.041496460469784835,4.0,0.09863475760280842,,,,,,,representative,,,,
levanter-gpu,485.991819,parity,,,,,,,,,,,,,,,7.0,,32768.0,,,,,22791,,5.0,long-longbench-10,0.0,426.0,0.006026297868602946,5.0,0.0161355192137731,,,,,,,representative,,,,
levanter-gpu,485.99184,parity,,,,,,,,,,,,,,,7.0,,32768.0,,,,,27136,,6.0,long-longbench-11,0.0,356.0,0.007471401410815405,6.0,0.032115909826175106,,,,,,,representative,,,,
levanter-gpu,485.991863,parity,,,,,,,,,,,,,,,7.0,,32768.0,,,,,23867,,7.0,specialized-longbench-02,0.0,423.0,0.005860632003031052,7.0,0.019561558622854986,,,,,,,representative,,,,
vllm-gpu,152.229168,vllm_request,,,,,,,,,,,,,,,,,256.0,,,,,118,,,code-humaneval-01,0.0,1432.0,0.022984440169418474,0.0,0.052569621776949245,,,,,,wave-0-code-humaneval-01-rank-0,representative,2.370166651904583,2865.0,0.0,
vllm-gpu,154.049439,vllm_request,,,,,,,,,,,,,,,,,256.0,,,,,120,,,code-humaneval-02,0.0,1432.0,0.0019466855104988134,1.0,0.004622093342499505,,,,,,wave-0-code-humaneval-02-rank-1,representative,4.18972030794248,2903.0,0.0,
vllm-gpu,154.127641,vllm_request,,,,,,,,,,,,,,,,,256.0,,,,,31,,,instruction-ifeval-02,0.0,578.0,0.0014161519421246327,7.0,0.011758412285784912,,,,,,wave-0-instruction-ifeval-02-rank-7,representative,4.262669532094151,2535.0,0.0,
vllm-gpu,154.130325,vllm_request,,,,,,,,,,,,,,,,,256.0,,,,,205,,,code-humaneval-05,0.0,1432.0,0.006279969088592935,4.0,0.01695673404414588,,,,,,wave-0-code-humaneval-05-rank-4,representative,4.268495399039239,3185.0,0.0,
vllm-gpu,154.137574,vllm_request,,,,,,,,,,,,,,,,,256.0,,,,,116,,,code-humaneval-03,0.0,220.0,0.0063568885154738075,2.0,0.025912243034443956,,,,,,wave-0-code-humaneval-03-rank-2,representative,4.2770944270305336,2923.0,0.0,
vllm-gpu,154.154611,vllm_request,,,,,,,,,,,,,,,,,256.0,,,,,75,,,instruction-ifeval-01,0.0,3234.0,0.004744581093648961,6.0,0.03444647281150945,,,,,,wave-0-instruction-ifeval-01-rank-6,representative,4.290374231990427,2720.0,0.0,
vllm-gpu,154.183546,vllm_request,,,,,,,,,,,,,,,,,256.0,,,,,132,,,code-humaneval-06,0.0,1432.0,0.01787920042202268,5.0,0.06162018118169547,,,,,,wave-0-code-humaneval-06-rank-5,representative,4.319992038886994,2962.0,0.0,
vllm-gpu,154.195577,vllm_request,,,,,,,,,,,,,,,,,256.0,,,,,104,,,code-humaneval-04,0.0,1432.0,0.02505349631360615,3.0,0.07239287306611758,,,,,,wave-0-code-humaneval-04-rank-3,representative,4.334414144977927,2846.0,0.0,
vllm-gpu,154.28703,vllm_request,,,,,,,,,,,,,,,,,256.0,,,,,126,,,knowledge-mmlu-03,0.0,426.0,0.0306266905223547,6.0,0.07311643653874159,,,,,,wave-1-knowledge-mmlu-03-rank-6,representative,0.08694494189694524,2945.0,1.0,
