token_budget_x,lr_multiplier,paloma_macro_loss,run_name,state
30,0.7,4.16957950592041,AUG-LRC-TPU-001-d512-30x-lr0.7,finished
30,0.85,4.224992275238037,AUG-LRC-TPU-002-d512-30x-lr0.85,finished
30,1.0,4.29273796081543,AUG-LRC-TPU-003-d512-30x-lr1,finished
30,1.2,4.37684965133667,AUG-LRC-TPU-004-d512-30x-lr1.2,finished
30,1.4,4.436589241027832,AUG-LRC-TPU-005-d512-30x-lr1.4,finished
60,0.7,4.013039588928223,AUG-LRC-TPU-006-d512-60x-lr0.7,finished
60,0.85,4.065670967102051,AUG-LRC-TPU-007-d512-60x-lr0.85,finished
60,1.0,4.130186080932617,AUG-LRC-TPU-008-d512-60x-lr1,finished
60,1.2,4.200367450714111,AUG-LRC-TPU-009-d512-60x-lr1.2,finished
60,1.4,4.278097152709961,AUG-LRC-TPU-010-d512-60x-lr1.4,finished
150,0.7,3.8092126846313477,AUG-LRC-TPU-011-d512-150x-lr0.7,finished
150,0.85,3.8570351600646973,AUG-LRC-TPU-012-d512-150x-lr0.85,finished
150,1.0,3.9130635261535645,AUG-LRC-TPU-013-d512-150x-lr1,finished
150,1.2,3.982189655303955,AUG-LRC-TPU-014-d512-150x-lr1.2,finished
150,1.4,4.050701141357422,AUG-LRC-TPU-015-d512-150x-lr1.4,finished
300,0.7,3.677412986755371,AUG-LRC-TPU-016-d512-300x-lr0.7,finished
300,0.85,3.723409652709961,AUG-LRC-TPU-017-d512-300x-lr0.85,finished
300,1.0,3.7679431438446045,AUG-LRC-TPU-018-d512-300x-lr1,finished
300,1.2,3.8256092071533203,AUG-LRC-TPU-019-d512-300x-lr1.2,finished
300,1.4,3.886829376220703,AUG-LRC-TPU-020-d512-300x-lr1.4,finished
